t,drop_rate,backlog,throughput_mbps,drops_total,state,target_ms,interval_ms,limit
0.00,0.0000,461,0.000,159407,HEAVY,4,81,828
0.51,1408.7603,482,10.005,160117,HEAVY,4,81,828
1.01,1716.5043,0,9.998,160983,HEAVY,4,81,828
1.52,2030.3488,469,9.999,162007,HEAVY,4,81,828
2.02,2215.4860,451,9.999,163129,HEAVY,4,81,828
2.53,2625.6772,453,10.005,164452,HEAVY,4,81,828
3.03,2933.8531,459,9.991,165935,HEAVY,4,81,828
3.54,3245.9589,476,10.006,167573,HEAVY,4,81,828
4.04,3545.7162,421,10.002,169357,HEAVY,4,81,828
4.54,3632.6963,458,9.999,171188,HEAVY,4,81,828
5.05,3922.1886,439,9.999,173175,HEAVY,3.6,72.9,745
5.55,3147.1097,433,10.003,174758,HEAVY,3.6,72.9,745
6.06,3122.8538,468,9.996,176333,HEAVY,3.6,72.9,745
6.56,3075.7376,423,10.003,177880,HEAVY,3.6,72.9,745
7.07,3341.3491,468,9.996,179571,HEAVY,3.6,72.9,745
7.57,3845.4438,452,10.002,181513,HEAVY,3.6,72.9,745
8.08,3954.3339,476,9.999,183512,HEAVY,3.6,72.9,745
8.58,3949.7352,479,9.999,185507,HEAVY,3.6,72.9,745
9.09,4441.6233,458,10.006,187741,HEAVY,3.6,72.9,745
9.59,4877.4254,423,9.995,190198,HEAVY,3.6,72.9,745
10.10,5186.5824,472,9.997,192840,HEAVY,3.24,65.61000000000001,670
10.60,5191.9917,382,10.006,195457,HEAVY,3.24,65.61000000000001,670
11.11,4987.1872,404,10.002,197965,HEAVY,3.24,65.61000000000001,670
11.61,5268.7721,397,9.997,200618,HEAVY,3.24,65.61000000000001,670
12.11,5431.3963,364,10.000,203355,HEAVY,3.24,65.61000000000001,670
12.62,5006.5171,402,9.998,205877,HEAVY,3.24,65.61000000000001,670
13.12,4296.9126,436,10.000,208045,HEAVY,3.24,65.61000000000001,670
13.63,4230.1019,476,9.998,210187,HEAVY,3.24,65.61000000000001,670
14.13,4187.7083,439,10.002,212300,HEAVY,3.24,65.61000000000001,670
14.64,4211.4664,436,10.000,214429,HEAVY,3.24,65.61000000000001,670
15.15,4193.3628,473,9.997,216572,HEAVY,2.9160000000000004,59.049000000000014,603
15.65,4714.0733,392,10.006,218946,HEAVY,2.9160000000000004,59.049000000000014,603
16.16,5151.7568,379,9.998,221542,HEAVY,2.9160000000000004,59.049000000000014,603
16.66,5560.0136,456,10.001,224344,HEAVY,2.9160000000000004,59.049000000000014,603
17.16,5561.6469,442,9.994,227151,HEAVY,2.9160000000000004,59.049000000000014,603
17.67,5862.8285,467,10.004,230105,HEAVY,2.9160000000000004,59.049000000000014,603
18.17,6316.7914,468,9.994,233301,HEAVY,2.9160000000000004,59.049000000000014,603
18.68,6640.0863,325,10.003,236650,HEAVY,2.9160000000000004,59.049000000000014,603
19.18,6800.9033,435,9.999,240092,HEAVY,2.9160000000000004,59.049000000000014,603
19.69,6828.3515,389,10.002,243542,HEAVY,2.9160000000000004,59.049000000000014,603
20.20,8239.6369,424,9.997,247752,HEAVY,2.6244000000000005,53.144100000000016,542
20.71,8301.3016,393,10.004,251940,HEAVY,2.6244000000000005,53.144100000000016,542
21.21,9136.9176,415,9.996,256560,HEAVY,2.6244000000000005,53.144100000000016,542
21.72,9543.4843,406,10.002,261384,HEAVY,2.6244000000000005,53.144100000000016,542
22.22,8708.2898,400,10.001,265778,HEAVY,2.6244000000000005,53.144100000000016,542
22.73,6865.9921,461,9.996,269248,HEAVY,2.6244000000000005,53.144100000000016,542
23.23,4065.5606,441,10.002,271307,HEAVY,2.6244000000000005,53.144100000000016,542
23.74,4236.6607,463,10.000,273453,HEAVY,2.6244000000000005,53.144100000000016,542
24.24,4903.0370,447,10.006,275923,HEAVY,2.6244000000000005,53.144100000000016,542
24.75,5616.0900,442,9.995,278758,HEAVY,2.6244000000000005,53.144100000000016,542
25.26,5571.8366,420,9.999,281598,HEAVY,2.3619600000000007,50,487
25.76,5681.2461,445,10.002,284471,HEAVY,2.3619600000000007,50,487
26.27,6013.6539,406,9.998,287511,HEAVY,2.3619600000000007,50,487
26.77,6045.8186,0,10.005,290562,HEAVY,2.3619600000000007,50,487
