t,state,old_target,new_target,old_limit,new_limit,reason
4.55,HEAVY,5,4.5,1024,921,mult-decrease β=0.9
9.62,HEAVY,4.5,4.05,921,828,mult-decrease β=0.9
14.68,HEAVY,4.05,3.645,828,745,mult-decrease β=0.9
19.74,HEAVY,3.645,3.2805,745,670,mult-decrease β=0.9
24.79,HEAVY,3.2805,2.9524500000000002,670,603,mult-decrease β=0.9
29.84,HEAVY,2.9524500000000002,2.6572050000000003,603,542,mult-decrease β=0.9
34.89,HEAVY,2.6572050000000003,2.3914845000000002,542,487,mult-decrease β=0.9
39.94,HEAVY,2.3914845000000002,2.15233605,487,438,mult-decrease β=0.9
44.99,HEAVY,2.15233605,1.9371024450000003,438,394,mult-decrease β=0.9
50.04,HEAVY,1.9371024450000003,1.7433922005000002,394,354,mult-decrease β=0.9
55.09,HEAVY,1.7433922005000002,1.5690529804500002,354,318,mult-decrease β=0.9
60.14,HEAVY,1.5690529804500002,1.412147682405,318,286,mult-decrease β=0.9
65.19,HEAVY,1.412147682405,1.2709329141645,286,257,mult-decrease β=0.9
