t_s,avg_q,drop_rate_per_s,backlog_pkts,throughput_mbps,max_p,target_ms,limit_pkts
0.0,0.0,109.2,17,9.98,0.045,4.64,954
0.51,0.1,151.5,12,10.035,0.04,4.64,954
1.01,0.1,144.8,12,9.997,0.035,4.72,970
1.52,0.1,152.0,14,9.995,0.03,4.72,970
2.02,0.1,154.8,10,9.997,0.025,4.72,970
2.53,0.2,161.1,12,10.001,0.02,4.84,993
3.03,0.2,161.8,12,10.012,0.015,4.84,993
3.54,0.2,168.5,10,9.987,0.01,4.84,993
4.04,0.2,137.1,13,10.008,0.01,4.84,993
4.54,0.2,168.5,10,9.989,0.01,4.84,993
5.05,0.3,126.9,15,9.994,0.01,4.84,993
5.55,0.3,141.0,11,10.006,0.01,4.84,993
6.06,0.3,130.9,15,9.996,0.01,4.84,993
6.56,0.3,160.7,14,9.995,0.01,4.84,993
7.06,0.4,140.5,14,9.994,0.01,4.84,993
