t_s,drop_rate_per_s,drops_exp,backlog_pkts,throughput_mbps,rtt_proxy_ms,active_flows,elephant_flows,mice_flows,elephant_ratio,regime,trajectory,predicted_regime,workload_profile,target_ms,interval_ms,limit_pkts,quantum_bytes,ebpf_pkts,ebpf_bytes
0.511,129352.5826,65427,244,9.9962,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,50.0,256,300,0,0
1.025,134167.3257,134339,256,10.0012,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,50.0,256,300,0,0
1.539,131114.6356,201706,236,10.0030,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,50.0,256,300,0,0
2.052,129472.7507,268140,235,9.9907,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,5.00,50.0,256,300,0,0
2.563,131267.9095,335270,239,10.0067,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,5.00,50.0,256,300,0,0
3.076,130340.9801,402127,255,10.0015,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,5.00,50.0,256,300,0,0
3.589,128372.5148,468033,256,9.9985,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,5.00,50.0,256,300,0,0
4.102,127500.0976,533371,242,10.0004,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,5.00,50.0,256,300,0,0
4.615,131263.4913,600698,237,10.0018,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,5.00,50.0,256,300,0,0
5.127,125139.4712,664773,253,9.9964,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,5.00,50.0,256,300,0,0
5.645,129720.4635,731938,250,10.0008,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,4.50,50.0,256,300,0,0
6.159,126881.6537,797179,242,10.0006,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,4.50,50.0,256,300,0,0
6.673,128170.5169,863102,234,9.9997,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,4.50,50.0,256,300,0,0
7.187,124001.1806,926768,240,10.0030,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,4.50,50.0,256,300,0,0
7.698,129000.9362,992775,236,9.9981,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,4.50,50.0,256,300,0,0
8.212,126371.2165,1057763,236,10.0002,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,4.50,50.0,256,300,0,0
8.726,125968.2710,1122435,250,9.9985,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,4.50,50.0,256,300,0,0
9.241,133803.7679,1191337,253,10.0002,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,50.0,256,300,0,0
9.753,132691.2968,1259294,241,10.0041,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,50.0,256,300,0,0
10.265,130452.0858,1326035,238,9.9993,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,50.0,256,300,0,0
10.783,127162.5509,1392018,236,9.9914,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,50.0,256,300,0,0
11.296,132300.2602,1459891,253,10.0079,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,50.0,256,300,0,0
11.809,138407.2159,1530789,256,9.9953,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,50.0,256,300,0,0
12.323,133463.8066,1599427,249,10.0029,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,50.0,256,300,0,0
