t_s,dr_gradient,bl_gradient,rtt_gradient,regime,trajectory,predicted,workload
2.573,-2.3886,-1.9419,0.0000,HEAVY,STABLE,HEAVY,MICE
5.150,-2.5152,-1.1057,0.0000,HEAVY,STABLE,HEAVY,MICE
7.727,6.2048,-1.0811,0.0000,HEAVY,STABLE,HEAVY,MICE
10.308,-5.3636,1.1061,0.0000,HEAVY,STABLE,HEAVY,MICE
12.886,10.6450,0.3288,0.0000,HEAVY,STABLE,HEAVY,MICE
15.458,2.4891,-0.7066,0.0000,HEAVY,STABLE,HEAVY,MICE
18.036,7.4285,0.0005,0.0000,HEAVY,STABLE,HEAVY,MICE
20.610,4.1583,0.1767,0.0000,HEAVY,STABLE,HEAVY,MICE
23.185,5.2744,-0.3059,0.0000,HEAVY,STABLE,HEAVY,MICE
25.759,-1.3202,0.5537,0.0000,HEAVY,STABLE,HEAVY,MICE
28.339,-7.9969,0.9289,0.0000,HEAVY,STABLE,HEAVY,MICE
30.914,-1.7111,-0.8354,0.0000,HEAVY,STABLE,HEAVY,MICE
33.494,3.3218,0.1526,0.0000,HEAVY,STABLE,HEAVY,MICE
36.074,-1.7300,0.4226,0.0000,HEAVY,STABLE,HEAVY,MICE
38.652,4.1998,-0.3994,0.0000,HEAVY,STABLE,HEAVY,MICE
41.230,5.8878,-0.9174,0.0000,HEAVY,STABLE,HEAVY,MICE
43.808,4.5427,1.3162,0.0000,HEAVY,STABLE,HEAVY,MICE
46.382,-5.1061,-0.3530,0.0000,HEAVY,STABLE,HEAVY,MICE
48.953,1.3576,0.6009,0.0000,HEAVY,STABLE,HEAVY,MICE
51.522,-0.8525,-0.6959,0.0000,HEAVY,STABLE,HEAVY,MICE
54.111,-0.8164,-1.2543,0.0000,HEAVY,STABLE,HEAVY,MICE
56.687,1.4176,-0.3291,0.0000,HEAVY,STABLE,HEAVY,MICE
59.272,3.2366,-0.1403,0.0000,HEAVY,STABLE,HEAVY,MICE
61.848,-5.8719,-0.2348,0.0000,HEAVY,STABLE,HEAVY,MICE
64.428,1.1054,0.8811,0.0000,HEAVY,STABLE,HEAVY,MICE
67.005,-0.7710,-0.3884,0.0000,HEAVY,STABLE,HEAVY,MICE
69.580,2.4925,-0.7650,0.0000,HEAVY,STABLE,HEAVY,MICE
72.155,-5.0139,0.3297,0.0000,HEAVY,STABLE,HEAVY,MICE
74.734,-3.4655,-0.3995,0.0000,HEAVY,STABLE,HEAVY,MICE
77.306,1.1420,0.9187,0.0000,HEAVY,STABLE,HEAVY,MICE
79.886,-1.7572,0.1764,0.0000,HEAVY,STABLE,HEAVY,MICE
82.461,3.5438,-0.4590,0.0000,HEAVY,STABLE,HEAVY,MICE
85.036,0.3322,-0.5063,0.0000,HEAVY,STABLE,HEAVY,MICE
87.611,-7.6664,0.4472,0.0000,HEAVY,STABLE,HEAVY,MICE
90.188,-2.1999,-0.0463,0.0000,HEAVY,STABLE,HEAVY,MICE
92.772,-0.5651,0.1289,0.0000,HEAVY,STABLE,HEAVY,MICE
95.348,-5.9099,0.0937,0.0000,HEAVY,STABLE,HEAVY,MICE
97.922,2.3276,0.6590,0.0000,HEAVY,STABLE,HEAVY,MICE
100.501,-1.1001,-0.9408,0.0000,HEAVY,STABLE,HEAVY,MICE
103.078,1.1906,0.0117,0.0000,HEAVY,STABLE,HEAVY,MICE
105.654,6.9239,0.1176,0.0000,HEAVY,STABLE,HEAVY,MICE
108.228,-1.5632,-0.4118,0.0000,HEAVY,STABLE,HEAVY,MICE
110.804,0.2806,0.7648,0.0000,HEAVY,STABLE,HEAVY,MICE
113.373,-1.3431,-0.0365,0.0000,HEAVY,STABLE,HEAVY,MICE
115.948,0.8382,0.5282,0.0000,HEAVY,STABLE,HEAVY,MICE
118.522,-2.0734,-0.1295,0.0000,HEAVY,STABLE,HEAVY,MICE
121.097,-3.4426,0.3060,0.0000,HEAVY,STABLE,HEAVY,MICE
123.673,7.5995,-0.3530,0.0000,HEAVY,STABLE,HEAVY,MICE
126.249,-0.7081,0.0939,0.0000,HEAVY,STABLE,HEAVY,MICE
128.827,1.2006,0.5992,0.0000,HEAVY,STABLE,HEAVY,MICE
131.398,-2.5420,-1.5771,0.0000,HEAVY,STABLE,HEAVY,MICE
133.967,0.5974,-0.2596,0.0000,HEAVY,STABLE,HEAVY,MICE
136.533,-8.2705,0.5305,0.0000,HEAVY,STABLE,HEAVY,MICE
139.110,1.2226,0.3659,0.0000,HEAVY,STABLE,HEAVY,MICE
141.686,-1.1719,0.2109,0.0000,HEAVY,STABLE,HEAVY,MICE
144.248,3.1583,-0.0588,0.0000,HEAVY,STABLE,HEAVY,MICE
146.817,-2.9346,-0.5427,0.0000,HEAVY,STABLE,HEAVY,MICE
149.386,0.5024,0.9637,0.0000,HEAVY,STABLE,HEAVY,MICE
