t_s,avg_q,drop_rate_per_s,backlog_pkts,throughput_mbps,max_p,target_ms,limit_pkts
0.0,0.0,94.6,12,9.976,0.045,4.64,954
0.51,0.0,154.0,13,10.037,0.04,4.64,954
1.02,0.1,144.0,13,9.989,0.035,4.72,970
1.53,0.1,172.0,15,10.016,0.03,4.72,970
2.04,0.1,136.1,13,9.988,0.025,4.72,970
2.55,0.2,177.0,15,10.007,0.02,4.84,993
3.06,0.2,136.3,10,9.997,0.015,4.84,993
3.57,0.2,130.2,16,9.984,0.01,4.84,993
4.07,0.2,144.2,12,10.024,0.01,4.84,993
4.58,0.3,155.7,13,9.98,0.01,4.84,993
5.09,0.3,168.0,9,10.007,0.01,4.84,993
5.59,0.3,145.2,12,9.999,0.01,4.84,993
6.1,0.3,159.0,11,10.011,0.01,4.84,993
6.6,0.4,124.5,17,10.001,0.01,4.84,993
7.11,0.4,141.8,13,9.995,0.01,4.84,993
7.61,0.4,148.5,11,10.002,0.01,4.84,993
8.12,0.4,187.4,11,9.989,0.01,4.84,993
8.63,0.5,134.3,17,9.996,0.01,4.84,993
9.13,0.5,148.1,17,9.995,0.01,4.84,993
9.64,0.5,165.5,13,10.02,0.01,4.84,993
10.15,0.5,130.2,13,9.991,0.01,4.84,993
10.65,0.6,154.0,8,9.995,0.01,4.84,993
11.16,0.6,154.6,14,10.008,0.01,4.84,993
11.66,0.6,144.0,12,10.012,0.01,4.84,993
12.17,0.6,179.4,9,9.957,0.01,4.84,993
12.68,0.6,115.3,14,10.015,0.01,4.84,993
13.18,0.7,177.4,12,10.004,0.01,4.84,993
13.69,0.7,163.6,12,10.002,0.01,4.84,993
14.2,0.7,171.2,9,10.012,0.01,4.84,993
14.7,0.7,135.8,12,9.965,0.01,4.84,993
15.21,0.7,132.1,8,10.028,0.01,4.84,993
15.72,0.8,129.7,14,9.997,0.01,4.84,993
16.23,0.8,138.0,14,10.005,0.01,4.84,993
16.74,0.8,131.9,16,9.989,0.01,4.84,993
17.24,0.9,125.9,17,10.011,0.01,4.84,993
17.75,0.9,145.7,11,9.993,0.01,4.84,993
18.26,0.9,134.0,15,10.003,0.01,4.84,993
18.77,0.9,156.1,14,10.006,0.01,4.84,993
19.27,1.0,136.7,15,9.986,0.01,4.84,993
19.78,1.0,156.3,11,10.019,0.01,4.84,993
20.28,1.0,140.4,15,9.99,0.01,4.84,993
20.79,1.0,152.1,11,10.004,0.01,4.84,993
21.3,1.1,144.1,16,9.995,0.01,4.84,993
21.8,1.1,158.4,15,9.978,0.01,4.84,993
22.31,1.1,167.4,8,10.018,0.01,4.84,993
22.81,1.1,156.9,16,10.007,0.01,4.84,993
23.32,1.2,150.5,17,10.001,0.01,4.84,993
23.82,1.2,172.7,8,10.003,0.01,4.84,993
24.33,1.2,148.0,13,9.988,0.01,4.84,993
24.83,1.2,168.9,14,10.01,0.01,4.84,993
25.34,1.3,145.1,11,9.993,0.01,4.84,993
25.84,1.3,143.0,11,10.01,0.01,4.84,993
26.34,1.3,139.1,7,9.99,0.01,4.84,993
26.85,1.3,147.1,13,10.013,0.01,4.84,993
27.35,1.3,119.2,15,9.983,0.01,4.84,993
27.85,1.4,168.9,11,10.013,0.01,4.84,993
28.36,1.4,151.1,15,9.992,0.01,4.84,993
28.86,1.4,168.8,10,10.008,0.01,4.84,993
29.36,1.4,163.0,8,9.991,0.01,4.84,993
29.87,1.4,147.7,12,9.993,0.01,4.84,993
30.37,1.5,164.2,13,10.018,0.01,4.84,993
30.88,1.5,125.2,13,9.991,0.01,4.84,993
31.38,1.5,141.1,12,9.991,0.01,4.84,993
31.89,1.5,168.9,12,10.015,0.01,4.84,993
32.39,1.6,155.0,18,10.01,0.01,4.84,993
32.89,1.6,139.1,13,9.991,0.01,4.84,993
33.4,1.6,177.0,15,9.994,0.01,4.84,993
33.9,1.6,137.1,15,9.987,0.01,4.84,993
34.4,1.7,131.2,14,10.014,0.01,4.84,993
34.9,1.7,156.7,14,9.997,0.01,4.84,993
35.41,1.7,148.9,9,10.002,0.01,4.84,993
35.91,1.7,145.2,13,9.995,0.01,4.84,993
36.42,1.7,163.0,15,10.018,0.01,4.84,993
36.92,1.8,163.0,11,9.99,0.01,4.84,993
37.42,1.8,149.0,13,10.011,0.01,4.84,993
37.92,1.8,184.9,8,9.994,0.01,4.84,993
38.43,1.8,135.2,14,9.991,0.01,4.84,993
38.93,1.8,149.0,12,10.013,0.01,4.84,993
39.43,1.9,135.1,10,9.989,0.01,4.84,993
39.94,1.9,153.0,16,10.013,0.01,4.84,993
40.44,1.9,137.1,14,9.988,0.01,4.84,993
40.94,1.9,159.0,10,10.013,0.01,4.84,993
41.45,1.9,157.1,14,9.995,0.01,4.84,993
41.95,2.0,131.3,15,9.996,0.01,4.84,993
42.45,2.0,139.1,17,9.992,0.01,4.84,993
42.96,2.0,166.9,11,10.012,0.01,4.84,993
43.46,2.0,137.1,13,9.988,0.01,4.84,993
43.96,2.1,152.9,12,10.004,0.01,4.84,993
44.47,2.1,129.1,16,10.008,0.01,4.84,993
44.97,2.1,136.9,17,9.999,0.01,4.84,993
