t_s,drop_rate_per_s,drops_experiment,backlog_pkts,throughput_mbps,state,active_flows,elephant_flows,target_ms,interval_ms,limit_pkts,ebpf_mode
0.51,2526.1624,1274,448,9.9973,HEAVY,0,0,5.00,100.0,1024,tc-only
1.01,2721.4534,2644,468,10.0029,HEAVY,0,0,5.00,100.0,1024,tc-only
1.52,2849.7225,4082,474,9.9947,HEAVY,0,0,5.00,100.0,1024,tc-only
2.02,3126.3881,5661,475,10.0016,HEAVY,0,0,5.00,100.0,1024,tc-only
2.52,3328.2753,7337,432,10.0019,HEAVY,0,0,5.00,100.0,1024,tc-only
3.03,3322.1708,9015,443,9.9957,HEAVY,0,0,5.00,100.0,1024,tc-only
3.53,3420.9525,10739,462,10.0036,HEAVY,0,0,5.00,100.0,1024,tc-only
4.04,3705.5515,12610,420,9.9960,HEAVY,0,0,5.00,100.0,1024,tc-only
4.54,3914.1316,14592,463,10.0007,HEAVY,0,0,5.00,100.0,1024,tc-only
5.05,4126.0827,16670,414,10.0059,HEAVY,0,0,5.00,100.0,1024,tc-only
5.56,4334.3997,18870,477,9.9979,HEAVY,0,0,4.50,90.0,921,tc-only
6.06,4053.6527,20919,423,9.9934,HEAVY,0,0,4.50,90.0,921,tc-only
6.56,4469.7417,23172,400,10.0068,HEAVY,0,0,4.50,90.0,921,tc-only
7.07,4212.2262,25303,489,9.9942,HEAVY,0,0,4.50,90.0,921,tc-only
7.58,4495.1086,27577,475,10.0009,HEAVY,0,0,4.50,90.0,921,tc-only
8.08,4708.2451,29949,405,10.0056,HEAVY,0,0,4.50,90.0,921,tc-only
8.59,4415.1859,32182,462,9.9920,HEAVY,0,0,4.50,90.0,921,tc-only
9.09,4269.5234,34335,431,10.0098,HEAVY,0,0,4.50,90.0,921,tc-only
9.60,3897.5362,36308,431,9.9933,HEAVY,0,0,4.50,90.0,921,tc-only
10.10,3517.8996,38082,462,10.0024,HEAVY,0,0,4.50,90.0,921,tc-only
10.61,4016.2822,40128,467,9.9977,HEAVY,0,0,4.05,81.0,828,tc-only
11.12,4240.1206,42272,0,10.0046,HEAVY,0,0,4.05,81.0,828,tc-only
11.62,4614.7735,44601,450,9.9964,HEAVY,0,0,4.05,81.0,828,tc-only
12.12,4671.4692,46953,416,10.0046,HEAVY,0,0,4.05,81.0,828,tc-only
12.63,4999.0223,49487,0,9.9923,HEAVY,0,0,4.05,81.0,828,tc-only
13.14,4927.0659,51974,438,10.0022,HEAVY,0,0,4.05,81.0,828,tc-only
13.64,5386.8034,54697,0,10.0034,HEAVY,0,0,4.05,81.0,828,tc-only
14.15,5672.5543,57570,478,9.9934,HEAVY,0,0,4.05,81.0,828,tc-only
14.65,5343.5537,60272,466,10.0044,HEAVY,0,0,4.05,81.0,828,tc-only
15.16,5725.5312,63164,471,9.9954,HEAVY,0,0,4.05,81.0,828,tc-only
15.67,6712.2579,66586,415,10.0046,HEAVY,0,0,3.65,72.9,745,tc-only
16.17,6483.9260,69852,407,10.0032,HEAVY,0,0,3.65,72.9,745,tc-only
16.68,5939.5888,72852,425,9.9958,HEAVY,0,0,3.65,72.9,745,tc-only
17.18,5948.0215,75861,451,9.9999,HEAVY,0,0,3.65,72.9,745,tc-only
17.69,4753.1651,78256,441,10.0072,HEAVY,0,0,3.65,72.9,745,tc-only
18.19,4585.1780,80565,430,9.9995,HEAVY,0,0,3.65,72.9,745,tc-only
18.69,4492.7094,82825,436,9.9998,HEAVY,0,0,3.65,72.9,745,tc-only
19.20,3913.4668,84806,472,9.9915,HEAVY,0,0,3.65,72.9,745,tc-only
19.70,4259.9316,86950,443,10.0062,HEAVY,0,0,3.65,72.9,745,tc-only
20.21,4049.7900,88990,462,9.9998,HEAVY,0,0,3.65,72.9,745,tc-only
20.71,4056.4976,91045,416,10.0025,HEAVY,0,0,3.28,65.6,670,tc-only
21.22,3655.0752,92887,443,9.9941,HEAVY,0,0,3.28,65.6,670,tc-only
21.72,3813.9614,94813,406,9.9999,HEAVY,0,0,3.28,65.6,670,tc-only
22.23,3848.3855,96754,415,10.0027,HEAVY,0,0,3.28,65.6,670,tc-only
22.73,4010.3699,98778,471,9.9994,HEAVY,0,0,3.28,65.6,670,tc-only
23.23,4029.8110,100806,418,10.0039,HEAVY,0,0,3.28,65.6,670,tc-only
23.74,4137.8796,102897,451,9.9941,HEAVY,0,0,3.28,65.6,670,tc-only
24.25,4617.5476,105237,455,9.9971,HEAVY,0,0,3.28,65.6,670,tc-only
24.75,5052.1194,107785,446,10.0084,HEAVY,0,0,3.28,65.6,670,tc-only
25.25,5004.4967,110307,445,9.9974,HEAVY,0,0,3.28,65.6,670,tc-only
25.76,5001.3609,112857,448,9.9974,HEAVY,0,0,2.95,59.0,603,tc-only
26.27,5590.1213,115670,380,10.0047,HEAVY,0,0,2.95,59.0,603,tc-only
26.77,5586.3045,118489,452,9.9913,HEAVY,0,0,2.95,59.0,603,tc-only
27.28,4770.9406,120892,423,10.0049,HEAVY,0,0,2.95,59.0,603,tc-only
27.78,4936.5553,123391,461,9.9984,HEAVY,0,0,2.95,59.0,603,tc-only
28.29,5346.4059,126088,386,10.0042,HEAVY,0,0,2.95,59.0,603,tc-only
28.79,4614.8520,128417,411,9.9945,HEAVY,0,0,2.95,59.0,603,tc-only
29.30,4351.5128,130615,437,10.0001,HEAVY,0,0,2.95,59.0,603,tc-only
29.80,4923.6386,133092,387,10.0073,HEAVY,0,0,2.95,59.0,603,tc-only
30.31,5321.3155,135783,408,9.9920,HEAVY,0,0,2.95,59.0,603,tc-only
30.81,6230.6092,138949,404,10.0064,HEAVY,0,0,2.66,53.1,542,tc-only
31.32,6328.2485,142140,441,9.9988,HEAVY,0,0,2.66,53.1,542,tc-only
31.82,4833.6911,144586,482,9.9971,HEAVY,0,0,2.66,53.1,542,tc-only
32.33,3693.8132,146447,425,10.0021,HEAVY,0,0,2.66,53.1,542,tc-only
32.83,3926.5638,148432,452,9.9964,HEAVY,0,0,2.66,53.1,542,tc-only
33.34,4633.7618,150775,474,10.0016,HEAVY,0,0,2.66,53.1,542,tc-only
33.84,4314.1661,152954,432,9.9980,HEAVY,0,0,2.66,53.1,542,tc-only
