t_s,drop_rate_per_s,drops_experiment,backlog_pkts,throughput_mbps,state,target_ms,interval_ms,limit_pkts
0.51,865.3574,436,480,9.9975,HEAVY,5.00,100.0,1024
1.01,1068.4045,974,483,10.0000,HEAVY,5.00,100.0,1024
1.51,1271.0476,1614,487,9.9985,HEAVY,5.00,100.0,1024
2.02,1473.1632,2356,487,10.0049,HEAVY,5.00,100.0,1024
2.52,3682.2891,4211,424,9.9969,HEAVY,5.00,100.0,1024
3.02,4979.4778,6717,471,10.0015,HEAVY,5.00,100.0,1024
3.53,5725.4280,9600,387,9.9971,HEAVY,5.00,100.0,1024
4.03,6031.7995,12636,395,10.0023,HEAVY,5.00,100.0,1024
4.53,6822.1883,16073,437,10.0006,HEAVY,5.00,100.0,1024
5.04,6553.7676,19373,0,9.9995,HEAVY,5.00,100.0,1024
5.54,3476.6568,21133,420,10.0003,HEAVY,4.50,90.0,921
6.05,3572.6678,22930,452,10.0008,HEAVY,4.50,90.0,921
6.55,3563.2899,24724,415,9.9965,HEAVY,4.50,90.0,921
7.05,3914.7777,26695,431,10.0005,HEAVY,4.50,90.0,921
7.56,3662.6899,28540,415,10.0049,HEAVY,4.50,90.0,921
8.06,3535.2031,30320,443,9.9957,HEAVY,4.50,90.0,921
8.57,3771.7347,32219,428,9.9951,HEAVY,4.50,90.0,921
9.07,3852.7656,34160,424,10.0047,HEAVY,4.50,90.0,921
9.57,4084.5670,36216,457,10.0039,HEAVY,4.50,90.0,921
10.08,4422.2920,38446,454,9.9964,HEAVY,4.50,90.0,921
10.58,4929.4841,40943,399,10.0025,HEAVY,4.05,81.0,828
11.09,4612.3580,43265,392,10.0004,HEAVY,4.05,81.0,828
11.59,5037.8742,45805,402,9.9949,HEAVY,4.05,81.0,828
12.09,4839.6648,48243,426,10.0034,HEAVY,4.05,81.0,828
12.60,4815.6750,50668,385,9.9977,HEAVY,4.05,81.0,828
13.10,4742.1382,53054,392,10.0028,HEAVY,4.05,81.0,828
13.60,4469.3804,55305,345,10.0002,HEAVY,4.05,81.0,828
14.11,3913.4416,57276,404,10.0002,HEAVY,4.05,81.0,828
14.61,3856.7783,59218,477,9.9994,HEAVY,4.05,81.0,828
15.12,4121.1774,61293,418,10.0001,HEAVY,4.05,81.0,828
15.62,4348.2941,63494,415,9.9999,HEAVY,3.65,72.9,745
16.13,4678.9020,65850,402,9.9972,HEAVY,3.65,72.9,745
16.63,4877.1046,68304,397,10.0035,HEAVY,3.65,72.9,745
17.13,4737.7179,70690,399,10.0019,HEAVY,3.65,72.9,745
17.64,4553.1166,72983,0,9.9980,HEAVY,3.65,72.9,745
