t,wall,drop_rate,backlog,throughput_mbps,active_flows,elephant_flows,elephant_ratio,state,target_ms,limit_pkts,mode
0.51,06:27:35,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
1.02,06:27:35,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
1.52,06:27:36,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
2.17,06:27:36,0.0,0,2.293,0,0,0.000,NORMAL,5.00,1024,tc-only
2.74,06:27:37,8.8,436,7.474,0,0,0.000,HEAVY,5.00,1024,tc-only
3.24,06:27:38,147.1,467,10.000,0,0,0.000,HEAVY,5.00,1024,tc-only
3.74,06:27:38,357.6,461,10.002,0,0,0.000,HEAVY,5.00,1024,tc-only
4.25,06:27:39,555.3,468,10.000,0,0,0.000,HEAVY,4.50,921,tc-only
4.76,06:27:39,752.8,450,9.996,0,0,0.000,HEAVY,4.50,921,tc-only
5.27,06:27:40,965.7,464,10.004,0,0,0.000,HEAVY,4.50,921,tc-only
5.77,06:27:40,1165.5,461,9.999,0,0,0.000,HEAVY,4.50,921,tc-only
6.28,06:27:41,1366.2,478,9.997,0,0,0.000,HEAVY,4.50,921,tc-only
6.78,06:27:41,1560.1,465,10.002,0,0,0.000,HEAVY,4.50,921,tc-only
7.28,06:27:42,1771.5,449,9.999,0,0,0.000,HEAVY,4.05,829,tc-only
7.79,06:27:42,1971.0,471,10.005,0,0,0.000,HEAVY,4.05,829,tc-only
8.30,06:27:43,2180.0,468,9.998,0,0,0.000,HEAVY,4.05,829,tc-only
8.80,06:27:43,2370.5,463,9.997,0,0,0.000,HEAVY,4.05,829,tc-only
9.31,06:27:44,2579.8,476,9.998,0,0,0.000,HEAVY,4.05,829,tc-only
9.81,06:27:44,2781.7,478,10.005,0,0,0.000,HEAVY,4.05,829,tc-only
10.31,06:27:45,2979.3,470,9.996,0,0,0.000,HEAVY,3.65,746,tc-only
10.83,06:27:45,3191.5,480,10.001,0,0,0.000,HEAVY,3.65,746,tc-only
11.33,06:27:46,3393.6,489,10.003,0,0,0.000,HEAVY,3.65,746,tc-only
11.84,06:27:46,3591.9,493,10.000,0,0,0.000,HEAVY,3.65,746,tc-only
12.34,06:27:47,3791.9,477,10.001,0,0,0.000,HEAVY,3.65,746,tc-only
12.85,06:27:47,4000.0,462,9.999,0,0,0.000,HEAVY,3.65,746,tc-only
13.35,06:27:48,4191.7,369,9.999,0,0,0.000,HEAVY,3.28,671,tc-only
13.86,06:27:48,4414.7,448,10.000,0,0,0.000,HEAVY,3.28,671,tc-only
14.37,06:27:49,4467.8,433,10.001,0,0,0.000,HEAVY,3.28,671,tc-only
14.87,06:27:49,4670.4,421,10.001,0,0,0.000,HEAVY,3.28,671,tc-only
15.37,06:27:50,4994.8,401,10.001,0,0,0.000,HEAVY,3.28,671,tc-only
15.88,06:27:50,5049.2,417,9.993,0,0,0.000,HEAVY,3.28,671,tc-only
16.49,06:27:51,4549.9,377,9.999,0,0,0.000,HEAVY,2.95,604,tc-only
17.00,06:27:51,4511.9,402,10.004,0,0,0.000,HEAVY,2.95,604,tc-only
17.50,06:27:52,4539.8,428,10.001,0,0,0.000,HEAVY,2.95,604,tc-only
18.01,06:27:52,4734.5,461,9.994,0,0,0.000,HEAVY,2.95,604,tc-only
18.51,06:27:53,4160.8,453,10.003,0,0,0.000,HEAVY,2.95,604,tc-only
19.02,06:27:53,4302.3,411,10.002,0,0,0.000,HEAVY,2.95,604,tc-only
19.52,06:27:54,3988.1,449,10.000,0,0,0.000,HEAVY,2.66,544,tc-only
20.03,06:27:54,3569.2,262,10.003,0,0,0.000,HEAVY,2.66,544,tc-only
20.54,06:27:55,2813.8,457,9.999,0,0,0.000,HEAVY,2.66,544,tc-only
21.04,06:27:55,3197.1,445,9.999,0,0,0.000,HEAVY,2.66,544,tc-only
21.55,06:27:56,3419.0,434,9.996,0,0,0.000,HEAVY,2.66,544,tc-only
22.05,06:27:56,3412.0,444,10.007,0,0,0.000,HEAVY,2.66,544,tc-only
22.55,06:27:57,3071.1,470,9.993,0,0,0.000,HEAVY,2.39,489,tc-only
23.07,06:27:57,2915.5,480,10.000,0,0,0.000,HEAVY,2.39,489,tc-only
23.57,06:27:58,2559.2,456,9.998,0,0,0.000,HEAVY,2.39,489,tc-only
24.08,06:27:58,2789.2,472,10.007,0,0,0.000,HEAVY,2.39,489,tc-only
24.58,06:27:59,2986.4,463,10.000,0,0,0.000,HEAVY,2.39,489,tc-only
25.09,06:27:59,2677.6,437,9.995,0,0,0.000,HEAVY,2.39,489,tc-only
25.59,06:28:00,2832.6,482,9.999,0,0,0.000,HEAVY,2.15,440,tc-only
26.10,06:28:00,3056.8,417,10.005,0,0,0.000,HEAVY,2.15,440,tc-only
26.61,06:28:01,3114.1,456,9.996,0,0,0.000,HEAVY,2.15,440,tc-only
27.12,06:28:01,1446.0,0,8.034,0,0,0.000,HEAVY,2.15,440,tc-only
27.76,06:28:02,1.6,124,7.102,0,0,0.000,LIGHT,2.15,440,tc-only
28.26,06:28:03,977.3,454,10.007,0,0,0.000,HEAVY,2.15,440,tc-only
28.77,06:28:03,1610.5,441,10.000,0,0,0.000,HEAVY,2.15,440,tc-only
29.37,06:28:04,1579.9,374,10.002,0,0,0.000,HEAVY,2.15,440,tc-only
29.87,06:28:04,185.8,0,9.929,0,0,0.000,LIGHT,2.15,440,tc-only
30.57,06:28:05,387.6,472,9.803,0,0,0.000,HEAVY,2.15,440,tc-only
31.07,06:28:05,713.5,462,10.013,0,0,0.000,HEAVY,2.15,440,tc-only
31.57,06:28:06,919.1,457,9.994,0,0,0.000,HEAVY,2.15,440,tc-only
32.08,06:28:06,1121.1,443,10.001,0,0,0.000,HEAVY,1.94,396,tc-only
32.61,06:28:07,1327.1,452,10.000,0,0,0.000,HEAVY,1.94,396,tc-only
33.12,06:28:07,1530.8,449,10.004,0,0,0.000,HEAVY,1.94,396,tc-only
33.62,06:28:08,1738.5,463,10.001,0,0,0.000,HEAVY,1.94,396,tc-only
34.12,06:28:08,1932.4,453,9.997,0,0,0.000,HEAVY,1.94,396,tc-only
34.63,06:28:09,2140.7,461,10.003,0,0,0.000,HEAVY,1.94,396,tc-only
35.13,06:28:09,2293.3,449,9.997,0,0,0.000,HEAVY,1.74,357,tc-only
35.64,06:28:10,2525.2,472,10.003,0,0,0.000,HEAVY,1.74,357,tc-only
