t_s,dr_gradient,bl_gradient,rtt_gradient,regime,trajectory,predicted,workload
2.536,394.4528,-11.6237,0.0000,HEAVY,STABLE,HEAVY,MICE
5.074,390.0832,-2.5548,0.0000,HEAVY,STABLE,HEAVY,MICE
7.614,523.1944,-17.2905,0.0000,HEAVY,STABLE,HEAVY,MICE
10.151,275.4882,-5.5407,0.0000,HEAVY,STABLE,HEAVY,MICE
12.692,311.3311,-1.5991,0.0000,HEAVY,STABLE,HEAVY,MICE
15.231,423.0332,3.9505,0.0000,HEAVY,STABLE,HEAVY,MICE
17.772,14.9685,4.7446,0.0000,HEAVY,STABLE,HEAVY,MICE
20.311,-675.3838,-2.4353,0.0000,HEAVY,RECOVERING,MODERATE,MICE
22.851,711.8744,2.1598,0.0000,HEAVY,STABLE,HEAVY,MICE
25.389,922.1430,3.9648,0.0000,HEAVY,STABLE,HEAVY,MICE
27.931,1310.3373,1.8710,0.0000,HEAVY,STABLE,HEAVY,MICE
30.469,1006.9627,2.2555,0.0000,HEAVY,STABLE,HEAVY,MICE
33.011,1799.7237,4.8187,0.0000,HEAVY,STABLE,HEAVY,MICE
35.558,-15.4918,1.7670,0.0000,HEAVY,STABLE,HEAVY,MICE
38.098,189.0826,-40.5509,0.0000,HEAVY,STABLE,HEAVY,MICE
40.637,573.4130,16.2051,0.0000,HEAVY,STABLE,HEAVY,MICE
43.183,-4805.6323,-3.2494,0.0000,HEAVY,RECOVERING,MODERATE,MICE
45.721,-273.9867,2.7225,0.0000,HEAVY,RECOVERING,MODERATE,MICE
48.262,5873.6739,-10.9158,0.0000,HEAVY,STABLE,HEAVY,MICE
50.801,250.5961,1.1224,0.0000,HEAVY,STABLE,HEAVY,MICE
53.347,12068.6527,-11.6928,0.0000,HEAVY,STABLE,HEAVY,MICE
55.891,-284.6939,3.4185,0.0000,HEAVY,RECOVERING,MODERATE,MICE
58.443,9731.4183,-10.7629,0.0000,HEAVY,STABLE,HEAVY,MICE
60.994,-795.7795,1.5692,0.0000,HEAVY,RECOVERING,MODERATE,MICE
63.560,8575.8673,-10.0576,0.0000,HEAVY,STABLE,HEAVY,MICE
66.122,790.7584,0.2249,0.0000,HEAVY,STABLE,HEAVY,MICE
68.691,1717.9974,-8.5957,0.0000,HEAVY,STABLE,HEAVY,MICE
71.254,-887.5273,-0.0244,0.0000,HEAVY,RECOVERING,MODERATE,MICE
73.823,-396.6373,0.3048,0.0000,HEAVY,RECOVERING,MODERATE,MICE
76.388,-339.8911,1.1465,0.0000,HEAVY,RECOVERING,MODERATE,MICE
78.958,-681.6363,-1.3338,0.0000,HEAVY,RECOVERING,MODERATE,MICE
81.526,-514.4649,1.6643,0.0000,HEAVY,RECOVERING,MODERATE,MICE
84.093,1453.1941,1.2411,0.0000,HEAVY,STABLE,HEAVY,MICE
86.658,-399.8839,0.3205,0.0000,HEAVY,RECOVERING,MODERATE,MICE
89.223,1144.4222,0.3898,0.0000,HEAVY,STABLE,HEAVY,MICE
91.810,-918.4695,1.0144,0.0000,HEAVY,RECOVERING,MODERATE,MICE
94.390,231.7374,-0.2884,0.0000,HEAVY,STABLE,HEAVY,MICE
96.958,64.4460,-0.5636,0.0000,HEAVY,STABLE,HEAVY,MICE
99.524,682.1123,2.0880,0.0000,HEAVY,STABLE,HEAVY,MICE
102.092,8.9123,0.3182,0.0000,HEAVY,STABLE,HEAVY,MICE
104.670,-1191.3144,0.4478,0.0000,HEAVY,RECOVERING,MODERATE,MICE
107.235,-1853.8425,0.8067,0.0000,HEAVY,RECOVERING,MODERATE,MICE
109.805,-1012.4563,-0.2711,0.0000,HEAVY,RECOVERING,MODERATE,MICE
112.378,4270.4766,-2.9329,0.0000,HEAVY,STABLE,HEAVY,MICE
114.946,702.0453,-0.0133,0.0000,HEAVY,STABLE,HEAVY,MICE
117.514,-1015.6078,0.5773,0.0000,HEAVY,RECOVERING,MODERATE,MICE
120.081,-35.7367,0.3306,0.0000,HEAVY,RECOVERING,MODERATE,MICE
122.649,246.8205,-0.9563,0.0000,HEAVY,STABLE,HEAVY,MICE
125.217,334.0866,1.3792,0.0000,HEAVY,STABLE,HEAVY,MICE
127.786,255.8471,0.5888,0.0000,HEAVY,STABLE,HEAVY,MICE
130.353,578.0727,-1.0622,0.0000,HEAVY,STABLE,HEAVY,MICE
132.931,-1549.1873,0.8462,0.0000,HEAVY,RECOVERING,MODERATE,MICE
135.510,-213.1181,-1.5765,0.0000,HEAVY,RECOVERING,MODERATE,MICE
138.084,-356.1304,1.0242,0.0000,HEAVY,RECOVERING,MODERATE,MICE
