t_s,avg_q,drop_rate_per_s,backlog_pkts,throughput_mbps,max_p,target_ms,limit_pkts
0.0,0.5,132892.3,246,9.994,0.045,4.64,954
0.51,1.2,5488.9,346,10.002,0.04,4.64,954
1.02,2.0,5145.3,394,9.999,0.035,4.72,970
1.53,2.8,5965.7,396,9.999,0.03,4.72,970
2.03,3.6,6611.8,417,10.006,0.025,4.72,970
2.54,4.3,7419.8,382,10.003,0.02,4.84,993
3.04,5.0,8158.3,331,9.994,0.015,4.84,993
3.55,5.7,8220.9,369,10.004,0.01,4.84,993
4.05,6.5,9089.1,387,9.998,0.01,4.84,993
4.56,7.3,9202.7,416,10.002,0.01,4.84,993
5.06,8.0,9573.4,377,9.993,0.01,4.84,993
5.57,8.8,8667.5,408,10.008,0.01,4.84,993
6.07,9.6,8507.0,378,10.0,0.01,4.84,993
6.58,10.5,8197.8,458,9.998,0.01,4.84,993
7.08,11.3,7472.5,401,9.999,0.01,4.84,993
7.59,11.9,7172.0,342,10.0,0.01,4.84,993
8.09,12.6,7587.9,373,9.996,0.01,4.84,993
8.6,13.4,8385.4,414,10.007,0.01,4.84,993
9.1,14.2,8486.6,366,9.999,0.01,4.84,993
9.6,14.9,9310.7,407,10.002,0.01,4.84,993
10.11,15.6,10120.2,337,10.001,0.01,4.84,993
10.61,16.4,10356.9,418,9.996,0.01,4.84,993
11.11,17.1,9899.0,380,9.998,0.01,4.84,993
11.62,17.9,10318.5,423,10.004,0.01,4.84,993
12.12,18.7,11116.8,410,10.001,0.01,4.84,993
12.63,19.5,11876.7,435,9.999,0.01,4.84,993
13.13,20.3,12233.3,420,9.996,0.01,4.84,993
13.63,21.0,12794.5,335,10.004,0.01,4.84,993
14.14,21.7,13085.9,400,10.002,0.01,4.84,993
14.64,22.5,13469.2,411,9.999,0.01,4.84,993
15.15,23.3,13294.8,415,10.002,0.01,4.84,993
15.65,24.0,13169.4,379,9.996,0.01,4.84,993
