t,state,reason,old_target,new_target,old_limit,new_limit
4.03,HEAVY,mult-decrease β=0.9,5.00,4.50,1024,921
7.07,HEAVY,mult-decrease β=0.9,4.50,4.05,921,829
10.10,HEAVY,mult-decrease β=0.9,4.05,3.65,829,746
13.13,HEAVY,mult-decrease β=0.9,3.65,3.28,746,671
16.16,HEAVY,mult-decrease β=0.9,3.28,2.95,671,604
19.19,HEAVY,mult-decrease β=0.9,2.95,2.66,604,544
22.23,HEAVY,mult-decrease β=0.9,2.66,2.39,544,489
25.26,HEAVY,mult-decrease β=0.9,2.39,2.15,489,440
28.28,HEAVY,mult-decrease β=0.9,2.15,1.94,440,396
31.31,HEAVY,mult-decrease β=0.9,1.94,1.74,396,357
34.34,HEAVY,mult-decrease β=0.9,1.74,1.57,357,321
37.36,HEAVY,mult-decrease β=0.9,1.57,1.41,321,289
40.39,HEAVY,mult-decrease β=0.9,1.41,1.27,289,260
43.42,HEAVY,mult-decrease β=0.9,1.27,1.14,260,256
46.45,HEAVY,mult-decrease β=0.9,1.14,1.03,256,256
49.49,HEAVY,mult-decrease β=0.9,1.03,1.00,256,256
52.52,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
55.55,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
58.58,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
61.61,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
64.64,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
67.67,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
70.70,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
73.73,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
76.77,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
79.81,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
82.86,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
85.89,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
88.93,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
91.96,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
95.01,NORMAL,add-increase α=0.5,1.00,1.50,256,288
98.05,NORMAL,add-increase α=0.5,1.50,2.00,288,320
101.08,NORMAL,add-increase α=0.5,2.00,2.50,320,352
104.12,HEAVY,mult-decrease β=0.9,2.50,2.25,352,316
107.16,HEAVY,mult-decrease β=0.9,2.25,2.02,316,285
110.21,HEAVY,mult-decrease β=0.9,2.02,1.82,285,256
113.24,HEAVY,mult-decrease β=0.9,1.82,1.64,256,256
116.27,HEAVY,mult-decrease β=0.9,1.64,1.48,256,256
119.30,HEAVY,mult-decrease β=0.9,1.48,1.33,256,256
122.33,HEAVY,mult-decrease β=0.9,1.33,1.20,256,256
125.36,HEAVY,mult-decrease β=0.9,1.20,1.08,256,256
128.39,HEAVY,mult-decrease β=0.9,1.08,1.00,256,256
131.41,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
134.49,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
137.55,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
140.58,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
143.61,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
147.14,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
150.17,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
153.19,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
156.22,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
159.26,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
162.35,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
165.41,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
168.43,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
171.47,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
174.50,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
177.53,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
180.57,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
183.60,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
186.63,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
189.66,HEAVY,mult-decrease β=0.9,1.00,1.00,256,256
194.21,NORMAL,add-increase α=0.5,1.00,1.50,256,288
197.25,NORMAL,add-increase α=0.5,1.50,2.00,288,320
200.29,NORMAL,add-increase α=0.5,2.00,2.50,320,352
203.33,NORMAL,add-increase α=0.5,2.50,3.00,352,384
206.36,NORMAL,add-increase α=0.5,3.00,3.50,384,416
209.47,NORMAL,add-increase α=0.5,3.50,4.00,416,448
212.63,NORMAL,add-increase α=0.5,4.00,4.50,448,480
215.66,NORMAL,add-increase α=0.5,4.50,5.00,480,512
218.77,NORMAL,add-increase α=0.5,5.00,5.00,512,544
221.83,NORMAL,add-increase α=0.5,5.00,5.00,544,576
224.87,NORMAL,add-increase α=0.5,5.00,5.00,576,608
227.91,NORMAL,add-increase α=0.5,5.00,5.00,608,640
231.02,NORMAL,add-increase α=0.5,5.00,5.00,640,672
234.06,NORMAL,add-increase α=0.5,5.00,5.00,672,704
237.11,NORMAL,add-increase α=0.5,5.00,5.00,704,736
240.16,NORMAL,add-increase α=0.5,5.00,5.00,736,768
243.20,NORMAL,add-increase α=0.5,5.00,5.00,768,800
246.25,NORMAL,add-increase α=0.5,5.00,5.00,800,832
249.31,NORMAL,add-increase α=0.5,5.00,5.00,832,864
252.65,NORMAL,add-increase α=0.5,5.00,5.00,864,896
