t_s,backlog_pkts,backlog_bytes,target_ms,limit_pkts,quantum_bytes,drop_rate,throughput_mbps,sojourn_ms
104.4,17,25738,5.0,993,1514,179.4,5.009,38.01
105.4,17,25738,5.0,993,1514,174.4,4.998,38.1
106.4,19,28766,5.0,993,1514,187.3,4.996,42.59
107.4,15,22710,5.0,993,1514,204.3,4.998,33.61
108.5,21,31794,5.0,993,1514,186.4,4.998,47.06
109.5,20,30280,5.0,993,1514,193.9,4.998,44.82
110.5,17,25738,5.0,993,1514,204.1,5.005,38.04
111.5,11,16654,5.0,993,1514,181.3,5.008,24.6
112.5,20,30280,5.0,993,1514,190.3,4.996,44.84
113.5,16,24224,5.0,993,1514,192.8,4.995,35.88
114.5,9,13626,5.0,993,1514,196.2,5.007,20.13
115.5,12,18168,5.0,993,1514,193.3,4.996,26.9
116.5,19,28766,5.0,993,1514,185.8,4.995,42.6
117.5,17,25738,5.0,993,1514,199.9,4.998,38.1
118.5,11,16654,5.0,993,1514,191.4,5.012,24.58
119.5,12,18168,5.0,993,1514,192.2,4.994,26.91
120.5,10,15140,5.0,993,1514,188.9,4.997,22.41
121.5,9,13626,5.0,993,1514,194.4,4.998,20.17
122.5,14,21196,5.0,993,1514,180.3,5.008,31.31
123.5,20,30280,5.0,993,1514,177.3,4.994,44.85
124.5,20,30280,5.0,993,1514,207.8,4.998,44.82
125.5,25,37850,5.0,993,1514,196.4,5.01,55.89
126.5,18,27252,5.0,993,1514,212.2,4.996,40.35
127.5,15,22710,5.0,993,1514,204.8,4.996,33.63
128.5,19,28766,5.0,993,1514,186.9,4.998,42.58
129.5,22,33308,5.0,993,1514,191.2,5.005,49.23
130.6,16,24224,5.0,993,1514,201.7,4.994,35.88
131.6,17,25738,5.0,993,1514,193.0,5.0,38.08
132.6,16,24224,5.0,993,1514,187.4,5.009,35.78
133.6,19,28766,5.0,993,1514,201.8,4.997,42.59
134.6,17,25738,5.0,993,1514,197.0,5.001,38.07
135.6,12,18168,5.0,993,1514,204.3,4.997,26.9
136.6,18,27252,5.0,993,1514,196.1,5.004,40.29
137.6,11,16654,5.0,993,1514,202.8,4.998,24.65
138.6,15,22710,5.0,993,1514,195.2,4.993,33.65
139.6,14,21196,5.0,993,1514,179.2,5.003,31.34
140.6,18,27252,5.0,993,1514,203.6,4.993,40.38
141.6,15,22710,5.0,993,1514,193.3,5.01,33.53
142.6,25,37850,5.0,993,1514,187.2,4.992,56.09
143.6,0,0,5.0,993,1514,199.8,5.009,0.0
144.6,18,27252,5.0,993,1514,198.2,4.995,40.36
145.6,22,33308,5.0,993,1514,180.4,5.01,49.18
146.6,14,21196,5.0,993,1514,209.0,4.992,31.41
147.6,22,33308,5.0,993,1514,194.0,5.0,49.28
148.6,19,28766,5.0,993,1514,202.2,5.006,42.51
149.6,24,36336,5.0,993,1514,184.9,4.997,53.79
150.6,12,18168,5.0,993,1514,210.9,5.0,26.88
151.7,21,31794,5.0,993,1514,179.3,4.995,47.09
152.7,19,28766,5.0,993,1514,195.3,4.997,42.59
153.7,13,19682,5.0,993,1514,203.9,5.011,29.06
