[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns1/veth1...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=9
[eBPF] Layer 3: ✅ global_map id=10

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260401_112753.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   26.9       HEAVY       STABLE       HEAVY   15053.7    400       0      0    0.00ms      MICE    3.0ms    603     5
   27.4       HEAVY       STABLE       HEAVY   15640.9    416       0      0    0.00ms      MICE    3.0ms    603     5
   27.9       HEAVY       STABLE       HEAVY   15439.9    391       0      0    0.00ms      MICE    3.0ms    603     5
   28.4       HEAVY       STABLE       HEAVY   15277.6    418       0      0    0.00ms      MICE    3.0ms    603     5
   29.0       HEAVY       STABLE       HEAVY   15848.2    375       0      0    0.00ms      MICE    3.0ms    603     5
   29.5       HEAVY       STABLE       HEAVY   16448.3    403       0      0    0.00ms      MICE    3.0ms    603     5
   30.0       HEAVY       STABLE       HEAVY   16252.6    411       0      0    0.00ms      MICE    3.0ms    603     5
   30.5       HEAVY       STABLE       HEAVY   14882.1      0       0      0    0.00ms      MICE    2.7ms    542     6
   31.0       HEAVY       STABLE       HEAVY   15907.0    427       0      0    0.00ms      MICE    2.7ms    542     6
   31.5       HEAVY       STABLE       HEAVY   16302.9    386       0      0    0.00ms      MICE    2.7ms    542     6
   32.0       HEAVY       STABLE       HEAVY   16986.6    411       0      0    0.00ms      MICE    2.7ms    542     6
   32.5       HEAVY       STABLE       HEAVY   17718.6    420       0      0    0.00ms      MICE    2.7ms    542     6
   33.0       HEAVY       STABLE       HEAVY   18431.2    428       0      0    0.00ms      MICE    2.7ms    542     6
   33.5       HEAVY       STABLE       HEAVY   17770.5    392       0      0    0.00ms      MICE    2.7ms    542     6
   34.0       HEAVY       STABLE       HEAVY   18014.7    428       0      0    0.00ms      MICE    2.7ms    542     6
   34.5       HEAVY       STABLE       HEAVY   18599.6    405       0      0    0.00ms      MICE    2.7ms    542     6
   35.1       HEAVY       STABLE       HEAVY   19651.3      0       0      0    0.00ms      MICE    2.7ms    542     6
   35.6       HEAVY       STABLE       HEAVY   19712.4    409       0      0    0.00ms      MICE    2.4ms    487     7
   36.1       HEAVY       STABLE       HEAVY   19672.7    415       0      0    0.00ms      MICE    2.4ms    487     7
   36.6       HEAVY       STABLE       HEAVY   19763.4    427       0      0    0.00ms      MICE    2.4ms    487     7
   37.1       HEAVY       STABLE       HEAVY   20564.5    443       0      0    0.00ms      MICE    2.4ms    487     7
   37.6       HEAVY       STABLE       HEAVY   21413.1    389       0      0    0.00ms      MICE    2.4ms    487     7
   38.1       HEAVY       STABLE       HEAVY   22216.2    445       0      0    0.00ms      MICE    2.4ms    487     7
   38.6       HEAVY       STABLE       HEAVY   23042.5    417       0      0    0.00ms      MICE    2.4ms    487     7
   39.1       HEAVY       STABLE       HEAVY   23828.9    371       0      0    0.00ms      MICE    2.4ms    487     7
