t_s,regime,trajectory,predicted,old_target,new_target,old_limit,new_limit,workload,reason
5.13,HEAVY,RECOVERING,MODERATE,5.00,4.50,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
10.26,HEAVY,STABLE,HEAVY,4.50,4.05,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
15.40,HEAVY,RECOVERING,MODERATE,4.05,3.65,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
20.55,HEAVY,STABLE,HEAVY,3.65,3.28,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
25.69,HEAVY,STABLE,HEAVY,3.28,2.95,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
30.82,HEAVY,RECOVERING,MODERATE,2.95,2.66,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
35.96,HEAVY,STABLE,HEAVY,2.66,2.39,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
41.09,HEAVY,RECOVERING,MODERATE,2.39,2.15,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
46.23,HEAVY,STABLE,HEAVY,2.15,1.94,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
51.37,HEAVY,STABLE,HEAVY,1.94,1.74,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
56.50,HEAVY,STABLE,HEAVY,1.74,1.57,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
61.64,HEAVY,STABLE,HEAVY,1.57,1.41,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
66.78,HEAVY,STABLE,HEAVY,1.41,1.27,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
71.92,HEAVY,RECOVERING,MODERATE,1.27,1.14,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
77.06,HEAVY,STABLE,HEAVY,1.14,1.03,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
