t_s,dr_gradient,bl_gradient,rtt_gradient,regime,trajectory,predicted,workload
2.521,402.1313,6.9483,0.0000,HEAVY,STABLE,HEAVY,MICE
5.040,400.3088,-48.9636,0.0000,HEAVY,STABLE,HEAVY,MICE
7.562,515.9792,-16.6059,0.0000,HEAVY,STABLE,HEAVY,MICE
10.080,484.3596,-34.9710,0.0000,HEAVY,STABLE,HEAVY,MICE
12.604,679.5277,-3.4826,0.0000,HEAVY,STABLE,HEAVY,MICE
15.124,504.7524,-1.7573,0.0000,HEAVY,STABLE,HEAVY,MICE
17.645,363.7565,3.6892,0.0000,HEAVY,STABLE,HEAVY,MICE
20.161,-403.3448,-4.8925,0.0000,HEAVY,RECOVERING,MODERATE,MICE
22.685,-185.0384,-30.8185,0.0000,HEAVY,RECOVERING,MODERATE,MICE
25.203,924.6677,-0.7735,0.0000,HEAVY,STABLE,HEAVY,MICE
27.721,1418.9011,8.9192,0.0000,HEAVY,STABLE,HEAVY,MICE
30.236,1090.9686,0.5278,0.0000,HEAVY,STABLE,HEAVY,MICE
32.752,1121.4483,4.6495,0.0000,HEAVY,STABLE,HEAVY,MICE
35.265,938.6990,4.4997,0.0000,HEAVY,STABLE,HEAVY,MICE
37.780,-440.0971,0.3960,0.0000,HEAVY,RECOVERING,MODERATE,MICE
40.294,-1761.6554,6.1732,0.0000,HEAVY,RECOVERING,MODERATE,MICE
42.815,-3735.5576,-33.0061,0.0000,HEAVY,RECOVERING,MODERATE,MICE
45.333,516.1126,26.0030,0.0000,HEAVY,STABLE,HEAVY,MICE
47.852,3325.9340,1.7746,0.0000,HEAVY,STABLE,HEAVY,MICE
50.368,1646.3687,-0.6417,0.0000,HEAVY,STABLE,HEAVY,MICE
52.881,10743.9519,-7.0774,0.0000,HEAVY,STABLE,HEAVY,MICE
55.393,-1835.9450,0.9407,0.0000,HEAVY,RECOVERING,MODERATE,MICE
57.908,11055.0060,-11.9951,0.0000,HEAVY,STABLE,HEAVY,MICE
60.422,224.2326,-0.4821,0.0000,HEAVY,STABLE,HEAVY,MICE
62.941,6607.7025,-7.0936,0.0000,HEAVY,STABLE,HEAVY,MICE
65.460,1015.2924,-0.3733,0.0000,HEAVY,STABLE,HEAVY,MICE
67.980,3752.6937,-6.3898,0.0000,HEAVY,STABLE,HEAVY,MICE
70.498,-1713.2563,0.6981,0.0000,HEAVY,RECOVERING,MODERATE,MICE
73.019,-2763.1889,-0.6986,0.0000,HEAVY,RECOVERING,MODERATE,MICE
75.537,166.8915,1.6729,0.0000,HEAVY,STABLE,HEAVY,MICE
78.060,1892.5276,-0.0610,0.0000,HEAVY,STABLE,HEAVY,MICE
80.578,208.3920,1.9253,0.0000,HEAVY,STABLE,HEAVY,MICE
83.097,-844.3255,-0.0838,0.0000,HEAVY,RECOVERING,MODERATE,MICE
85.616,-495.9375,-0.9625,0.0000,HEAVY,RECOVERING,MODERATE,MICE
88.133,1225.6821,-0.0483,0.0000,HEAVY,STABLE,HEAVY,MICE
90.650,40.7939,0.3610,0.0000,HEAVY,STABLE,HEAVY,MICE
93.169,-294.7427,-1.2997,0.0000,HEAVY,RECOVERING,MODERATE,MICE
95.688,-502.6799,3.8137,0.0000,HEAVY,RECOVERING,MODERATE,MICE
98.207,-54.9766,-0.0116,0.0000,HEAVY,RECOVERING,MODERATE,MICE
100.724,276.2392,1.1676,0.0000,HEAVY,STABLE,HEAVY,MICE
103.242,425.3710,-0.8305,0.0000,HEAVY,STABLE,HEAVY,MICE
105.759,-588.8462,1.2281,0.0000,HEAVY,RECOVERING,MODERATE,MICE
108.278,176.3014,-0.5540,0.0000,HEAVY,STABLE,HEAVY,MICE
110.796,-155.0005,-0.9028,0.0000,HEAVY,RECOVERING,MODERATE,MICE
113.318,-37240.7960,-71.8993,0.0000,NORMAL,STABLE,NORMAL,MICE
115.842,-15162.5333,-27.2187,0.0000,NORMAL,STABLE,NORMAL,MICE
118.362,0.0000,0.0000,0.0000,NORMAL,STABLE,NORMAL,MICE
120.889,0.0000,0.0000,0.0000,NORMAL,STABLE,NORMAL,MICE
123.417,0.0000,0.0000,0.0000,NORMAL,STABLE,NORMAL,MICE
125.945,0.0000,0.0000,0.0000,NORMAL,STABLE,NORMAL,MICE
128.471,0.0000,0.0000,0.0000,NORMAL,STABLE,NORMAL,MICE
130.996,0.0000,0.0000,0.0000,NORMAL,STABLE,NORMAL,MICE
133.520,0.0000,0.0000,0.0000,NORMAL,STABLE,NORMAL,MICE
136.044,0.0000,0.0000,0.0000,NORMAL,STABLE,NORMAL,MICE
