[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns_router/veth_rs...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=19
[eBPF] Layer 3: ✅ global_map id=20

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260403_082701.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   27.7       HEAVY       STABLE       HEAVY     138.2     15       0      0    0.00ms      MICE    3.0ms    603     5
   28.2       HEAVY       STABLE       HEAVY     154.9     11       0      0    0.00ms      MICE    3.0ms    603     5
   28.7       HEAVY       STABLE       HEAVY     131.4     15       0      0    0.00ms      MICE    3.0ms    603     5
   29.3       HEAVY       STABLE       HEAVY     151.1     10       0      0    0.00ms      MICE    3.0ms    603     5
   29.8       HEAVY       STABLE       HEAVY     151.6     14       0      0    0.00ms      MICE    3.0ms    603     5
   30.3       HEAVY       STABLE       HEAVY     153.6     16       0      0    0.00ms      MICE    3.0ms    603     5
   30.8       HEAVY       STABLE       HEAVY     161.2     12       0      0    0.00ms      MICE    2.7ms    542     6
   31.3       HEAVY       STABLE       HEAVY     149.0     11       0      0    0.00ms      MICE    2.7ms    542     6
   31.8       HEAVY       STABLE       HEAVY     158.7      8       0      0    0.00ms      MICE    2.7ms    542     6
   32.3       HEAVY       STABLE       HEAVY     131.9     15       0      0    0.00ms      MICE    2.7ms    542     6
   32.8       HEAVY       STABLE       HEAVY     161.6     10       0      0    0.00ms      MICE    2.7ms    542     6
   33.4       HEAVY       STABLE       HEAVY     160.8     10       0      0    0.00ms      MICE    2.7ms    542     6
   33.9       HEAVY       STABLE       HEAVY     157.1     10       0      0    0.00ms      MICE    2.7ms    542     6
   34.4       HEAVY       STABLE       HEAVY     147.8     12       0      0    0.00ms      MICE    2.7ms    542     6
   34.9       HEAVY       STABLE       HEAVY     163.2     14       0      0    0.00ms      MICE    2.7ms    542     6
   35.4       HEAVY       STABLE       HEAVY     178.5     14       0      0    0.00ms      MICE    2.7ms    542     6
   35.9       HEAVY       STABLE       HEAVY     157.6     12       0      0    0.00ms      MICE    2.4ms    487     7
   36.4       HEAVY       STABLE       HEAVY     169.4     12       0      0    0.00ms      MICE    2.4ms    487     7
   37.0       HEAVY       STABLE       HEAVY     165.9      9       0      0    0.00ms      MICE    2.4ms    487     7
   37.5       HEAVY       STABLE       HEAVY     160.8     12       0      0    0.00ms      MICE    2.4ms    487     7
   38.0       HEAVY       STABLE       HEAVY     166.2     15       0      0    0.00ms      MICE    2.4ms    487     7
   38.5       HEAVY       STABLE       HEAVY     184.7     11       0      0    0.00ms      MICE    2.4ms    487     7
   39.0       HEAVY       STABLE       HEAVY     167.3     16       0      0    0.00ms      MICE    2.4ms    487     7
   39.5       HEAVY       STABLE       HEAVY     176.5      9       0      0    0.00ms      MICE    2.4ms    487     7
   40.0       HEAVY       STABLE       HEAVY     157.3     12       0      0    0.00ms      MICE    2.4ms    487     7
   40.6       HEAVY       STABLE       HEAVY     170.8     16       0      0    0.00ms      MICE    2.4ms    487     7
   41.1       HEAVY       STABLE       HEAVY     180.6     14       0      0    0.00ms      MICE    2.2ms    438     8
   41.6       HEAVY       STABLE       HEAVY     163.7     11       0      0    0.00ms      MICE    2.2ms    438     8
   42.1       HEAVY       STABLE       HEAVY     168.4     13       0      0    0.00ms      MICE    2.2ms    438     8
   42.6       HEAVY       STABLE       HEAVY     183.3     12       0      0    0.00ms      MICE    2.2ms    438     8
   43.1       HEAVY       STABLE       HEAVY     178.9     11       0      0    0.00ms      MICE    2.2ms    438     8
   43.7       HEAVY       STABLE       HEAVY     165.5     11       0      0    0.00ms      MICE    2.2ms    438     8
   44.2       HEAVY       STABLE       HEAVY     147.0     14       0      0    0.00ms      MICE    2.2ms    438     8
   44.7       HEAVY       STABLE       HEAVY     159.1     10       0      0    0.00ms      MICE    2.2ms    438     8
   45.2       HEAVY       STABLE       HEAVY     172.3     13       0      0    0.00ms      MICE    2.2ms    438     8
   45.7       HEAVY       STABLE       HEAVY     158.8     10       0      0    0.00ms      MICE    2.2ms    438     8
   46.2       HEAVY       STABLE       HEAVY     166.5     11       0      0    0.00ms      MICE    1.9ms    394     9
   46.7       HEAVY       STABLE       HEAVY     173.1     13       0      0    0.00ms      MICE    1.9ms    394     9
   47.3       HEAVY       STABLE       HEAVY     192.4     10       0      0    0.00ms      MICE    1.9ms    394     9
   47.8       HEAVY       STABLE       HEAVY     157.0     10       0      0    0.00ms      MICE    1.9ms    394     9
   48.3       HEAVY       STABLE       HEAVY     182.1     17       0      0    0.00ms      MICE    1.9ms    394     9
   48.8       HEAVY       STABLE       HEAVY     191.4     10       0      0    0.00ms      MICE    1.9ms    394     9
   49.3       HEAVY       STABLE       HEAVY     201.3      9       0      0    0.00ms      MICE    1.9ms    394     9
   49.8       HEAVY       STABLE       HEAVY     173.9      9       0      0    0.00ms      MICE    1.9ms    394     9
   50.3       HEAVY       STABLE       HEAVY     158.2     12       0      0    0.00ms      MICE    1.9ms    394     9
   50.8       HEAVY       STABLE       HEAVY     174.5      9       0      0    0.00ms      MICE    1.9ms    394     9
   51.4       HEAVY       STABLE       HEAVY     182.2     12       0      0    0.00ms      MICE    1.7ms    354    10
   51.9       HEAVY       STABLE       HEAVY     155.2     11       0      0    0.00ms      MICE    1.7ms    354    10
   52.4       HEAVY       STABLE       HEAVY     178.1     12       0      0    0.00ms      MICE    1.7ms    354    10
   52.9       HEAVY       STABLE       HEAVY     153.3     13       0      0    0.00ms      MICE    1.7ms    354    10
   53.4       HEAVY       STABLE       HEAVY     188.2     13       0      0    0.00ms      MICE    1.7ms    354    10
   53.9       HEAVY       STABLE       HEAVY     172.8      5       0      0    0.00ms      MICE    1.7ms    354    10
   54.5       HEAVY       STABLE       HEAVY     155.1     13       0      0    0.00ms      MICE    1.7ms    354    10
   55.0       HEAVY       STABLE       HEAVY     189.9     14       0      0    0.00ms      MICE    1.7ms    354    10
   55.5       HEAVY       STABLE       HEAVY     152.4     16       0      0    0.00ms      MICE    1.7ms    354    10
   56.0       HEAVY       STABLE       HEAVY     168.9      7       0      0    0.00ms      MICE    1.7ms    354    10
   56.5       HEAVY       STABLE       HEAVY     187.9     12       0      0    0.00ms      MICE    1.6ms    318    11
   57.0       HEAVY       STABLE       HEAVY     157.8     14       0      0    0.00ms      MICE    1.6ms    318    11
   57.5       HEAVY       STABLE       HEAVY     139.7     14       0      0    0.00ms      MICE    1.6ms    318    11
   58.1       HEAVY       STABLE       HEAVY     158.8     11       0      0    0.00ms      MICE    1.6ms    318    11
   58.6       HEAVY       STABLE       HEAVY     186.1     14       0      0    0.00ms      MICE    1.6ms    318    11
   59.1       HEAVY       STABLE       HEAVY     171.6     12       0      0    0.00ms      MICE    1.6ms    318    11
   59.6       HEAVY       STABLE       HEAVY     172.6     12       0      0    0.00ms      MICE    1.6ms    318    11
   60.1       HEAVY       STABLE       HEAVY     168.9     16       0      0    0.00ms      MICE    1.6ms    318    11
   60.6       HEAVY       STABLE       HEAVY     192.6     12       0      0    0.00ms      MICE    1.6ms    318    11
   61.1       HEAVY       STABLE       HEAVY     176.7      8       0      0    0.00ms      MICE    1.6ms    318    11
   61.7       HEAVY       STABLE       HEAVY     151.7     11       0      0    0.00ms      MICE    1.4ms    286    12
   62.2       HEAVY       STABLE       HEAVY     135.5     13       0      0    0.00ms      MICE    1.4ms    286    12
   62.7       HEAVY       STABLE       HEAVY     178.3     11       0      0    0.00ms      MICE    1.4ms    286    12
   63.2       HEAVY       STABLE       HEAVY     164.0     12       0      0    0.00ms      MICE    1.4ms    286    12
   63.7       HEAVY       STABLE       HEAVY     165.1      9       0      0    0.00ms      MICE    1.4ms    286    12
   64.2       HEAVY       STABLE       HEAVY     168.5     14       0      0    0.00ms      MICE    1.4ms    286    12
   64.8       HEAVY       STABLE       HEAVY     172.9      8       0      0    0.00ms      MICE    1.4ms    286    12
   65.3       HEAVY       STABLE       HEAVY     155.7     11       0      0    0.00ms      MICE    1.4ms    286    12
   65.8       HEAVY       STABLE       HEAVY     139.8     14       0      0    0.00ms      MICE    1.4ms    286    12
   66.3       HEAVY       STABLE       HEAVY     173.0     12       0      0    0.00ms      MICE    1.4ms    286    12
   66.8       HEAVY       STABLE       HEAVY     194.7      9       0      0    0.00ms      MICE    1.3ms    257    13
