t,drop_rate,backlog,throughput_mbps,drops_total,state,target_ms,interval_ms,limit
0.00,0.0000,397,0.000,61852,HEAVY,5,100,1024
0.51,4829.5842,457,10.000,64294,HEAVY,5,100,1024
1.01,5090.3668,458,9.999,66868,HEAVY,5,100,1024
1.52,5274.6003,406,10.000,69535,HEAVY,5,100,1024
2.03,5186.7120,447,10.001,72161,HEAVY,5,100,1024
2.53,5328.3306,0,9.997,74861,HEAVY,5,100,1024
3.04,5668.3333,461,10.002,77731,HEAVY,5,100,1024
3.55,5249.6693,455,10.000,80388,HEAVY,5,100,1024
4.05,5040.3026,470,9.999,82940,HEAVY,5,100,1024
4.56,5337.3389,447,10.001,85639,HEAVY,5,100,1024
5.07,5809.7151,0,10.003,88597,HEAVY,4.5,90.0,921
5.57,5465.2029,447,9.997,91361,HEAVY,4.5,90.0,921
6.08,5830.8468,461,10.007,94305,HEAVY,4.5,90.0,921
6.58,5589.4185,454,9.996,97127,HEAVY,4.5,90.0,921
7.09,6014.1849,452,10.002,100165,HEAVY,4.5,90.0,921
7.59,6260.3913,470,9.999,103332,HEAVY,4.5,90.0,921
8.10,5921.4430,435,10.000,106323,HEAVY,4.5,90.0,921
8.60,5455.7784,452,9.996,109084,HEAVY,4.5,90.0,921
9.11,5105.7122,466,10.001,111663,HEAVY,4.5,90.0,921
9.61,5445.5973,428,10.000,114413,HEAVY,4.5,90.0,921
