[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns_router/veth_rs...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=37
[eBPF] Layer 3: ✅ global_map id=38

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260409_122449.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   27.6       HEAVY       STABLE       HEAVY     154.1     13       0      0    0.00ms      MICE    3.3ms    670     4
   28.1       HEAVY       STABLE       HEAVY     150.0     14       0      0    0.00ms      MICE    3.3ms    670     4
   28.6       HEAVY       STABLE       HEAVY     170.4     12       0      0    0.00ms      MICE    3.3ms    670     4
   29.1       HEAVY       STABLE       HEAVY     145.6      7       0      0    0.00ms      MICE    3.3ms    670     4
   29.6       HEAVY       STABLE       HEAVY     130.0     11       0      0    0.00ms      MICE    3.3ms    670     4
   30.1       HEAVY       STABLE       HEAVY     145.5     12       0      0    0.00ms      MICE    3.3ms    670     4
   30.6       HEAVY       STABLE       HEAVY     141.7     11       0      0    0.00ms      MICE    3.0ms    603     5
   31.1       HEAVY       STABLE       HEAVY     156.9     12       0      0    0.00ms      MICE    3.0ms    603     5
   31.6       HEAVY       STABLE       HEAVY     175.2     10       0      0    0.00ms      MICE    3.0ms    603     5
   32.2       HEAVY       STABLE       HEAVY     155.7     14       0      0    0.00ms      MICE    3.0ms    603     5
   32.7       HEAVY       STABLE       HEAVY     173.0      9       0      0    0.00ms      MICE    3.0ms    603     5
   33.2       HEAVY       STABLE       HEAVY     147.9     11       0      0    0.00ms      MICE    3.0ms    603     5
   33.7       HEAVY       STABLE       HEAVY     158.9     12       0      0    0.00ms      MICE    3.0ms    603     5
   34.2       HEAVY       STABLE       HEAVY     135.5     16       0      0    0.00ms      MICE    3.0ms    603     5
   34.7       HEAVY       STABLE       HEAVY     153.5     13       0      0    0.00ms      MICE    3.0ms    603     5
   35.2       HEAVY       STABLE       HEAVY     138.2     11       0      0    0.00ms      MICE    3.0ms    603     5
   35.7       HEAVY       STABLE       HEAVY     160.8     12       0      0    0.00ms      MICE    2.7ms    542     6
   36.2       HEAVY       STABLE       HEAVY     166.3     11       0      0    0.00ms      MICE    2.7ms    542     6
   36.8       HEAVY       STABLE       HEAVY     172.4     13       0      0    0.00ms      MICE    2.7ms    542     6
   37.3       HEAVY       STABLE       HEAVY     166.0      6       0      0    0.00ms      MICE    2.7ms    542     6
   37.8       HEAVY       STABLE       HEAVY     155.3     15       0      0    0.00ms      MICE    2.7ms    542     6
   38.3       HEAVY       STABLE       HEAVY     182.4      9       0      0    0.00ms      MICE    2.7ms    542     6
   38.8       HEAVY       STABLE       HEAVY     162.5     13       0      0    0.00ms      MICE    2.7ms    542     6
   39.3       HEAVY       STABLE       HEAVY     147.5     15       0      0    0.00ms      MICE    2.7ms    542     6
   39.8       HEAVY       STABLE       HEAVY     181.4     13       0      0    0.00ms      MICE    2.7ms    542     6
   40.3       HEAVY       STABLE       HEAVY     157.3     10       0      0    0.00ms      MICE    2.7ms    542     6
   40.8       HEAVY       STABLE       HEAVY     165.4     14       0      0    0.00ms      MICE    2.4ms    487     7
   41.4       HEAVY       STABLE       HEAVY     185.5     12       0      0    0.00ms      MICE    2.4ms    487     7
   41.9       HEAVY       STABLE       HEAVY     185.1     13       0      0    0.00ms      MICE    2.4ms    487     7
   42.4       HEAVY       STABLE       HEAVY     153.8      8       0      0    0.00ms      MICE    2.4ms    487     7
   42.9       HEAVY       STABLE       HEAVY     167.5     13       0      0    0.00ms      MICE    2.4ms    487     7
   43.4       HEAVY       STABLE       HEAVY     174.4      8       0      0    0.00ms      MICE    2.4ms    487     7
   43.9       HEAVY       STABLE       HEAVY     172.0     16       0      0    0.00ms      MICE    2.4ms    487     7
   44.4       HEAVY       STABLE       HEAVY     173.4     13       0      0    0.00ms      MICE    2.4ms    487     7
   44.9       HEAVY       STABLE       HEAVY     176.2     10       0      0    0.00ms      MICE    2.4ms    487     7
   45.4       HEAVY       STABLE       HEAVY     174.7     13       0      0    0.00ms      MICE    2.4ms    487     7
   45.9       HEAVY       STABLE       HEAVY     181.4     14       0      0    0.00ms      MICE    2.2ms    438     8
   46.4       HEAVY       STABLE       HEAVY     184.0      7       0      0    0.00ms      MICE    2.2ms    438     8
