t_s,backlog_pkts,backlog_bytes,target_ms,limit_pkts,quantum_bytes,drop_rate,throughput_mbps,sojourn_ms
101.4,11,16654,15.0,1000,1514,156.3,5.003,24.63
102.4,11,16654,15.0,1000,1514,161.5,4.998,24.65
103.4,12,18168,15.0,1000,1514,173.4,4.998,26.89
104.4,8,12112,15.0,1000,1514,166.4,5.009,17.89
105.4,9,13626,15.0,1000,1514,181.4,4.999,20.16
106.4,3,4542,15.0,1000,1514,177.4,4.996,6.73
107.4,7,10598,15.0,1000,1514,171.4,4.997,15.69
108.4,11,16654,15.0,1000,1514,165.3,4.994,24.67
109.4,9,13626,15.0,1000,1514,173.0,4.999,20.16
110.4,5,7570,15.0,1000,1514,174.3,5.005,11.19
111.4,10,15140,15.0,1000,1514,173.4,4.998,22.41
112.4,10,15140,15.0,1000,1514,153.5,4.998,22.41
113.5,8,12112,15.0,1000,1514,144.5,4.996,17.93
114.5,6,9084,15.0,1000,1514,153.3,5.003,13.43
115.5,5,7570,15.0,1000,1514,165.4,5.008,11.18
116.5,6,9084,15.0,1000,1514,152.3,4.992,13.46
117.5,10,15140,15.0,1000,1514,141.4,5.005,22.38
118.5,7,10598,15.0,1000,1514,168.2,4.991,15.71
119.5,5,7570,15.0,1000,1514,178.3,4.994,11.21
120.5,2,3028,15.0,1000,1514,150.3,5.004,4.48
121.5,5,7570,15.0,1000,1514,143.5,4.995,11.21
122.5,8,12112,15.0,1000,1514,163.4,5.008,17.89
123.5,6,9084,15.0,1000,1514,178.2,4.993,13.46
124.5,8,12112,15.0,1000,1514,179.0,4.997,17.93
125.5,7,10598,15.0,1000,1514,178.8,5.004,15.67
126.5,3,4542,15.0,1000,1514,179.3,4.995,6.73
127.5,8,12112,15.0,1000,1514,173.4,5.01,17.88
128.5,6,9084,15.0,1000,1514,159.1,5.0,13.44
129.5,15,22710,15.0,1000,1514,157.3,4.993,33.65
130.5,5,7570,15.0,1000,1514,184.1,5.001,11.2
131.5,6,9084,15.0,1000,1514,162.2,5.002,13.43
132.5,6,9084,15.0,1000,1514,169.2,5.004,13.43
133.5,6,9084,15.0,1000,1514,166.2,5.003,13.43
134.5,3,4542,15.0,1000,1514,161.3,4.992,6.73
135.6,3,4542,15.0,1000,1514,174.2,5.004,6.71
136.6,10,15140,15.0,1000,1514,158.4,4.995,22.42
137.6,0,0,15.0,1000,1514,156.5,4.877,0.0
138.6,9,13626,15.0,1000,1514,165.3,4.969,20.29
139.6,4,6056,15.0,1000,1514,164.1,5.0,8.96
140.6,16,24224,15.0,1000,1514,147.4,4.994,35.88
141.6,5,7570,15.0,1000,1514,170.3,5.006,11.19
142.6,8,12112,15.0,1000,1514,162.3,4.993,17.95
143.6,6,9084,15.0,1000,1514,157.4,5.009,13.42
144.6,7,10598,15.0,1000,1514,159.4,4.995,15.7
145.6,7,10598,15.0,1000,1514,174.9,4.996,15.69
146.6,8,12112,15.0,1000,1514,165.3,5.004,17.91
147.6,5,7570,15.0,1000,1514,190.0,5.001,11.2
148.6,3,4542,15.0,1000,1514,187.9,4.997,6.72
149.6,4,6056,15.0,1000,1514,184.3,5.007,8.95
150.6,6,9084,15.0,1000,1514,167.4,4.995,13.45
151.6,12,18168,15.0,1000,1514,169.3,4.995,26.91
152.6,10,15140,15.0,1000,1514,169.3,5.004,22.38
153.6,8,12112,15.0,1000,1514,169.3,5.007,17.89
154.6,9,13626,15.0,1000,1514,144.4,4.993,20.19
155.6,16,24224,15.0,1000,1514,145.6,5.0,35.84
156.6,9,13626,15.0,1000,1514,167.3,5.006,20.14
157.6,4,6056,15.0,1000,1514,175.5,4.999,8.96
158.6,6,9084,15.0,1000,1514,185.4,4.999,13.44
159.7,6,9084,15.0,1000,1514,166.3,4.993,13.46
160.7,8,12112,15.0,1000,1514,169.3,5.005,17.9
161.7,5,7570,15.0,1000,1514,174.4,4.997,11.21
162.7,4,6056,15.0,1000,1514,158.5,5.009,8.94
163.7,6,9084,15.0,1000,1514,169.2,4.99,13.47
164.7,9,13626,15.0,1000,1514,158.3,5.005,20.14
165.7,10,15140,15.0,1000,1514,168.5,5.0,22.4
166.7,10,15140,15.0,1000,1514,173.4,4.998,22.41
167.7,6,9084,15.0,1000,1514,162.3,4.993,13.46
168.7,7,10598,15.0,1000,1514,168.5,5.011,15.65
169.7,5,7570,15.0,1000,1514,176.3,4.996,11.21
170.7,8,12112,15.0,1000,1514,165.5,4.998,17.93
171.7,10,15140,15.0,1000,1514,174.3,5.007,22.37
172.7,8,12112,15.0,1000,1514,156.3,4.994,17.94
173.7,12,18168,15.0,1000,1514,154.4,4.996,26.9
174.7,9,13626,15.0,1000,1514,179.2,5.003,20.15
175.7,8,12112,15.0,1000,1514,164.3,5.006,17.9
176.7,8,12112,15.0,1000,1514,173.3,4.993,17.95
177.7,3,4542,15.0,1000,1514,172.4,5.009,6.71
178.7,9,13626,15.0,1000,1514,161.4,4.996,20.18
179.7,10,15140,15.0,1000,1514,168.3,4.995,22.42
180.7,8,12112,15.0,1000,1514,170.1,5.002,17.91
181.7,7,10598,15.0,1000,1514,190.2,4.994,15.7
182.7,8,12112,15.0,1000,1514,158.4,5.009,17.89
183.7,10,15140,15.0,1000,1514,168.4,4.997,22.41
184.7,7,10598,15.0,1000,1514,162.4,4.995,15.7
185.8,9,13626,15.0,1000,1514,157.5,5.01,20.12
186.8,3,4542,15.0,1000,1514,164.4,4.996,6.73
187.8,5,7570,15.0,1000,1514,178.2,4.993,11.22
188.8,7,10598,15.0,1000,1514,172.0,5.009,15.65
189.8,8,12112,15.0,1000,1514,174.3,4.995,17.94
190.8,4,6056,15.0,1000,1514,165.4,5.008,8.95
191.8,12,18168,15.0,1000,1514,151.3,4.993,26.92
192.8,4,6056,15.0,1000,1514,165.5,4.999,8.96
193.8,4,6056,15.0,1000,1514,169.4,5.007,8.95
194.8,11,16654,15.0,1000,1514,152.5,4.998,24.65
195.8,7,10598,15.0,1000,1514,156.1,4.998,15.69
196.8,6,9084,15.0,1000,1514,167.1,5.001,13.44
197.8,11,16654,15.0,1000,1514,169.3,5.006,24.61
198.8,8,12112,15.0,1000,1514,184.3,4.996,17.93
199.8,3,4542,15.0,1000,1514,169.2,5.003,6.72
200.8,3,4542,15.0,1000,1514,173.5,5.0,6.72
201.8,11,16654,15.0,1000,1514,166.4,4.997,24.65
202.8,5,7570,15.0,1000,1514,182.3,4.996,11.21
203.8,10,15140,15.0,1000,1514,182.3,4.997,22.41
204.8,8,12112,15.0,1000,1514,169.1,5.001,17.92
205.8,7,10598,15.0,1000,1514,152.3,5.002,15.67
206.8,12,18168,15.0,1000,1514,142.1,4.995,26.91
207.8,12,18168,15.0,1000,1514,177.4,5.01,26.83
208.8,5,7570,15.0,1000,1514,178.3,4.994,11.21
209.9,4,6056,15.0,1000,1514,167.8,5.003,8.95
210.9,10,15140,15.0,1000,1514,167.4,4.997,22.41
211.9,9,13626,15.0,1000,1514,169.5,4.999,20.16
212.9,10,15140,15.0,1000,1514,183.4,5.009,22.36
213.9,4,6056,15.0,1000,1514,198.2,4.995,8.97
214.9,11,16654,15.0,1000,1514,166.1,4.999,24.64
215.9,10,15140,15.0,1000,1514,178.3,4.996,22.42
216.9,8,12112,15.0,1000,1514,167.4,5.008,17.89
217.9,8,12112,15.0,1000,1514,167.4,4.998,17.93
218.9,2,3028,15.0,1000,1514,174.3,5.005,4.48
219.9,9,13626,15.0,1000,1514,169.0,4.997,20.17
220.9,3,4542,15.0,1000,1514,180.3,4.995,6.73
221.9,1,1514,15.0,1000,1514,182.3,5.008,2.24
222.9,8,12112,15.0,1000,1514,165.3,4.994,17.94
223.9,4,6056,15.0,1000,1514,182.4,4.998,8.96
224.9,8,12112,15.0,1000,1514,190.1,5.002,17.91
225.9,5,7570,15.0,1000,1514,172.3,5.005,11.19
226.9,9,13626,15.0,1000,1514,148.4,4.994,20.18
227.9,6,9084,15.0,1000,1514,173.3,4.995,13.45
228.9,8,12112,15.0,1000,1514,160.4,4.994,17.94
229.9,3,4542,15.0,1000,1514,162.2,5.002,6.72
230.9,5,7570,15.0,1000,1514,155.5,4.997,11.21
231.9,9,13626,15.0,1000,1514,153.4,5.005,20.14
232.9,6,9084,15.0,1000,1514,186.4,4.997,13.45
234.0,9,13626,15.0,1000,1514,175.1,5.0,20.16
235.0,2,3028,15.0,1000,1514,176.3,5.008,4.47
236.0,7,10598,15.0,1000,1514,160.4,4.997,15.69
237.0,10,15140,15.0,1000,1514,161.5,4.998,22.41
238.0,5,7570,15.0,1000,1514,184.2,5.005,11.19
239.0,10,15140,15.0,1000,1514,176.1,4.989,22.45
240.0,8,12112,15.0,1000,1514,183.4,5.01,17.88
241.0,4,6056,15.0,1000,1514,175.1,4.989,8.98
242.0,7,10598,15.0,1000,1514,184.2,5.004,15.67
243.0,11,16654,15.0,1000,1514,173.3,4.995,24.66
244.0,4,6056,15.0,1000,1514,186.0,5.012,8.94
245.0,5,7570,15.0,1000,1514,161.4,4.996,11.21
246.0,14,21196,15.0,1000,1514,143.5,4.996,31.39
247.0,8,12112,15.0,1000,1514,152.4,5.008,17.89
248.0,10,15140,15.0,1000,1514,160.1,4.998,22.41
249.0,8,12112,15.0,1000,1514,160.2,5.002,17.91
250.0,6,9084,15.0,1000,1514,181.5,5.0,13.44
251.0,6,9084,15.0,1000,1514,178.4,4.997,13.45
252.0,6,9084,15.0,1000,1514,182.3,4.996,13.45
253.0,9,13626,15.0,1000,1514,170.3,4.995,20.18
254.0,4,6056,15.0,1000,1514,171.4,5.01,8.94
255.0,5,7570,15.0,1000,1514,154.4,4.995,11.21
256.0,2,3028,15.0,1000,1514,154.4,5.006,4.47
257.0,14,21196,15.0,1000,1514,168.3,4.994,31.4
258.1,12,18168,15.0,1000,1514,170.2,5.004,26.86
259.1,5,7570,15.0,1000,1514,171.4,4.998,11.2
260.1,13,19682,15.0,1000,1514,171.5,4.999,29.13
261.1,7,10598,15.0,1000,1514,163.5,4.999,15.68
262.1,2,3028,15.0,1000,1514,177.5,4.999,4.48
263.1,3,4542,15.0,1000,1514,179.4,4.999,6.72
264.1,4,6056,15.0,1000,1514,163.5,4.999,8.96
265.1,2,3028,15.0,1000,1514,174.4,5.01,4.47
266.1,10,15140,15.0,1000,1514,159.5,4.998,22.41
267.1,6,9084,15.0,1000,1514,181.4,4.999,13.44
268.1,9,13626,15.0,1000,1514,169.4,4.997,20.17
269.1,12,18168,15.0,1000,1514,159.4,5.008,26.84
270.1,5,7570,15.0,1000,1514,165.4,4.997,11.21
271.1,4,6056,15.0,1000,1514,174.4,4.998,8.96
272.1,13,19682,15.0,1000,1514,168.4,4.997,29.14
273.1,9,13626,15.0,1000,1514,181.2,5.004,20.14
274.1,9,13626,15.0,1000,1514,195.3,4.997,20.17
275.1,4,6056,15.0,1000,1514,168.4,4.997,8.97
276.1,8,12112,15.0,1000,1514,146.5,5.009,17.89
277.1,6,9084,15.0,1000,1514,157.5,4.998,13.45
278.1,12,18168,15.0,1000,1514,177.4,4.999,26.89
279.1,8,12112,15.0,1000,1514,178.4,4.998,17.93
280.1,7,10598,15.0,1000,1514,171.5,4.999,15.68
281.1,7,10598,15.0,1000,1514,161.4,4.996,15.69
282.1,12,16696,15.0,1000,1514,170.5,4.999,26.89
283.1,11,16654,15.0,1000,1514,175.2,5.005,24.62
284.1,3,4542,15.0,1000,1514,196.3,4.997,6.72
285.1,10,15140,15.0,1000,1514,148.4,5.007,22.37
286.1,6,9084,15.0,1000,1514,163.3,4.994,13.46
287.2,8,12112,15.0,1000,1514,138.5,5.009,17.89
288.2,3,4542,15.0,1000,1514,150.4,4.996,6.73
