t_s,avg_q,drop_rate_per_s,backlog_pkts,throughput_mbps,max_p,target_ms,limit_pkts
0.0,0.0,96.6,18,10.0,0.045,4.64,954
0.51,0.1,183.4,9,10.022,0.04,4.64,954
1.02,0.1,183.1,11,9.993,0.035,4.72,970
1.53,0.1,173.3,16,10.002,0.03,4.72,970
2.04,0.1,159.1,13,9.993,0.025,4.72,970
2.55,0.2,134.0,15,10.021,0.02,4.84,993
3.06,0.2,142.5,12,9.977,0.015,4.84,993
3.57,0.2,181.0,14,10.008,0.01,4.84,993
4.08,0.2,130.1,12,10.007,0.01,4.84,993
4.59,0.3,161.6,13,10.003,0.01,4.84,993
5.09,0.3,139.8,11,9.995,0.01,4.84,993
5.6,0.3,124.2,12,9.983,0.01,4.84,993
6.11,0.3,147.5,14,10.026,0.01,4.84,993
6.62,0.4,163.7,9,9.984,0.01,4.84,993
7.12,0.4,131.9,13,9.994,0.01,4.84,993
7.63,0.4,157.5,11,10.013,0.01,4.84,993
8.14,0.4,129.8,12,10.006,0.01,4.84,993
8.65,0.5,135.9,15,9.995,0.01,4.84,993
9.16,0.5,152.5,12,10.003,0.01,4.84,993
9.66,0.5,171.5,11,9.982,0.01,4.84,993
10.17,0.5,167.4,10,10.02,0.01,4.84,993
10.68,0.5,137.8,12,9.993,0.01,4.84,993
11.18,0.6,152.5,13,10.002,0.01,4.84,993
11.69,0.6,147.5,11,10.002,0.01,4.84,993
12.2,0.6,134.2,16,9.99,0.01,4.84,993
12.7,0.6,163.9,11,9.997,0.01,4.84,993
13.21,0.7,173.2,8,10.012,0.01,4.84,993
13.72,0.7,130.0,16,9.993,0.01,4.84,993
14.23,0.7,151.7,12,9.997,0.01,4.84,993
14.73,0.7,135.7,16,10.002,0.01,4.84,993
15.24,0.8,145.9,16,9.985,0.01,4.84,993
15.75,0.8,161.3,8,10.009,0.01,4.84,993
16.26,0.8,130.0,12,9.997,0.01,4.84,993
16.76,0.8,161.4,15,10.01,0.01,4.84,993
17.27,0.9,143.8,16,9.999,0.01,4.84,993
17.78,0.9,147.8,17,9.999,0.01,4.84,993
18.29,0.9,171.1,12,10.005,0.01,4.84,993
18.8,0.9,159.4,13,10.01,0.01,4.84,993
19.3,1.0,147.8,15,10.004,0.01,4.84,993
19.81,1.0,169.4,8,9.994,0.01,4.84,993
20.32,1.0,127.9,14,9.986,0.01,4.84,993
20.83,1.0,149.4,13,10.0,0.01,4.84,993
21.34,1.0,186.9,8,10.009,0.01,4.84,993
21.85,1.1,132.0,10,9.998,0.01,4.84,993
22.35,1.1,163.3,15,10.006,0.01,4.84,993
22.86,1.1,167.3,12,9.99,0.01,4.84,993
23.37,1.1,175.2,9,10.013,0.01,4.84,993
23.88,1.2,122.1,14,9.991,0.01,4.84,993
24.39,1.2,149.6,10,9.988,0.01,4.84,993
24.89,1.2,142.0,13,9.982,0.01,4.84,993
25.4,1.2,163.2,14,10.028,0.01,4.84,993
25.91,1.2,134.0,12,9.998,0.01,4.84,993
26.42,1.3,159.7,11,9.979,0.01,4.84,993
26.92,1.3,163.9,14,10.019,0.01,4.84,993
27.43,1.3,139.8,13,10.015,0.01,4.84,993
27.94,1.3,128.2,16,9.989,0.01,4.84,993
28.45,1.4,165.9,12,9.997,0.01,4.84,993
28.95,1.4,142.6,11,10.004,0.01,4.84,993
29.46,1.4,146.8,14,9.994,0.01,4.84,993
29.96,1.4,138.5,11,10.015,0.01,4.84,993
30.47,1.4,157.4,12,9.987,0.01,4.84,993
30.97,1.5,151.5,14,10.011,0.01,4.84,993
31.48,1.5,159.5,14,9.994,0.01,4.84,993
31.99,1.5,140.0,14,10.005,0.01,4.84,993
32.5,1.5,153.4,15,9.981,0.01,4.84,993
33.01,1.6,155.7,11,10.028,0.01,4.84,993
33.51,1.6,128.0,12,9.998,0.01,4.84,993
34.02,1.6,155.3,11,9.98,0.01,4.84,993
34.53,1.6,171.1,9,10.004,0.01,4.84,993
35.04,1.7,122.5,17,10.003,0.01,4.84,993
35.54,1.7,151.4,14,10.0,0.01,4.84,993
36.05,1.7,143.7,10,9.988,0.01,4.84,993
36.56,1.7,129.9,17,9.988,0.01,4.84,993
37.07,1.7,157.8,11,9.989,0.01,4.84,993
37.58,1.8,141.6,16,10.028,0.01,4.84,993
38.08,1.8,157.8,10,10.009,0.01,4.84,993
38.59,1.8,133.8,11,9.962,0.01,4.84,993
39.1,1.8,151.6,13,10.042,0.01,4.84,993
39.61,1.8,167.5,10,9.998,0.01,4.84,993
40.11,1.9,138.7,12,10.004,0.01,4.84,993
40.62,1.9,155.7,12,9.979,0.01,4.84,993
41.13,1.9,141.6,11,10.004,0.01,4.84,993
41.64,1.9,139.6,12,10.001,0.01,4.84,993
42.14,1.9,135.8,12,10.014,0.01,4.84,993
42.65,2.0,151.8,11,9.956,0.01,4.84,993
43.16,2.0,143.8,14,10.023,0.01,4.84,993
43.67,2.0,140.3,12,10.003,0.01,4.84,993
44.17,2.0,127.5,13,10.004,0.01,4.84,993
44.68,2.0,145.8,10,10.001,0.01,4.84,993
45.19,2.1,133.6,13,9.994,0.01,4.84,993
45.7,2.1,145.8,12,10.023,0.01,4.84,993
46.21,2.1,143.5,15,9.977,0.01,4.84,993
46.72,2.1,147.7,11,10.015,0.01,4.84,993
47.22,2.2,137.5,15,9.996,0.01,4.84,993
47.73,2.2,155.4,12,10.007,0.01,4.84,993
48.24,2.2,149.1,12,9.983,0.01,4.84,993
48.75,2.2,141.7,12,10.013,0.01,4.84,993
49.26,2.2,153.0,13,9.982,0.01,4.84,993
49.77,2.3,139.9,14,10.022,0.01,4.84,993
50.28,2.3,141.2,14,9.998,0.01,4.84,993
50.79,2.3,139.3,13,9.984,0.01,4.84,993
51.3,2.3,145.4,11,9.996,0.01,4.84,993
51.8,2.3,116.1,10,10.007,0.01,4.84,993
52.31,2.4,127.8,10,10.002,0.01,4.84,993
52.82,2.4,155.1,14,9.988,0.01,4.84,993
53.33,2.4,122.2,14,10.023,0.01,4.84,993
53.84,2.4,159.3,12,10.005,0.01,4.84,993
54.35,2.4,144.0,14,9.984,0.01,4.84,993
54.85,2.5,167.4,15,10.017,0.01,4.84,993
55.36,2.5,145.8,15,9.999,0.01,4.84,993
55.87,2.5,155.7,12,10.002,0.01,4.84,993
56.38,2.5,139.7,15,9.987,0.01,4.84,993
56.88,2.6,145.8,11,9.978,0.01,4.84,993
57.39,2.6,165.2,9,10.028,0.01,4.84,993
57.9,2.6,137.8,11,9.991,0.01,4.84,993
58.41,2.6,155.3,11,10.003,0.01,4.84,993
58.92,2.6,135.9,10,9.996,0.01,4.84,993
59.42,2.6,127.9,11,10.011,0.01,4.84,993
