t,wall,drop_rate,backlog,throughput_mbps,active_flows,elephant_flows,elephant_ratio,state,target_ms,limit_pkts,mode
0.51,06:31:11,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
1.01,06:31:11,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
1.51,06:31:12,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
2.02,06:31:12,0.0,103,0.753,0,0,0.000,LIGHT,5.00,1024,tc-only
2.52,06:31:13,57.5,412,10.005,0,0,0.000,HEAVY,5.00,1024,tc-only
3.03,06:31:13,237.7,435,10.001,0,0,0.000,HEAVY,5.00,1024,tc-only
3.53,06:31:14,412.9,428,9.993,0,0,0.000,HEAVY,5.00,1024,tc-only
4.04,06:31:14,595.3,424,10.004,0,0,0.000,HEAVY,4.50,921,tc-only
4.55,06:31:15,773.9,430,10.003,0,0,0.000,HEAVY,4.50,921,tc-only
5.06,06:31:15,953.8,422,10.002,0,0,0.000,HEAVY,4.50,921,tc-only
5.56,06:31:16,1123.4,420,9.996,0,0,0.000,HEAVY,4.50,921,tc-only
6.07,06:31:16,1304.4,445,9.996,0,0,0.000,HEAVY,4.50,921,tc-only
6.58,06:31:17,1506.8,440,10.006,0,0,0.000,HEAVY,4.50,921,tc-only
7.08,06:31:17,1684.0,446,9.998,0,0,0.000,HEAVY,4.05,829,tc-only
7.60,06:31:18,1903.8,451,9.999,0,0,0.000,HEAVY,4.05,829,tc-only
8.10,06:31:18,2102.8,444,10.002,0,0,0.000,HEAVY,4.05,829,tc-only
8.60,06:31:19,2303.5,443,9.999,0,0,0.000,HEAVY,4.05,829,tc-only
9.11,06:31:19,2465.3,444,9.997,0,0,0.000,HEAVY,4.05,829,tc-only
9.62,06:31:20,2695.6,439,10.004,0,0,0.000,HEAVY,4.05,829,tc-only
10.12,06:31:21,2768.1,400,9.997,0,0,0.000,HEAVY,3.65,746,tc-only
10.64,06:31:21,2682.3,457,10.006,0,0,0.000,HEAVY,3.65,746,tc-only
11.14,06:31:22,2759.1,448,9.993,0,0,0.000,HEAVY,3.65,746,tc-only
11.65,06:31:22,2853.1,455,10.005,0,0,0.000,HEAVY,3.65,746,tc-only
12.15,06:31:23,2949.9,438,10.001,0,0,0.000,HEAVY,3.65,746,tc-only
12.65,06:31:23,2939.2,443,10.000,0,0,0.000,HEAVY,3.65,746,tc-only
13.16,06:31:24,3111.2,398,10.000,0,0,0.000,HEAVY,3.28,671,tc-only
13.66,06:31:24,3042.6,421,10.000,0,0,0.000,HEAVY,3.28,671,tc-only
14.17,06:31:25,3284.9,436,10.001,0,0,0.000,HEAVY,3.28,671,tc-only
14.67,06:31:25,3486.3,432,9.996,0,0,0.000,HEAVY,3.28,671,tc-only
15.18,06:31:26,3690.8,389,10.003,0,0,0.000,HEAVY,3.28,671,tc-only
15.68,06:31:26,3499.5,381,10.000,0,0,0.000,HEAVY,3.28,671,tc-only
16.18,06:31:27,3737.8,443,9.997,0,0,0.000,HEAVY,2.95,604,tc-only
16.69,06:31:27,2939.9,451,10.005,0,0,0.000,HEAVY,2.95,604,tc-only
17.20,06:31:28,3015.6,439,9.998,0,0,0.000,HEAVY,2.95,604,tc-only
17.70,06:31:28,3035.7,420,10.001,0,0,0.000,HEAVY,2.95,604,tc-only
18.21,06:31:29,3242.0,443,9.992,0,0,0.000,HEAVY,2.95,604,tc-only
18.71,06:31:29,3445.3,476,9.999,0,0,0.000,HEAVY,2.95,604,tc-only
19.22,06:31:30,3640.3,406,10.002,0,0,0.000,HEAVY,2.66,544,tc-only
19.73,06:31:30,3294.5,465,10.003,0,0,0.000,HEAVY,2.66,544,tc-only
20.24,06:31:31,3408.6,475,9.999,0,0,0.000,HEAVY,2.66,544,tc-only
