t_s,drop_rate_per_s,drops_exp,backlog_pkts,throughput_mbps,rtt_proxy_ms,active_flows,elephant_flows,mice_flows,elephant_ratio,regime,trajectory,predicted_regime,workload_profile,target_ms,interval_ms,limit_pkts,quantum_bytes,ebpf_pkts,ebpf_bytes
0.507,0.0000,0,0,0.0000,0.000,0,0,0,0.000,NORMAL,STABLE,NORMAL,MICE,5.00,100.0,1024,1514,0,0
1.015,0.0000,0,0,0.0000,0.000,0,0,0,0.000,NORMAL,STABLE,NORMAL,MICE,5.00,100.0,1024,1514,0,0
1.523,0.0000,0,0,0.0000,0.000,0,0,0,0.000,NORMAL,STABLE,NORMAL,MICE,5.00,100.0,1024,1514,0,0
2.031,0.0000,0,0,0.0000,0.000,0,0,0,0.000,NORMAL,STABLE,NORMAL,MICE,5.00,100.0,1024,1514,0,0
2.539,15.7556,8,93,4.2151,0.000,0,0,0,0.000,MODERATE,STABLE,MODERATE,MICE,5.00,100.0,1024,1514,0,0
3.046,214.7287,117,24,9.9975,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
3.555,135.5343,186,18,9.9685,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
4.063,92.5815,233,19,10.0205,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
4.572,108.1176,288,15,10.0000,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
5.079,90.5887,334,14,10.0180,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
5.588,90.5142,380,13,9.9859,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
6.095,96.5132,429,15,9.9959,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
6.604,121.9966,491,16,10.0097,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
7.111,98.4607,541,11,9.9698,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
7.619,104.3370,594,12,10.0383,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
8.127,90.5503,640,13,9.9906,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
8.635,96.4977,689,12,9.9943,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
9.143,98.3805,739,14,10.0093,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
9.651,92.5379,786,15,9.9920,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
10.159,88.6371,831,17,9.9962,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514,0,0
10.670,121.3464,893,11,10.0038,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
11.178,110.2976,949,14,9.9956,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
11.685,120.2165,1010,13,10.0015,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
12.193,110.1886,1066,17,10.0095,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
12.701,108.2284,1121,15,10.0102,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
13.210,108.1755,1176,16,9.9815,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
13.718,108.2251,1231,10,10.0099,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
14.226,110.2099,1287,10,9.9876,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
14.734,116.1735,1346,15,10.0166,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
15.242,102.4300,1398,14,9.9966,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300,0,0
15.752,140.9725,1470,14,10.0076,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300,0,0
16.260,141.8170,1542,15,9.9960,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300,0,0
16.768,139.8247,1613,15,9.9944,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300,0,0
17.276,143.7163,1686,11,9.9911,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300,0,0
