t_s,dr_gradient,bl_gradient,rtt_gradient,regime,trajectory,predicted,workload
199.625,0.0000,0.0000,0.0000,NORMAL,STABLE,NORMAL,MICE
202.215,0.0000,0.0000,0.0000,NORMAL,STABLE,NORMAL,MICE
204.802,5005.7893,38.3905,0.0000,HEAVY,STABLE,HEAVY,MICE
207.410,11978.4200,63.0024,0.0000,HEAVY,STABLE,HEAVY,MICE
210.018,-1335.9572,-2.5661,0.0000,HEAVY,RECOVERING,MODERATE,MICE
212.621,1407.8620,0.6058,0.0000,HEAVY,STABLE,HEAVY,MICE
215.218,1001.1816,-0.7793,0.0000,HEAVY,STABLE,HEAVY,MICE
217.820,494.7540,0.6669,0.0000,HEAVY,STABLE,HEAVY,MICE
220.428,-1687.4738,0.4193,0.0000,HEAVY,RECOVERING,MODERATE,MICE
223.030,14.4969,1.1292,0.0000,HEAVY,STABLE,HEAVY,MICE
225.629,2042.6801,0.1040,0.0000,HEAVY,STABLE,HEAVY,MICE
228.237,-1822.9143,-1.3966,0.0000,HEAVY,RECOVERING,MODERATE,MICE
230.847,1107.5941,3.1041,0.0000,HEAVY,STABLE,HEAVY,MICE
233.450,1033.9601,0.4783,0.0000,HEAVY,STABLE,HEAVY,MICE
236.051,-93.9862,-1.4903,0.0000,HEAVY,RECOVERING,MODERATE,MICE
238.654,-2933.8586,-1.2116,0.0000,HEAVY,RECOVERING,MODERATE,MICE
241.256,-1846.4117,-0.6417,0.0000,HEAVY,RECOVERING,MODERATE,MICE
243.856,1235.6676,1.7948,0.0000,HEAVY,STABLE,HEAVY,MICE
246.457,-88.3024,-1.1277,0.0000,HEAVY,RECOVERING,MODERATE,MICE
249.056,2319.4010,3.0900,0.0000,HEAVY,STABLE,HEAVY,MICE
251.662,-679.5587,-1.0230,0.0000,HEAVY,RECOVERING,MODERATE,MICE
254.258,1814.2200,0.2361,0.0000,HEAVY,STABLE,HEAVY,MICE
256.871,-1271.1549,2.2800,0.0000,HEAVY,RECOVERING,MODERATE,MICE
259.470,1635.5835,-3.0358,0.0000,HEAVY,STABLE,HEAVY,MICE
262.065,4390.5653,2.6995,0.0000,HEAVY,STABLE,HEAVY,MICE
264.674,-2229.5824,-0.7469,0.0000,HEAVY,RECOVERING,MODERATE,MICE
267.279,2517.5494,-0.2701,0.0000,HEAVY,STABLE,HEAVY,MICE
269.884,-841.3746,-0.2201,0.0000,HEAVY,RECOVERING,MODERATE,MICE
272.486,1381.7614,-0.3802,0.0000,HEAVY,STABLE,HEAVY,MICE
275.086,-32.3701,-0.7798,0.0000,HEAVY,RECOVERING,MODERATE,MICE
277.687,-4.0295,-1.5245,0.0000,HEAVY,STABLE,HEAVY,MICE
280.279,-663.2993,-2.4257,0.0000,HEAVY,RECOVERING,MODERATE,MICE
282.874,881.7993,3.2042,0.0000,HEAVY,STABLE,HEAVY,MICE
285.475,-271.2331,0.4082,0.0000,HEAVY,RECOVERING,MODERATE,MICE
288.076,-567.6940,2.5047,0.0000,HEAVY,RECOVERING,MODERATE,MICE
290.670,576.2070,-2.1594,0.0000,HEAVY,STABLE,HEAVY,MICE
293.270,-414.4002,0.4086,0.0000,HEAVY,RECOVERING,MODERATE,MICE
295.866,507.1973,-0.1740,0.0000,HEAVY,STABLE,HEAVY,MICE
298.470,1225.9209,0.1651,0.0000,HEAVY,STABLE,HEAVY,MICE
301.073,353.4018,-0.1281,0.0000,HEAVY,STABLE,HEAVY,MICE
303.666,-251.1178,-0.9948,0.0000,HEAVY,RECOVERING,MODERATE,MICE
306.269,-1925.0693,-1.6903,0.0000,HEAVY,RECOVERING,MODERATE,MICE
308.876,3298.6415,-0.5139,0.0000,HEAVY,STABLE,HEAVY,MICE
311.485,-3098.4057,-0.4189,0.0000,HEAVY,RECOVERING,MODERATE,MICE
314.089,-980.8540,1.1751,0.0000,HEAVY,RECOVERING,MODERATE,MICE
316.706,1156.5258,-0.4615,0.0000,HEAVY,STABLE,HEAVY,MICE
319.304,2745.4863,1.1421,0.0000,HEAVY,STABLE,HEAVY,MICE
321.915,-246.6587,-1.0692,0.0000,HEAVY,RECOVERING,MODERATE,MICE
324.533,-6477.9836,-24.2536,0.0000,HEAVY,RECOVERING,MODERATE,MICE
327.114,-14258.0999,-69.1640,0.0000,NORMAL,STABLE,NORMAL,MICE
329.699,0.0000,0.0000,0.0000,NORMAL,STABLE,NORMAL,MICE
332.283,0.0000,0.0000,0.0000,NORMAL,STABLE,NORMAL,MICE
334.874,0.0000,0.0000,0.0000,NORMAL,STABLE,NORMAL,MICE
337.458,0.0000,0.0000,0.0000,NORMAL,STABLE,NORMAL,MICE
