t_s,regime,trajectory,predicted,old_target,new_target,old_limit,new_limit,workload,reason
5.11,HEAVY,STABLE,HEAVY,5.00,4.50,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
10.25,HEAVY,STABLE,HEAVY,4.50,4.05,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
15.38,HEAVY,RECOVERING,MODERATE,4.05,3.65,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
20.51,HEAVY,RECOVERING,MODERATE,3.65,3.28,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
25.65,HEAVY,STABLE,HEAVY,3.28,2.95,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
30.79,HEAVY,STABLE,HEAVY,2.95,2.66,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
35.91,HEAVY,RECOVERING,MODERATE,2.66,2.39,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
41.05,HEAVY,STABLE,HEAVY,2.39,2.15,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
46.18,HEAVY,RECOVERING,MODERATE,2.15,1.94,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
51.32,HEAVY,RECOVERING,MODERATE,1.94,1.74,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
56.46,HEAVY,STABLE,HEAVY,1.74,1.57,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
61.61,HEAVY,RECOVERING,MODERATE,1.57,1.41,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
66.74,HEAVY,RECOVERING,MODERATE,1.41,1.27,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
71.89,HEAVY,RECOVERING,MODERATE,1.27,1.14,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
77.03,HEAVY,RECOVERING,MODERATE,1.14,1.03,256,256,MICE,[REACTIVE] mult-decrease β=0.9 | wkld=MICE
