========================================================================
  Adaptive RED Controller  —  Floyd, Gummadi & Shenker (ICSI 2001)
  ns=ns_router  iface=veth_rs  duration=630s
  min_th=20  max_th=300  max_p=0.5
  W_Q=0.002  alpha=0.01  beta=0.9
========================================================================
  NOTE: Adaptive RED adapts max_p (drop prob) mapped to target/limit
  It does NOT use gradient prediction, eBPF, or workload profiles
========================================================================
  t(s)    avg_q       dr/s      bl    tput   max_p   target  limit   adj
  45.0      2.1      136.9      17   10.00   0.010    4.8ms    993     3
  45.5      2.1      157.0      13    9.99   0.010    4.8ms    993     3
  46.0      2.2      143.1      11   10.02   0.010    4.8ms    993     3
  46.5      2.2      133.0      13    9.98   0.010    4.8ms    993     3
  47.0      2.2      137.1      10   10.01   0.010    4.8ms    993     3
  47.5      2.2      133.1      12   10.01   0.010    4.8ms    993     3
  48.0      2.2      161.1      15   10.00   0.010    4.8ms    993     3
  48.5      2.3      135.2      14    9.99   0.010    4.8ms    993     3
  49.0      2.3      141.0      13   10.00   0.010    4.8ms    993     3
  49.5      2.3      155.0      12    9.99   0.010    4.8ms    993     3
  50.0      2.3      165.0      17   10.02   0.010    4.8ms    993     3
  50.5      2.4      149.1      14    9.99   0.010    4.8ms    993     3
  51.0      2.4      180.8       9   10.01   0.010    4.8ms    993     3
  51.5      2.4      149.1      15    9.99   0.010    4.8ms    993     3
  52.0      2.4      165.0      11    9.99   0.010    4.8ms    993     3
  52.5      2.4      141.2      11   10.00   0.010    4.8ms    993     3
  53.0      2.4      162.8      10   10.00   0.010    4.8ms    993     3
  53.5      2.5      168.9      14   10.01   0.010    4.8ms    993     3
  54.0      2.5      119.3      14    9.99   0.010    4.8ms    993     3
  54.5      2.5      151.1      15   10.00   0.010    4.8ms    993     3
  55.0      2.5      172.8      12   10.01   0.010    4.8ms    993     3
  55.5      2.6      149.0      14    9.99   0.010    4.8ms    993     3
  56.0      2.6      157.0      12   10.01   0.010    4.8ms    993     3
  56.5      2.6      127.2      14    9.99   0.010    4.8ms    993     3
  57.0      2.6      154.9      15   10.01   0.010    4.8ms    993     3
  57.5      2.6      131.3      12   10.00   0.010    4.8ms    993     3
  58.1      2.7      155.0      13    9.99   0.010    4.8ms    993     3
  58.6      2.7      156.8      16   10.00   0.010    4.8ms    993     3
  59.1      2.7      142.9      14   10.00   0.010    4.8ms    993     3
  59.6      2.7      145.0      12   10.01   0.010    4.8ms    993     3
  60.1      2.8      163.0      10    9.99   0.010    4.8ms    993     3
  60.6      2.8      127.2      11    9.99   0.010    4.8ms    993     3
  61.1      2.8      161.0       9   10.01   0.010    4.8ms    993     3
  61.6      2.8      127.1      11    9.99   0.010    4.8ms    993     3
  62.1      2.8      141.1      12   10.01   0.010    4.8ms    993     3
  62.6      2.8      143.1      14    9.99   0.010    4.8ms    993     3
  63.1      2.9      172.8      10   10.01   0.010    4.8ms    993     3
  63.6      2.9      135.1      16    9.98   0.010    4.8ms    993     3
  64.1      2.9      182.8      12   10.01   0.010    4.8ms    993     3
  64.6      2.9      170.9      11    9.99   0.010    4.8ms    993     3
  65.1      2.9      155.0      13   10.01   0.010    4.8ms    993     3
  65.6      3.0      131.1      17   10.01   0.010    4.8ms    993     3
  66.1      3.0      160.9      12    9.96   0.010    4.8ms    993     3
  66.6      3.0      184.7      14   10.03   0.010    4.8ms    993     3
  67.1      3.0      153.1      18    9.99   0.010    4.8ms    993     3
  67.6      3.0      165.0      11   10.01   0.010    4.8ms    993     3
  68.1      3.1      139.0      13    9.98   0.010    4.8ms    993     3
  68.6      3.1      155.0      15   10.01   0.010    4.8ms    993     3
  69.1      3.1      182.8       9    9.97   0.010    4.8ms    993     3
  69.6      3.1      137.0      12   10.03   0.010    4.8ms    993     3
  70.1      3.1      150.9      18   10.01   0.010    4.8ms    993     3
  70.6      3.2      156.9      13   10.01   0.010    4.8ms    993     3
  71.1      3.2      135.2      14    9.99   0.010    4.8ms    993     3
  71.6      3.2      178.0      10    9.99   0.010    4.8ms    993     3
  72.2      3.2      152.6      15    9.97   0.010    4.8ms    993     3
  72.7      3.3      160.9      14   10.03   0.010    4.8ms    993     3
  73.2      3.3      131.2      14   10.01   0.010    4.8ms    993     3
  73.7      3.3      132.9      11   10.00   0.010    4.8ms    993     3
  74.2      3.3      165.4      13    9.99   0.010    4.8ms    993     3
  74.7      3.3      157.8      17    9.99   0.010    4.8ms    993     3
