t_s,avg_q,old_maxp,new_maxp,old_target_ms,new_target_ms,old_limit,new_limit,reason
0.0,1.0,0.05,0.045,5.0,4.64,1024,954,below_min_th_relax
1.01,2.6,0.04,0.035,4.64,4.72,954,970,below_min_th_relax
2.52,5.0,0.025,0.02,4.72,4.84,970,993,below_min_th_relax
24.67,36.9,0.02,0.03,4.84,4.76,993,977,proportional_increase
32.73,48.2,0.04,0.05,4.76,4.6,977,947,proportional_increase
36.76,53.6,0.05,0.06,4.6,4.52,947,931,proportional_increase
46.33,65.5,0.07,0.08,4.52,4.36,931,901,proportional_increase
50.36,70.4,0.08,0.09,4.36,4.28,901,885,proportional_increase
60.93,82.1,0.1,0.11,4.28,4.12,885,855,proportional_increase
65.46,87.5,0.11,0.12,4.12,4.04,855,839,proportional_increase
75.03,98.7,0.13,0.14,4.04,3.88,839,808,proportional_increase
84.6,109.8,0.15,0.16,3.88,3.72,808,778,proportional_increase
89.63,115.4,0.16,0.17,3.72,3.64,778,762,proportional_increase
99.7,126.9,0.18,0.19,3.64,3.48,762,732,proportional_increase
104.73,132.2,0.19,0.2,3.48,3.4,732,716,proportional_increase
117.32,143.6,0.21,0.22,3.4,3.24,716,686,proportional_increase
122.85,148.9,0.22,0.23,3.24,3.16,686,670,proportional_increase
134.95,160.4,0.24,0.25,3.16,3.0,670,639,proportional_increase
147.03,171.5,0.26,0.27,3.0,2.84,639,609,proportional_increase
154.08,176.8,0.27,0.28,2.84,2.76,609,593,proportional_increase
168.17,188.3,0.29,0.3,2.76,2.6,593,563,proportional_increase
174.72,193.6,0.3,0.31,2.6,2.52,563,547,proportional_increase
190.83,204.9,0.32,0.33,2.52,2.36,547,517,proportional_increase
199.38,210.6,0.33,0.34,2.36,2.28,517,501,proportional_increase
215.49,221.8,0.35,0.36,2.28,2.12,501,471,proportional_increase
224.55,227.3,0.36,0.37,2.12,2.04,471,455,proportional_increase
242.67,238.7,0.38,0.39,2.04,1.88,455,424,proportional_increase
266.34,249.7,0.4,0.41,1.88,1.72,424,394,proportional_increase
278.43,255.4,0.41,0.42,1.72,1.64,394,378,proportional_increase
310.65,266.5,0.43,0.44,1.64,1.48,378,348,proportional_increase
332.3,272.0,0.44,0.45,1.48,1.4,348,332,proportional_increase
418.87,283.2,0.46,0.47,1.4,1.24,332,302,proportional_increase
