t_s,dr_gradient,bl_gradient,rtt_gradient,regime,trajectory,predicted,workload
2.550,332.3042,-14.6829,0.0000,HEAVY,STABLE,HEAVY,MICE
5.101,309.6599,-39.3266,0.0000,HEAVY,STABLE,HEAVY,MICE
7.658,429.9064,-11.9825,0.0000,HEAVY,STABLE,HEAVY,MICE
10.208,315.8058,9.1029,0.0000,HEAVY,STABLE,HEAVY,MICE
12.762,68.1143,-4.7122,0.0000,HEAVY,STABLE,HEAVY,MICE
15.314,-40.1941,-2.5914,0.0000,HEAVY,RECOVERING,MODERATE,MICE
17.867,315.5333,-51.6900,0.0000,HEAVY,STABLE,HEAVY,MICE
20.418,227.7628,33.6383,0.0000,HEAVY,STABLE,HEAVY,MICE
22.972,736.8969,-4.2313,0.0000,HEAVY,STABLE,HEAVY,MICE
25.525,741.0595,-8.1807,0.0000,HEAVY,STABLE,HEAVY,MICE
28.090,1118.5281,0.6078,0.0000,HEAVY,STABLE,HEAVY,MICE
30.644,171.4181,-0.3828,0.0000,HEAVY,STABLE,HEAVY,MICE
33.200,-640.7131,-15.6528,0.0000,HEAVY,RECOVERING,MODERATE,MICE
35.754,642.6840,1.8412,0.0000,HEAVY,STABLE,HEAVY,MICE
38.312,1529.2292,-2.6286,0.0000,HEAVY,STABLE,HEAVY,MICE
40.866,1108.6404,0.4639,0.0000,HEAVY,STABLE,HEAVY,MICE
43.422,-1046.5453,-0.6668,0.0000,HEAVY,RECOVERING,MODERATE,MICE
45.974,-1449.0260,-36.6525,0.0000,HEAVY,RECOVERING,MODERATE,MICE
48.530,-546.6076,-4.9478,0.0000,HEAVY,RECOVERING,MODERATE,MICE
51.080,162.8918,1.1034,0.0000,HEAVY,STABLE,HEAVY,MICE
53.634,-2120.7655,-8.7556,0.0000,HEAVY,RECOVERING,MODERATE,MICE
56.184,-66.9809,3.0177,0.0000,HEAVY,RECOVERING,MODERATE,MICE
58.741,668.7439,2.6784,0.0000,HEAVY,STABLE,HEAVY,MICE
61.300,-1112.1104,-0.5625,0.0000,HEAVY,RECOVERING,MODERATE,MICE
63.864,8056.4381,-0.4834,0.0000,HEAVY,STABLE,HEAVY,MICE
66.432,2959.4786,0.4189,0.0000,HEAVY,STABLE,HEAVY,MICE
68.998,4799.5395,-10.9089,0.0000,HEAVY,STABLE,HEAVY,MICE
71.569,-1421.0393,0.4215,0.0000,HEAVY,RECOVERING,MODERATE,MICE
74.140,889.3762,0.1681,0.0000,HEAVY,STABLE,HEAVY,MICE
76.701,-343.4377,-3.8549,0.0000,HEAVY,RECOVERING,MODERATE,MICE
79.266,-734.0773,3.6992,0.0000,HEAVY,RECOVERING,MODERATE,MICE
81.834,613.5334,-1.1485,0.0000,HEAVY,STABLE,HEAVY,MICE
84.399,-773.8829,-2.3391,0.0000,HEAVY,RECOVERING,MODERATE,MICE
86.958,-554.5062,-1.9527,0.0000,HEAVY,RECOVERING,MODERATE,MICE
89.518,-275.2928,0.0820,0.0000,HEAVY,RECOVERING,MODERATE,MICE
92.076,492.2256,2.8550,0.0000,HEAVY,STABLE,HEAVY,MICE
94.639,-337.2587,0.1780,0.0000,HEAVY,RECOVERING,MODERATE,MICE
97.202,-1288.4929,-0.1769,0.0000,HEAVY,RECOVERING,MODERATE,MICE
99.762,-707.2707,1.0631,0.0000,HEAVY,RECOVERING,MODERATE,MICE
102.324,645.0229,0.6747,0.0000,HEAVY,STABLE,HEAVY,MICE
104.892,171.1441,1.1693,0.0000,HEAVY,STABLE,HEAVY,MICE
107.453,-829.0741,-3.4026,0.0000,HEAVY,RECOVERING,MODERATE,MICE
110.019,-1291.0644,0.1315,0.0000,HEAVY,RECOVERING,MODERATE,MICE
112.584,-367.3345,2.8109,0.0000,HEAVY,RECOVERING,MODERATE,MICE
115.148,-887.4954,-1.5823,0.0000,HEAVY,RECOVERING,MODERATE,MICE
117.708,-1105.4608,0.5567,0.0000,HEAVY,RECOVERING,MODERATE,MICE
120.271,992.7402,-4.3294,0.0000,HEAVY,STABLE,HEAVY,MICE
122.832,-1231.6340,0.2254,0.0000,HEAVY,RECOVERING,MODERATE,MICE
125.395,-1596.4720,-0.2006,0.0000,HEAVY,RECOVERING,MODERATE,MICE
127.960,-826.3184,1.8423,0.0000,HEAVY,RECOVERING,MODERATE,MICE
130.520,665.2859,-1.6446,0.0000,HEAVY,STABLE,HEAVY,MICE
133.087,134.5321,4.2317,0.0000,HEAVY,STABLE,HEAVY,MICE
135.649,558.6107,0.3428,0.0000,HEAVY,STABLE,HEAVY,MICE
138.213,88.0896,-0.2259,0.0000,HEAVY,STABLE,HEAVY,MICE
140.771,-644.6965,-2.3547,0.0000,HEAVY,RECOVERING,MODERATE,MICE
143.335,1524.9895,-1.9531,0.0000,HEAVY,STABLE,HEAVY,MICE
145.895,-2038.0492,-3.7396,0.0000,HEAVY,RECOVERING,MODERATE,MICE
148.458,1619.0440,1.8441,0.0000,HEAVY,STABLE,HEAVY,MICE
151.023,-277.9952,-1.5728,0.0000,HEAVY,RECOVERING,MODERATE,MICE
153.587,-47.0265,-2.5532,0.0000,HEAVY,RECOVERING,MODERATE,MICE
156.150,-324.6561,0.4732,0.0000,HEAVY,RECOVERING,MODERATE,MICE
158.711,437.8789,-6.3037,0.0000,HEAVY,STABLE,HEAVY,MICE
161.271,514.7388,19.5004,0.0000,HEAVY,STABLE,HEAVY,MICE
163.833,162.2378,-0.9229,0.0000,HEAVY,STABLE,HEAVY,MICE
166.391,-190.4927,-2.3531,0.0000,HEAVY,RECOVERING,MODERATE,MICE
168.951,239.3233,3.9701,0.0000,HEAVY,STABLE,HEAVY,MICE
171.509,365.6917,-3.1737,0.0000,HEAVY,STABLE,HEAVY,MICE
174.073,226.1380,1.2666,0.0000,HEAVY,STABLE,HEAVY,MICE
176.634,-268.9109,2.7075,0.0000,HEAVY,RECOVERING,MODERATE,MICE
179.194,673.8876,-0.3317,0.0000,HEAVY,STABLE,HEAVY,MICE
181.758,-167.9022,1.0145,0.0000,HEAVY,RECOVERING,MODERATE,MICE
184.319,-1395.4117,-0.5086,0.0000,HEAVY,RECOVERING,MODERATE,MICE
186.880,946.1889,0.6519,0.0000,HEAVY,STABLE,HEAVY,MICE
189.442,-258.0976,-4.1162,0.0000,HEAVY,RECOVERING,MODERATE,MICE
192.003,-2724.7721,24.2902,0.0000,HEAVY,RECOVERING,MODERATE,MICE
194.573,1413.5349,-0.4118,0.0000,HEAVY,STABLE,HEAVY,MICE
197.136,557.1392,-2.2918,0.0000,HEAVY,STABLE,HEAVY,MICE
199.698,-961.8483,1.9146,0.0000,HEAVY,RECOVERING,MODERATE,MICE
202.257,7.7668,-0.7121,0.0000,HEAVY,STABLE,HEAVY,MICE
204.817,1040.3745,2.6756,0.0000,HEAVY,STABLE,HEAVY,MICE
207.380,-1053.2516,-0.4037,0.0000,HEAVY,RECOVERING,MODERATE,MICE
209.940,476.9774,1.4423,0.0000,HEAVY,STABLE,HEAVY,MICE
212.501,-1162.8336,0.3896,0.0000,HEAVY,RECOVERING,MODERATE,MICE
215.062,-1008.0541,-1.7039,0.0000,HEAVY,RECOVERING,MODERATE,MICE
217.623,1789.0872,-0.6274,0.0000,HEAVY,STABLE,HEAVY,MICE
220.185,875.4718,-1.8568,0.0000,HEAVY,STABLE,HEAVY,MICE
222.745,-2600.7660,3.0428,0.0000,HEAVY,RECOVERING,MODERATE,MICE
225.309,978.2917,0.9228,0.0000,HEAVY,STABLE,HEAVY,MICE
227.872,-866.9848,-1.2521,0.0000,HEAVY,RECOVERING,MODERATE,MICE
230.437,-1166.9235,-1.5347,0.0000,HEAVY,RECOVERING,MODERATE,MICE
233.000,-76.1591,-3.5597,0.0000,HEAVY,RECOVERING,MODERATE,MICE
235.562,2537.0051,-0.0935,0.0000,HEAVY,STABLE,HEAVY,MICE
238.123,596.8447,-2.1299,0.0000,HEAVY,STABLE,HEAVY,MICE
240.684,-1523.8264,-0.1299,0.0000,HEAVY,RECOVERING,MODERATE,MICE
243.246,256.5758,1.1239,0.0000,HEAVY,STABLE,HEAVY,MICE
245.805,-483.5864,-2.5207,0.0000,HEAVY,RECOVERING,MODERATE,MICE
248.367,1345.0552,0.1306,0.0000,HEAVY,STABLE,HEAVY,MICE
250.930,-744.0269,-1.9044,0.0000,HEAVY,RECOVERING,MODERATE,MICE
253.490,-546.3037,0.4131,0.0000,HEAVY,RECOVERING,MODERATE,MICE
256.052,-803.3294,-1.2288,0.0000,HEAVY,RECOVERING,MODERATE,MICE
258.614,652.6666,4.1652,0.0000,HEAVY,STABLE,HEAVY,MICE
261.175,-452.9416,-3.0396,0.0000,HEAVY,RECOVERING,MODERATE,MICE
263.738,197.5334,0.8395,0.0000,HEAVY,STABLE,HEAVY,MICE
266.302,198.1819,-1.6786,0.0000,HEAVY,STABLE,HEAVY,MICE
268.863,634.3438,-0.7212,0.0000,HEAVY,STABLE,HEAVY,MICE
271.424,1728.6330,-2.3663,0.0000,HEAVY,STABLE,HEAVY,MICE
273.986,-1505.3624,4.0462,0.0000,HEAVY,RECOVERING,MODERATE,MICE
276.549,-491.7609,-3.7683,0.0000,HEAVY,RECOVERING,MODERATE,MICE
279.107,2332.8772,-1.9435,0.0000,HEAVY,STABLE,HEAVY,MICE
281.665,-639.6535,0.6034,0.0000,HEAVY,RECOVERING,MODERATE,MICE
284.230,151.9673,0.2730,0.0000,HEAVY,STABLE,HEAVY,MICE
286.795,531.4112,1.8902,0.0000,HEAVY,STABLE,HEAVY,MICE
289.356,-1641.0252,-2.0443,0.0000,HEAVY,RECOVERING,MODERATE,MICE
291.919,1665.3185,2.6273,0.0000,HEAVY,STABLE,HEAVY,MICE
294.482,-803.9178,-6.2930,0.0000,HEAVY,RECOVERING,MODERATE,MICE
297.048,121.9251,-23.8528,0.0000,HEAVY,STABLE,HEAVY,MICE
299.615,1497.0646,5.6722,0.0000,HEAVY,STABLE,HEAVY,MICE
302.181,-1531.5858,2.6561,0.0000,HEAVY,RECOVERING,MODERATE,MICE
304.745,-1095.2930,-2.6469,0.0000,HEAVY,RECOVERING,MODERATE,MICE
307.308,210.4382,-0.3312,0.0000,HEAVY,STABLE,HEAVY,MICE
309.871,1000.3988,-1.0064,0.0000,HEAVY,STABLE,HEAVY,MICE
312.432,653.7629,3.6906,0.0000,HEAVY,STABLE,HEAVY,MICE
314.997,-2017.3426,-1.8919,0.0000,HEAVY,RECOVERING,MODERATE,MICE
317.559,846.3124,-27.2325,0.0000,HEAVY,STABLE,HEAVY,MICE
320.121,508.0126,6.3525,0.0000,HEAVY,STABLE,HEAVY,MICE
322.686,-559.2078,-1.2981,0.0000,HEAVY,RECOVERING,MODERATE,MICE
325.251,-2164.8655,-0.1993,0.0000,HEAVY,RECOVERING,MODERATE,MICE
327.822,-699.8785,-0.9982,0.0000,HEAVY,RECOVERING,MODERATE,MICE
330.386,148.0897,-1.9329,0.0000,HEAVY,STABLE,HEAVY,MICE
332.944,1259.7709,2.3039,0.0000,HEAVY,STABLE,HEAVY,MICE
335.510,-897.2868,1.0638,0.0000,HEAVY,RECOVERING,MODERATE,MICE
338.078,-3393.5742,-3.9643,0.0000,HEAVY,RECOVERING,MODERATE,MICE
340.648,149.0608,1.0530,0.0000,HEAVY,STABLE,HEAVY,MICE
343.210,699.3461,-1.0802,0.0000,HEAVY,STABLE,HEAVY,MICE
345.768,1832.3786,0.5791,0.0000,HEAVY,STABLE,HEAVY,MICE
348.329,-4.7791,-0.1533,0.0000,HEAVY,STABLE,HEAVY,MICE
350.889,1050.8840,0.9124,0.0000,HEAVY,STABLE,HEAVY,MICE
353.449,-2241.4179,0.1546,0.0000,HEAVY,RECOVERING,MODERATE,MICE
356.013,1687.9392,0.4982,0.0000,HEAVY,STABLE,HEAVY,MICE
