t_s,backlog_pkts,backlog_bytes,target_ms,limit_pkts,quantum_bytes,drop_rate,throughput_mbps,sojourn_ms
101.4,30,45420,5.0,1024,1514,152.5,4.997,67.24
102.4,20,30280,5.0,1024,1514,172.5,4.999,44.81
103.4,19,28766,5.0,1024,1514,169.4,4.997,42.59
104.4,24,36336,5.0,1024,1514,157.4,4.996,53.8
105.4,25,37850,5.0,1024,1514,160.4,5.009,55.9
106.4,18,27252,5.0,1024,1514,178.4,4.998,40.34
107.4,26,39364,5.0,1024,1514,150.5,4.998,58.26
108.4,28,42392,5.0,1024,1514,175.3,4.996,62.77
109.4,26,39364,5.0,1024,1514,154.4,5.008,58.15
110.4,27,40878,5.0,1024,1514,166.4,4.997,60.52
111.4,20,30280,5.0,1024,1514,167.4,4.996,44.84
112.4,27,40878,5.0,1024,1514,156.4,5.007,60.4
113.4,0,0,5.0,1024,1514,165.4,4.997,0.0
114.4,18,27252,5.0,1024,1514,173.4,4.996,40.35
115.4,0,0,5.0,1024,1514,150.4,5.007,0.0
116.4,20,30280,5.0,1024,1514,161.3,4.994,44.85
117.5,20,30280,5.0,1024,1514,154.4,5.007,44.74
118.5,31,46934,5.0,1024,1514,158.4,4.996,69.5
119.5,25,37850,5.0,1024,1514,154.4,5.006,55.93
120.5,29,43906,5.0,1024,1514,161.1,4.999,64.97
121.5,26,39364,5.0,1024,1514,180.3,4.996,58.29
122.5,32,48448,5.0,1024,1514,174.3,4.995,71.75
123.5,22,33308,5.0,1024,1514,173.9,5.008,49.2
124.5,30,45420,5.0,1024,1514,153.5,4.999,67.21
125.5,0,0,5.0,1024,1514,166.4,4.996,0.0
126.5,24,36336,5.0,1024,1514,159.4,5.008,53.67
127.5,30,45420,5.0,1024,1514,170.4,4.996,67.25
128.5,20,30280,5.0,1024,1514,164.4,4.995,44.84
129.5,0,0,5.0,1024,1514,150.4,5.007,0.0
130.5,24,36336,5.0,1024,1514,164.5,4.999,53.77
131.5,20,30280,5.0,1024,1514,161.4,4.997,44.83
132.5,33,49962,5.0,1024,1514,144.6,4.999,73.93
133.5,29,43906,5.0,1024,1514,170.4,5.008,64.86
134.5,20,30280,5.0,1024,1514,171.4,4.997,44.83
135.5,25,37850,5.0,1024,1514,158.4,4.996,56.04
136.5,31,46934,5.0,1024,1514,162.5,4.998,69.47
137.5,31,46934,5.0,1024,1514,168.4,5.008,69.33
138.5,25,37850,5.0,1024,1514,167.4,4.997,56.03
139.5,24,36336,5.0,1024,1514,167.2,5.002,53.74
140.5,25,37850,5.0,1024,1514,169.0,4.998,56.02
141.5,21,31794,5.0,1024,1514,179.4,4.998,47.06
142.5,26,39364,5.0,1024,1514,155.5,4.998,58.26
143.6,0,0,5.0,1024,1514,165.4,4.996,0.0
144.6,24,36336,5.0,1024,1514,164.3,5.006,53.7
145.6,24,36336,5.0,1024,1514,175.4,4.996,53.8
146.6,21,31794,5.0,1024,1514,164.4,5.009,46.96
147.6,22,33308,5.0,1024,1514,151.4,4.995,49.33
148.6,26,39364,5.0,1024,1514,163.1,5.0,58.24
149.6,26,39364,5.0,1024,1514,157.4,4.996,58.29
150.6,18,27252,5.0,1024,1514,176.3,5.006,40.27
151.6,24,36336,5.0,1024,1514,171.3,4.995,53.81
152.6,26,39364,5.0,1024,1514,166.2,5.003,58.21
153.6,29,43906,5.0,1024,1514,154.4,4.996,65.01
