t_s,state,old_target_ms,new_target_ms,old_limit_pkts,new_limit_pkts,active_flows,elephant_flows,reason
5.05,HEAVY,5.00,4.50,256,256,0,0,mult-decrease β=0.9
10.09,HEAVY,4.50,4.05,256,256,0,0,mult-decrease β=0.9
15.13,HEAVY,4.05,3.65,256,256,0,0,mult-decrease β=0.9
20.18,HEAVY,3.65,3.28,256,256,0,0,mult-decrease β=0.9
25.22,HEAVY,3.28,2.95,256,256,0,0,mult-decrease β=0.9
30.26,HEAVY,2.95,2.66,256,256,0,0,mult-decrease β=0.9
35.30,HEAVY,2.66,2.39,256,256,0,0,mult-decrease β=0.9
40.34,HEAVY,2.39,2.15,256,256,0,0,mult-decrease β=0.9
45.39,HEAVY,2.15,1.94,256,256,0,0,mult-decrease β=0.9
50.43,HEAVY,1.94,1.74,256,256,0,0,mult-decrease β=0.9
55.47,HEAVY,1.74,1.57,256,256,0,0,mult-decrease β=0.9
60.52,HEAVY,1.57,1.41,256,256,0,0,mult-decrease β=0.9
65.57,HEAVY,1.41,1.27,256,256,0,0,mult-decrease β=0.9
70.61,HEAVY,1.27,1.14,256,256,0,0,mult-decrease β=0.9
75.66,HEAVY,1.14,1.03,256,256,0,0,mult-decrease β=0.9
