t_s,drop_rate_per_s,drops_exp,backlog_pkts,throughput_mbps,rtt_proxy_ms,active_flows,elephant_flows,mice_flows,elephant_ratio,regime,trajectory,predicted_regime,workload_profile,target_ms,interval_ms,limit_pkts,quantum_bytes,ebpf_pkts,ebpf_bytes
22.468,113.9660,2428,18,10.0195,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300,0,0
22.975,129.9685,2494,14,10.0175,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300,0,0
23.485,125.6900,2558,14,9.9905,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300,0,0
23.997,140.4505,2630,14,9.9942,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300,0,0
24.505,130.0763,2696,10,10.0019,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300,0,0
25.014,133.5939,2764,12,9.9941,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300,0,0
25.526,146.4094,2839,16,9.9778,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300,0,0
26.040,138.1029,2910,13,10.0362,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300,0,0
26.551,139.0848,2981,12,9.9889,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300,0,0
27.063,150.2683,3058,11,9.9985,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300,0,0
27.576,154.0547,3137,13,10.0145,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300,0,0
28.089,150.0126,3214,14,9.9814,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300,0,0
28.600,170.4119,3301,12,10.0117,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300,0,0
29.108,145.6059,3375,7,10.0095,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300,0,0
29.615,129.9976,3441,11,9.9959,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300,0,0
30.124,145.4948,3515,12,10.0019,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300,0,0
30.632,141.7076,3587,11,9.9883,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300,0,0
31.142,156.8890,3667,12,9.9769,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300,0,0
31.650,175.2325,3756,10,10.0159,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300,0,0
32.164,155.6642,3836,14,10.0162,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300,0,0
32.673,172.9665,3924,9,9.9987,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300,0,0
33.187,147.8623,4000,11,9.9914,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300,0,0
33.697,158.8662,4081,12,10.0010,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300,0,0
34.206,135.5291,4150,16,10.0157,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300,0,0
34.714,153.4978,4228,13,9.9871,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300,0,0
35.228,138.2111,4299,11,9.9969,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300,0,0
35.737,160.8040,4381,12,9.9996,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300,0,0
36.248,166.3490,4466,11,10.0030,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.66,53.1,542,300,0,0
36.759,172.3679,4554,13,9.9641,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.66,53.1,542,300,0,0
37.271,165.9624,4639,6,10.0507,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.66,53.1,542,300,0,0
37.780,155.2928,4718,15,9.9998,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.66,53.1,542,300,0,0
38.290,182.4355,4811,9,9.9791,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.66,53.1,542,300,0,0
38.800,162.4860,4894,13,10.0061,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.66,53.1,542,300,0,0
