t_s,drop_rate_per_s,drops_exp,backlog_pkts,throughput_mbps,rtt_proxy_ms,active_flows,elephant_flows,mice_flows,elephant_ratio,regime,trajectory,predicted_regime,workload_profile,target_ms,interval_ms,limit_pkts,quantum_bytes
0.510,243.3044,123,480,9.9952,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514
1.016,438.7308,345,467,10.0006,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514
1.520,634.8684,665,0,10.0029,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514
2.025,843.4041,1091,440,9.9998,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514
2.539,1040.3413,1626,449,9.9962,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514
3.045,1253.1237,2260,448,9.9999,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514
3.551,1455.6286,2997,461,10.0008,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514
4.057,1652.4603,3833,477,10.0003,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514
4.570,1855.8496,4784,483,9.9977,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514
5.075,2029.3835,5809,466,10.0032,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,5.00,100.0,1024,1514
5.587,2512.2319,7095,369,9.9938,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300
6.092,2779.1986,8498,418,10.0052,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300
6.603,3026.3711,10046,363,9.9994,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300
7.108,3220.1585,11672,385,10.0028,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300
7.613,3501.5971,13442,340,9.9973,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300
8.120,3775.4556,15353,374,9.9985,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300
8.635,3890.1718,17357,379,10.0016,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300
9.141,4118.7715,19442,361,9.9953,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300
9.647,4421.1684,21680,354,10.0030,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300
10.153,4678.4847,24047,355,10.0020,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.50,90.0,921,300
10.673,5311.4721,26807,387,9.9975,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300
11.179,5363.7116,29523,0,10.0008,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300
11.686,5446.3174,32282,352,9.9955,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300
12.191,4777.4274,34694,417,10.0104,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300
12.704,4877.7523,37198,384,9.9963,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300
13.210,4935.5617,39694,369,9.9969,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300
13.716,4103.1080,41773,359,10.0017,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,4.05,81.0,828,300
14.222,3563.8726,43574,404,9.9989,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,4.05,81.0,828,300
14.737,3329.3766,45289,369,9.9970,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,4.05,81.0,828,300
15.242,3425.4006,47019,368,10.0049,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,4.05,81.0,828,300
15.751,4159.9763,49139,390,10.0033,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,3.65,72.9,745,300
16.257,4545.2268,51435,377,9.9988,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,3.65,72.9,745,300
16.770,4928.5807,53966,337,9.9969,0.000,0,0,0,0.000,HEAVY,RECOVERING,MODERATE,MICE,3.65,72.9,745,300
17.277,4946.8718,56473,397,9.9977,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300
17.783,4654.8564,58831,347,10.0020,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300
18.290,4997.3805,61360,365,9.9984,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300
18.804,5296.3146,64084,395,10.0021,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300
19.309,5360.9014,66794,433,9.9999,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300
19.816,5584.4120,69623,378,10.0005,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300
20.321,5967.9920,72636,416,10.0034,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.65,72.9,745,300
20.838,7024.9906,76271,373,9.9929,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300
21.343,7521.5574,80069,381,10.0037,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300
21.847,7981.3772,84092,393,10.0017,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300
22.352,8225.5097,88240,392,10.0002,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300
22.863,8615.3967,92646,349,9.9981,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300
23.367,9095.7338,97230,405,10.0053,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300
23.873,9543.6936,102055,380,9.9967,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300
24.376,10015.9231,107093,393,10.0037,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300
24.885,10479.0302,112430,396,9.9949,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300
25.388,10950.3451,117942,440,10.0069,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,3.28,65.6,670,300
25.895,12787.5122,124418,400,9.9932,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300
26.398,13383.7015,131162,387,10.0037,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300
26.905,13969.2062,138241,401,10.0024,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300
27.409,14551.3569,145568,412,9.9995,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300
27.912,15126.3632,153185,430,9.9978,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300
28.417,15706.0948,161112,396,9.9959,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300
28.927,16304.2819,169420,400,10.0013,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300
29.431,16893.0130,177942,410,10.0017,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300
29.935,17475.1672,186750,0,10.0010,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300
30.440,18032.9615,195852,372,9.9963,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.95,59.0,603,300
30.955,20438.4653,206389,356,10.0009,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.66,53.1,542,300
31.459,21197.6381,217069,449,10.0019,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.66,53.1,542,300
31.964,21665.1311,228004,403,9.9956,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.66,53.1,542,300
32.469,22538.5612,239381,382,10.0040,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.66,53.1,542,300
32.978,21915.6916,250541,425,10.0017,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.66,53.1,542,300
33.482,21475.5614,261358,418,9.9994,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,2.66,53.1,542,300
