t,wall,drop_rate,backlog,throughput_mbps,state,target_ms,limit_pkts
0.51,06:29:31,0.0,0,0.000,NORMAL,5.00,1024
1.01,06:29:31,0.0,0,0.000,NORMAL,5.00,1024
1.52,06:29:32,0.0,0,0.000,NORMAL,5.00,1024
2.02,06:29:32,0.0,98,1.051,LIGHT,5.00,1024
2.52,06:29:33,69.5,494,9.995,HEAVY,5.00,1024
3.03,06:29:33,273.9,487,10.006,HEAVY,5.00,1024
3.53,06:29:34,470.8,473,9.998,HEAVY,5.00,1024
4.03,06:29:34,679.0,448,9.998,HEAVY,4.50,921
4.54,06:29:35,867.6,469,10.000,HEAVY,4.50,921
5.05,06:29:35,1052.3,466,9.995,HEAVY,4.50,921
5.56,06:29:36,1276.6,466,10.004,HEAVY,4.50,921
6.06,06:29:36,1439.0,438,10.000,HEAVY,4.50,921
6.57,06:29:37,1672.7,471,10.004,HEAVY,4.50,921
7.07,06:29:37,1820.7,480,9.999,HEAVY,4.05,829
7.58,06:29:38,2075.2,474,10.001,HEAVY,4.05,829
8.08,06:29:38,2276.4,473,9.999,HEAVY,4.05,829
8.59,06:29:39,2474.2,471,9.998,HEAVY,4.05,829
9.09,06:29:39,2682.2,493,10.000,HEAVY,4.05,829
9.60,06:29:40,2876.8,458,9.993,HEAVY,4.05,829
10.10,06:29:40,3085.8,486,10.000,HEAVY,3.65,746
10.62,06:29:41,3293.5,466,10.010,HEAVY,3.65,746
11.12,06:29:41,3487.2,413,9.997,HEAVY,3.65,746
11.62,06:29:42,3548.1,456,10.002,HEAVY,3.65,746
12.13,06:29:42,3324.7,461,10.000,HEAVY,3.65,746
12.63,06:29:43,3603.4,484,9.999,HEAVY,3.65,746
13.13,06:29:44,3830.7,478,10.002,HEAVY,3.28,671
13.64,06:29:44,3756.6,443,9.998,HEAVY,3.28,671
14.15,06:29:45,3707.9,459,9.999,HEAVY,3.28,671
14.65,06:29:45,4148.5,471,10.002,HEAVY,3.28,671
15.16,06:29:46,4184.8,460,10.000,HEAVY,3.28,671
15.66,06:29:46,4078.5,428,9.998,HEAVY,3.28,671
16.16,06:29:47,3892.3,444,10.001,HEAVY,2.95,604
16.67,06:29:47,3498.3,411,10.000,HEAVY,2.95,604
17.18,06:29:48,3797.3,473,9.999,HEAVY,2.95,604
17.68,06:29:48,3629.8,461,10.000,HEAVY,2.95,604
18.19,06:29:49,3524.6,478,9.998,HEAVY,2.95,604
18.69,06:29:49,3421.9,466,10.001,HEAVY,2.95,604
19.19,06:29:50,3413.6,454,9.998,HEAVY,2.66,544
19.70,06:29:50,3221.5,453,10.003,HEAVY,2.66,544
20.21,06:29:51,3297.9,435,10.000,HEAVY,2.66,544
20.71,06:29:51,3505.0,476,9.997,HEAVY,2.66,544
21.22,06:29:52,3703.7,425,10.003,HEAVY,2.66,544
21.72,06:29:52,3912.0,440,9.994,HEAVY,2.66,544
22.23,06:29:53,4040.1,433,10.007,HEAVY,2.39,489
22.74,06:29:53,4274.3,414,9.995,HEAVY,2.39,489
23.24,06:29:54,4475.7,403,10.006,HEAVY,2.39,489
23.74,06:29:54,4474.7,447,9.999,HEAVY,2.39,489
24.25,06:29:55,4775.6,459,10.002,HEAVY,2.39,489
24.75,06:29:55,4168.9,423,9.993,HEAVY,2.39,489
25.26,06:29:56,4024.3,432,10.007,HEAVY,2.15,440
25.76,06:29:56,4083.4,421,10.000,HEAVY,2.15,440
26.27,06:29:57,3626.3,416,9.997,HEAVY,2.15,440
26.77,06:29:57,3679.3,451,9.998,HEAVY,2.15,440
27.28,06:29:58,3313.7,476,10.005,HEAVY,2.15,440
27.78,06:29:58,3300.2,482,9.999,HEAVY,2.15,440
28.28,06:29:59,3445.7,428,9.998,HEAVY,1.94,396
28.79,06:29:59,2914.7,403,10.001,HEAVY,1.94,396
29.30,06:30:00,3037.0,442,10.001,HEAVY,1.94,396
29.80,06:30:00,2806.2,462,10.001,HEAVY,1.94,396
30.30,06:30:01,3224.4,444,9.991,HEAVY,1.94,396
30.81,06:30:01,2675.7,445,10.006,HEAVY,1.94,396
31.31,06:30:02,2454.5,456,10.000,HEAVY,1.74,357
31.82,06:30:02,2793.4,426,10.003,HEAVY,1.74,357
32.32,06:30:03,2998.4,434,9.999,HEAVY,1.74,357
32.83,06:30:03,3096.6,466,10.003,HEAVY,1.74,357
33.33,06:30:04,3297.9,440,9.998,HEAVY,1.74,357
33.83,06:30:04,3326.8,413,10.001,HEAVY,1.74,357
34.34,06:30:05,3366.6,412,9.999,HEAVY,1.57,321
34.85,06:30:05,3356.1,425,9.998,HEAVY,1.57,321
35.35,06:30:06,3359.6,384,10.003,HEAVY,1.57,321
35.85,06:30:06,3299.4,440,9.997,HEAVY,1.57,321
36.36,06:30:07,3587.9,428,9.999,HEAVY,1.57,321
36.86,06:30:07,3800.5,440,10.003,HEAVY,1.57,321
37.36,06:30:08,3989.7,459,9.996,HEAVY,1.41,289
37.87,06:30:08,4207.9,433,10.002,HEAVY,1.41,289
38.38,06:30:09,4160.7,468,10.002,HEAVY,1.41,289
38.88,06:30:09,4480.2,416,9.999,HEAVY,1.41,289
39.38,06:30:10,4585.4,398,10.001,HEAVY,1.41,289
39.89,06:30:10,4487.2,461,10.000,HEAVY,1.41,289
40.39,06:30:11,4121.0,436,9.995,HEAVY,1.27,260
40.90,06:30:11,3952.8,420,10.004,HEAVY,1.27,260
41.40,06:30:12,4098.3,445,9.999,HEAVY,1.27,260
41.91,06:30:12,4261.9,440,10.002,HEAVY,1.27,260
42.41,06:30:13,4128.3,408,10.000,HEAVY,1.27,260
42.91,06:30:13,4254.5,439,9.997,HEAVY,1.27,260
43.42,06:30:14,4097.4,432,10.002,HEAVY,1.14,256
43.93,06:30:14,3049.4,428,9.999,HEAVY,1.14,256
44.43,06:30:15,3310.4,412,10.002,HEAVY,1.14,256
44.94,06:30:15,3392.8,438,9.995,HEAVY,1.14,256
45.44,06:30:16,3415.5,473,10.005,HEAVY,1.14,256
45.94,06:30:16,3273.2,474,10.001,HEAVY,1.14,256
46.45,06:30:17,3432.2,431,9.995,HEAVY,1.03,256
46.97,06:30:17,3063.3,465,9.995,HEAVY,1.03,256
47.47,06:30:18,3360.9,433,10.011,HEAVY,1.03,256
47.98,06:30:18,3558.6,462,9.997,HEAVY,1.03,256
48.48,06:30:19,3763.7,459,9.997,HEAVY,1.03,256
48.99,06:30:19,3553.9,438,10.002,HEAVY,1.03,256
49.49,06:30:20,3810.3,455,10.002,HEAVY,1.00,256
50.00,06:30:20,4022.9,457,10.002,HEAVY,1.00,256
50.50,06:30:21,4225.4,394,9.996,HEAVY,1.00,256
51.01,06:30:21,4191.4,456,9.997,HEAVY,1.00,256
51.51,06:30:22,4363.9,432,10.001,HEAVY,1.00,256
52.02,06:30:22,4493.5,434,10.003,HEAVY,1.00,256
52.52,06:30:23,4573.6,439,10.001,HEAVY,1.00,256
53.03,06:30:23,4326.0,418,10.002,HEAVY,1.00,256
53.54,06:30:24,4047.1,456,9.997,HEAVY,1.00,256
54.04,06:30:24,3359.4,422,10.002,HEAVY,1.00,256
54.54,06:30:25,3524.9,452,10.000,HEAVY,1.00,256
55.05,06:30:25,3613.5,437,9.995,HEAVY,1.00,256
55.55,06:30:26,3046.9,460,10.002,HEAVY,1.00,256
56.06,06:30:26,3025.7,457,9.997,HEAVY,1.00,256
56.57,06:30:27,2981.1,482,10.000,HEAVY,1.00,256
57.07,06:30:27,3227.9,462,10.005,HEAVY,1.00,256
57.57,06:30:28,3256.2,430,9.999,HEAVY,1.00,256
58.08,06:30:28,3196.2,434,9.998,HEAVY,1.00,256
58.58,06:30:29,3268.0,459,10.000,HEAVY,1.00,256
59.09,06:30:29,3518.1,440,10.003,HEAVY,1.00,256
59.59,06:30:30,3598.9,476,9.999,HEAVY,1.00,256
60.10,06:30:30,3887.4,463,10.003,HEAVY,1.00,256
60.60,06:30:31,3903.2,477,10.000,HEAVY,1.00,256
61.11,06:30:31,3853.4,449,10.000,HEAVY,1.00,256
61.61,06:30:32,4063.5,475,10.000,HEAVY,1.00,256
62.12,06:30:32,4269.3,419,9.997,HEAVY,1.00,256
62.62,06:30:33,4468.9,427,10.004,HEAVY,1.00,256
63.13,06:30:33,4671.2,459,10.000,HEAVY,1.00,256
63.63,06:30:34,4866.4,473,9.997,HEAVY,1.00,256
64.13,06:30:34,5078.1,436,10.003,HEAVY,1.00,256
64.64,06:30:35,5272.6,487,10.001,HEAVY,1.00,256
65.15,06:30:36,5165.1,488,9.998,HEAVY,1.00,256
65.65,06:30:36,5163.0,415,10.000,HEAVY,1.00,256
66.15,06:30:37,4175.6,437,10.001,HEAVY,1.00,256
66.66,06:30:37,4416.4,422,9.999,HEAVY,1.00,256
67.16,06:30:38,4086.5,459,10.000,HEAVY,1.00,256
67.67,06:30:38,4281.3,446,9.998,HEAVY,1.00,256
68.18,06:30:39,4276.8,462,9.998,HEAVY,1.00,256
68.68,06:30:39,3736.4,466,9.999,HEAVY,1.00,256
69.19,06:30:40,3855.7,463,10.004,HEAVY,1.00,256
69.69,06:30:40,2851.3,435,10.001,HEAVY,1.00,256
70.19,06:30:41,2787.0,434,9.997,HEAVY,1.00,256
70.70,06:30:41,3022.7,453,10.005,HEAVY,1.00,256
71.20,06:30:42,3234.3,462,9.999,HEAVY,1.00,256
71.71,06:30:42,3423.9,459,9.996,HEAVY,1.00,256
72.21,06:30:43,3512.0,440,10.001,HEAVY,1.00,256
72.72,06:30:43,3693.1,431,10.001,HEAVY,1.00,256
73.22,06:30:44,3204.4,450,9.997,HEAVY,1.00,256
73.73,06:30:44,3583.6,400,10.000,HEAVY,1.00,256
74.24,06:30:45,3297.2,456,9.996,HEAVY,1.00,256
74.74,06:30:45,3370.2,441,10.006,HEAVY,1.00,256
75.25,06:30:46,3503.7,475,9.999,HEAVY,1.00,256
75.75,06:30:46,3720.7,462,9.999,HEAVY,1.00,256
76.26,06:30:47,3937.0,446,9.995,HEAVY,1.00,256
76.77,06:30:47,4127.6,462,10.002,HEAVY,1.00,256
77.28,06:30:48,4345.1,459,10.003,HEAVY,1.00,256
77.79,06:30:48,4532.9,447,9.989,HEAVY,1.00,256
78.29,06:30:49,4745.5,455,10.005,HEAVY,1.00,256
78.80,06:30:49,4952.0,460,10.000,HEAVY,1.00,256
79.31,06:30:50,5153.6,475,10.001,HEAVY,1.00,256
79.81,06:30:50,5355.9,471,10.003,HEAVY,1.00,256
80.33,06:30:51,5403.5,472,10.003,HEAVY,1.00,256
80.83,06:30:51,5737.3,443,9.996,HEAVY,1.00,256
81.34,06:30:52,5941.5,437,10.000,HEAVY,1.00,256
81.84,06:30:52,5712.5,445,9.997,HEAVY,1.00,256
82.35,06:30:53,6095.5,409,10.008,HEAVY,1.00,256
82.86,06:30:53,5856.3,463,9.992,HEAVY,1.00,256
83.37,06:30:54,5421.8,460,10.007,HEAVY,1.00,256
83.88,06:30:54,5005.1,446,10.001,HEAVY,1.00,256
84.38,06:30:55,4841.5,409,9.999,HEAVY,1.00,256
84.88,06:30:55,4575.9,401,10.001,HEAVY,1.00,256
85.39,06:30:56,3405.6,400,10.001,HEAVY,1.00,256
85.89,06:30:56,2833.4,462,9.993,HEAVY,1.00,256
86.41,06:30:57,3006.2,455,10.003,HEAVY,1.00,256
86.91,06:30:57,3200.9,454,10.001,HEAVY,1.00,256
87.42,06:30:58,3412.2,429,9.997,HEAVY,1.00,256
87.92,06:30:58,3600.1,388,10.005,HEAVY,1.00,256
88.42,06:30:59,3312.4,445,9.998,HEAVY,1.00,256
88.93,06:30:59,3682.3,454,10.003,HEAVY,1.00,256
89.44,06:31:00,3881.1,456,9.999,HEAVY,1.00,256
89.94,06:31:00,3866.0,482,10.000,HEAVY,1.00,256
90.45,06:31:01,3742.2,478,9.998,HEAVY,1.00,256
90.95,06:31:01,3566.0,419,9.998,HEAVY,1.00,256
91.46,06:31:02,2812.8,460,9.999,HEAVY,1.00,256
91.96,06:31:02,3193.3,463,9.998,HEAVY,1.00,256
92.48,06:31:03,218.8,0,0.625,MODERATE,1.00,256
