t_s,avg_q,drop_rate_per_s,backlog_pkts,throughput_mbps,max_p,target_ms,limit_pkts
0.0,0.0,0.0,0,0.0,0.045,4.64,954
0.51,0.0,0.0,0,0.0,0.04,4.64,954
1.01,0.0,0.0,0,0.0,0.035,4.72,970
1.52,0.0,0.0,0,0.0,0.03,4.72,970
2.02,0.0,0.0,0,0.0,0.025,4.72,970
2.52,0.4,0.0,221,0.496,0.02,4.84,993
3.03,0.5,533.1,11,4.998,0.015,4.84,993
3.53,0.5,77.4,37,5.0,0.01,4.84,993
4.04,0.6,196.6,9,5.002,0.01,4.84,993
4.54,0.6,170.4,12,4.992,0.01,4.84,993
5.05,0.6,185.0,13,5.012,0.01,4.84,993
5.55,0.6,174.7,15,4.977,0.01,4.84,993
6.05,0.7,194.4,14,5.021,0.01,4.84,993
6.56,0.7,188.7,21,4.98,0.01,4.84,993
7.06,0.7,206.4,22,5.001,0.01,4.84,993
7.56,0.8,204.5,20,5.002,0.01,4.84,993
8.07,0.8,194.5,16,5.001,0.01,4.84,993
8.57,0.8,198.5,9,5.002,0.01,4.84,993
9.08,0.8,192.7,12,5.005,0.01,4.84,993
9.58,0.9,186.6,13,5.001,0.01,4.84,993
10.08,0.9,182.7,20,5.003,0.01,4.84,993
10.59,0.9,190.9,20,4.985,0.01,4.84,993
11.09,1.0,200.5,15,5.002,0.01,4.84,993
11.59,1.0,204.7,17,5.006,0.01,4.84,993
12.1,1.0,196.5,13,5.002,0.01,4.84,993
12.6,1.1,196.7,13,5.006,0.01,4.84,993
13.1,1.1,188.6,12,5.001,0.01,4.84,993
13.61,1.1,188.7,14,5.005,0.01,4.84,993
14.11,1.1,196.6,12,4.978,0.01,4.84,993
14.61,1.2,188.6,15,5.001,0.01,4.84,993
15.12,1.2,192.7,16,5.004,0.01,4.84,993
15.62,1.2,194.2,21,4.992,0.01,4.84,993
16.13,1.3,210.2,18,5.019,0.01,4.84,993
16.63,1.3,216.4,15,5.001,0.01,4.84,993
17.13,1.3,148.8,19,4.999,0.01,4.84,993
17.64,1.3,182.5,14,4.999,0.01,4.84,993
18.14,1.4,184.7,14,5.004,0.01,4.84,993
18.64,1.4,176.7,17,5.001,0.01,4.84,993
19.15,1.4,164.3,18,4.988,0.01,4.84,993
19.65,1.5,190.3,15,4.995,0.01,4.84,993
20.16,1.5,194.2,0,5.015,0.01,4.84,993
20.66,1.5,196.3,19,4.995,0.01,4.84,993
21.17,1.5,218.1,14,4.994,0.01,4.84,993
21.67,1.6,188.8,18,5.006,0.01,4.84,993
22.17,1.6,196.5,16,5.001,0.01,4.84,993
22.68,1.6,168.0,12,4.979,0.01,4.84,993
23.18,1.6,170.7,17,5.024,0.01,4.84,993
23.69,1.7,188.4,19,4.996,0.01,4.84,993
