t_s,drop_rate_per_s,drops_experiment,backlog_pkts,throughput_mbps,state,target_ms,interval_ms,limit_pkts
0.51,5936.9603,2998,420,9.9949,HEAVY,2.00,50.0,487
1.01,5142.4982,5605,449,9.9996,HEAVY,2.00,50.0,487
1.52,5719.8080,8501,457,10.0019,HEAVY,2.00,50.0,487
2.02,5614.7639,11331,365,10.0011,HEAVY,2.00,50.0,487
2.53,5306.8660,14010,425,9.9990,HEAVY,2.00,50.0,487
3.04,5659.0511,16872,442,9.9975,HEAVY,2.00,50.0,487
3.54,5992.1571,19898,452,10.0039,HEAVY,2.00,50.0,487
4.05,5508.2749,22682,449,9.9986,HEAVY,2.00,50.0,487
4.55,6024.4866,25715,446,10.0042,HEAVY,2.00,50.0,487
5.05,5508.5603,28489,392,9.9997,HEAVY,2.00,50.0,487
5.56,6919.8782,31998,432,9.9979,HEAVY,1.80,50.0,438
6.07,7629.0153,35853,400,10.0000,HEAVY,1.80,50.0,438
6.57,7402.4184,39581,0,10.0039,HEAVY,1.80,50.0,438
7.07,4528.4295,41863,401,9.9947,HEAVY,1.80,50.0,438
7.58,5188.3296,44477,396,10.0030,HEAVY,1.80,50.0,438
8.08,5909.0042,47456,429,9.9987,HEAVY,1.80,50.0,438
8.59,5532.4931,50246,407,10.0010,HEAVY,1.80,50.0,438
9.09,5255.2568,52895,410,9.9992,HEAVY,1.80,50.0,438
9.59,8036.9242,56953,405,9.9970,HEAVY,1.80,50.0,438
10.10,7641.7669,60811,393,9.9993,HEAVY,1.80,50.0,438
10.61,8458.0491,65105,370,10.0033,HEAVY,1.62,50.0,394
11.11,7726.3458,69004,391,9.9986,HEAVY,1.62,50.0,394
11.62,8273.5467,73182,384,9.9980,HEAVY,1.62,50.0,394
12.12,9237.9743,77842,377,10.0013,HEAVY,1.62,50.0,394
12.62,6925.7788,81333,379,10.0017,HEAVY,1.62,50.0,394
13.13,5232.6620,83978,359,9.9992,HEAVY,1.62,50.0,394
13.64,5979.4103,86999,355,9.9971,HEAVY,1.62,50.0,394
14.14,6092.2637,90079,377,10.0042,HEAVY,1.62,50.0,394
14.65,7872.9245,94054,374,9.9985,HEAVY,1.62,50.0,394
15.15,7685.4360,97944,377,10.0019,HEAVY,1.62,50.0,394
15.66,13377.8913,104751,319,10.0002,HEAVY,1.46,50.0,354
16.16,13084.3119,111343,328,9.9939,HEAVY,1.46,50.0,354
16.67,10875.5156,116818,339,10.0078,HEAVY,1.46,50.0,354
17.17,10896.2834,122301,321,10.0018,HEAVY,1.46,50.0,354
17.68,9352.7746,127018,338,9.9865,HEAVY,1.46,50.0,354
18.18,6932.4595,130526,343,10.0064,HEAVY,1.46,50.0,354
18.69,7045.3524,134074,351,10.0055,HEAVY,1.46,50.0,354
19.19,3880.2371,136028,342,9.9996,HEAVY,1.46,50.0,354
19.69,6655.7314,139386,341,9.9973,HEAVY,1.46,50.0,354
20.20,8453.3796,143655,346,9.9974,HEAVY,1.46,50.0,354
20.71,13051.0882,150326,306,9.9981,HEAVY,1.31,50.0,318
21.21,12673.1381,156704,290,10.0058,HEAVY,1.31,50.0,318
21.72,10662.4714,162099,315,9.9917,HEAVY,1.31,50.0,318
22.22,13173.5679,168751,312,10.0072,HEAVY,1.31,50.0,318
22.73,14136.6267,175872,306,10.0008,HEAVY,1.31,50.0,318
23.23,13495.4044,182691,293,9.9971,HEAVY,1.31,50.0,318
23.74,13310.8077,189396,287,10.0008,HEAVY,1.31,50.0,318
24.24,14388.9242,196654,297,10.0017,HEAVY,1.31,50.0,318
24.74,15576.4213,204496,296,10.0030,HEAVY,1.31,50.0,318
25.25,17462.6943,213288,296,9.9964,HEAVY,1.31,50.0,318
25.75,20542.8962,223689,264,10.0030,HEAVY,1.18,50.0,286
26.26,18456.9885,232991,273,9.9967,HEAVY,1.18,50.0,286
26.76,17247.5644,241681,286,10.0038,HEAVY,1.18,50.0,286
27.27,14400.6299,248938,269,9.9997,HEAVY,1.18,50.0,286
27.77,13212.1193,255594,285,9.9995,HEAVY,1.18,50.0,286
28.28,9120.7482,260220,284,9.9904,HEAVY,1.18,50.0,286
28.78,9054.2051,264786,270,10.0076,HEAVY,1.18,50.0,286
29.29,12898.6157,271310,273,9.9901,HEAVY,1.18,50.0,286
29.79,13276.7098,278005,269,10.0120,HEAVY,1.18,50.0,286
30.29,14385.6350,285251,263,9.9991,HEAVY,1.18,50.0,286
30.80,17602.2968,294174,238,10.0012,HEAVY,1.06,50.0,257
31.31,20162.0774,304325,249,10.0020,HEAVY,1.06,50.0,257
31.81,21049.0744,314929,253,9.9967,HEAVY,1.06,50.0,257
32.31,19599.6814,324791,245,10.0013,HEAVY,1.06,50.0,257
32.82,20748.7787,335231,239,10.0004,HEAVY,1.06,50.0,257
33.32,22037.9519,346329,254,9.9994,HEAVY,1.06,50.0,257
33.82,20669.8971,356743,251,9.9967,HEAVY,1.06,50.0,257
34.33,21566.9706,367600,241,10.0029,HEAVY,1.06,50.0,257
34.83,23353.4331,379357,249,9.9975,HEAVY,1.06,50.0,257
35.34,21524.3402,390235,241,10.0004,HEAVY,1.06,50.0,257
35.85,19223.6316,400149,248,10.0016,HEAVY,1.00,50.0,256
36.35,20938.2448,410692,238,10.0005,HEAVY,1.00,50.0,256
36.86,16152.8265,418892,233,9.9993,HEAVY,1.00,50.0,256
37.37,16591.6041,427262,238,10.0011,HEAVY,1.00,50.0,256
37.87,15801.0565,435212,247,10.0002,HEAVY,1.00,50.0,256
38.37,11284.5114,440889,229,10.0003,HEAVY,1.00,50.0,256
38.88,12828.6851,447341,249,9.9999,HEAVY,1.00,50.0,256
39.38,13874.3376,454327,251,9.9998,HEAVY,1.00,50.0,256
39.88,9913.9887,459336,256,9.9969,HEAVY,1.00,50.0,256
40.39,10980.1913,464865,238,10.0034,HEAVY,1.00,50.0,256
40.89,13162.0522,471490,242,10.0000,HEAVY,1.00,50.0,256
41.39,10921.8959,476988,249,9.9990,HEAVY,1.00,50.0,256
41.90,9911.5207,481976,245,9.9979,HEAVY,1.00,50.0,256
42.40,11403.2866,487717,242,10.0041,HEAVY,1.00,50.0,256
42.91,13314.0412,494426,241,9.9962,HEAVY,1.00,50.0,256
43.41,15306.8397,502149,233,10.0027,HEAVY,1.00,50.0,256
43.91,14435.3514,509415,252,9.9988,HEAVY,1.00,50.0,256
44.42,14069.7581,516533,253,9.9964,HEAVY,1.00,50.0,256
44.92,16510.8893,524848,243,10.0010,HEAVY,1.00,50.0,256
45.43,17895.1566,533854,253,10.0036,HEAVY,1.00,50.0,256
45.93,16571.7791,542201,234,9.9967,HEAVY,1.00,50.0,256
46.43,18937.0970,551742,251,10.0009,HEAVY,1.00,50.0,256
46.94,19848.9995,561742,252,9.9999,HEAVY,1.00,50.0,256
47.44,19883.5652,571752,242,10.0014,HEAVY,1.00,50.0,256
47.94,20365.3727,582011,239,9.9993,HEAVY,1.00,50.0,256
48.45,16907.0408,590540,237,9.9997,HEAVY,1.00,50.0,256
48.95,16662.5071,598929,252,10.0009,HEAVY,1.00,50.0,256
49.46,21543.1820,609804,228,9.9965,HEAVY,1.00,50.0,256
49.96,18023.3826,618875,232,10.0023,HEAVY,1.00,50.0,256
50.46,17042.9679,627456,252,10.0033,HEAVY,1.00,50.0,256
50.97,15891.0829,635470,233,9.9957,HEAVY,1.00,50.0,256
51.47,14835.6080,642957,248,10.0000,HEAVY,1.00,50.0,256
