t_s,avg_q,drop_rate_per_s,backlog_pkts,throughput_mbps,max_p,target_ms,limit_pkts
0.0,0.0,0.0,0,0.0,0.045,4.64,954
0.51,0.0,0.0,0,0.0,0.04,4.64,954
1.01,0.0,0.0,0,0.0,0.035,4.72,970
1.52,0.0,0.0,0,0.0,0.03,4.72,970
2.02,0.0,0.0,0,0.0,0.025,4.72,970
2.52,0.2,0.0,90,1.029,0.02,4.84,993
3.03,0.2,300.6,9,9.987,0.015,4.84,993
3.53,0.2,178.7,9,10.004,0.01,4.84,993
4.04,0.2,149.0,9,9.987,0.01,4.84,993
4.54,0.3,143.0,18,10.01,0.01,4.84,993
5.04,0.3,156.9,9,10.007,0.01,4.84,993
5.55,0.3,143.2,12,9.995,0.01,4.84,993
6.05,0.3,139.0,12,10.005,0.01,4.84,993
6.55,0.3,164.9,9,9.96,0.01,4.84,993
7.06,0.4,135.0,13,10.029,0.01,4.84,993
7.56,0.4,148.9,9,10.004,0.01,4.84,993
8.06,0.4,127.1,15,10.006,0.01,4.84,993
8.57,0.4,142.9,14,9.998,0.01,4.84,993
9.07,0.5,156.8,11,10.002,0.01,4.84,993
9.57,0.5,148.9,11,10.005,0.01,4.84,993
10.08,0.5,145.1,10,9.988,0.01,4.84,993
10.58,0.5,123.1,15,10.008,0.01,4.84,993
11.09,0.6,148.9,14,10.003,0.01,4.84,993
11.59,0.6,147.1,14,9.992,0.01,4.84,993
12.09,0.6,156.9,13,10.005,0.01,4.84,993
12.6,0.6,141.0,15,10.006,0.01,4.84,993
13.1,0.7,184.7,12,9.961,0.01,4.84,993
13.6,0.7,139.1,5,10.037,0.01,4.84,993
14.11,0.7,151.1,10,9.99,0.01,4.84,993
14.61,0.7,170.9,12,10.014,0.01,4.84,993
15.11,0.7,144.9,15,9.98,0.01,4.84,993
15.62,0.8,156.7,13,9.994,0.01,4.84,993
16.12,0.8,176.7,13,9.979,0.01,4.84,993
16.62,0.8,119.2,12,10.008,0.01,4.84,993
17.13,0.8,182.7,12,10.005,0.01,4.84,993
17.63,0.9,152.8,17,10.024,0.01,4.84,993
18.13,0.9,169.1,14,10.001,0.01,4.84,993
18.64,0.9,160.8,12,10.002,0.01,4.84,993
19.14,0.9,158.8,10,9.98,0.01,4.84,993
19.64,1.0,160.8,11,9.981,0.01,4.84,993
20.15,1.0,141.1,13,10.035,0.01,4.84,993
20.65,1.0,170.8,12,10.007,0.01,4.84,993
21.15,1.0,174.7,12,9.978,0.01,4.84,993
21.66,1.1,170.8,13,10.009,0.01,4.84,993
22.16,1.1,132.9,15,9.993,0.01,4.84,993
22.67,1.1,139.0,12,10.008,0.01,4.84,993
23.17,1.1,146.9,14,10.005,0.01,4.84,993
23.67,1.1,153.0,11,9.988,0.01,4.84,993
