t_s,avg_q,drop_rate_per_s,backlog_pkts,throughput_mbps,max_p,target_ms,limit_pkts
0.0,1.0,1745.3,480,9.997,0.045,4.64,954
0.51,1.7,4086.1,391,10.002,0.04,4.64,954
1.01,2.6,4647.5,423,9.997,0.035,4.72,970
1.51,3.4,5233.1,391,9.999,0.03,4.72,970
2.02,4.2,6291.1,443,10.002,0.025,4.72,970
2.52,5.0,6579.5,396,10.001,0.02,4.84,993
3.03,5.8,6191.2,372,9.998,0.015,4.84,993
3.53,6.5,6543.3,396,10.002,0.01,4.84,993
4.03,7.3,7226.9,378,9.997,0.01,4.84,993
4.54,8.0,7524.4,365,10.003,0.01,4.84,993
5.04,8.8,6920.3,400,10.001,0.01,4.84,993
5.54,9.6,5421.8,436,10.001,0.01,4.84,993
6.05,10.5,5578.7,441,9.999,0.01,4.84,993
6.55,11.3,4737.2,399,10.001,0.01,4.84,993
7.05,12.1,4752.7,416,9.998,0.01,4.84,993
7.56,12.8,4681.8,393,10.002,0.01,4.84,993
8.06,13.7,5565.9,433,9.999,0.01,4.84,993
8.56,14.4,6388.9,354,10.002,0.01,4.84,993
9.07,15.2,6870.4,411,9.998,0.01,4.84,993
9.57,15.9,7415.0,384,10.002,0.01,4.84,993
10.08,16.9,7143.6,499,9.999,0.01,4.84,993
10.58,17.7,7521.3,414,10.002,0.01,4.84,993
11.08,18.4,7700.5,382,9.996,0.01,4.84,993
11.59,19.0,8080.1,343,10.002,0.01,4.84,993
12.09,19.8,6668.9,385,9.998,0.01,4.84,993
12.59,20.6,5556.8,444,10.0,0.01,4.84,993
13.09,21.4,5058.8,411,9.999,0.01,4.84,993
13.6,22.2,4851.5,422,10.002,0.01,4.84,993
14.1,22.2,3657.5,0,10.002,0.01,4.84,993
14.6,22.9,3943.5,377,10.001,0.01,4.84,993
15.11,23.6,4330.6,394,9.999,0.01,4.84,993
15.61,24.4,4806.3,407,9.996,0.01,4.84,993
16.11,25.1,5026.2,409,10.005,0.01,4.84,993
16.62,25.9,4802.4,406,9.996,0.01,4.84,993
17.12,26.6,5063.6,390,9.999,0.01,4.84,993
17.63,27.4,4978.7,397,10.003,0.01,4.84,993
18.13,28.2,3930.1,431,9.998,0.01,4.84,993
18.63,28.1,3137.4,0,10.0,0.01,4.84,993
19.14,28.9,3485.1,429,10.001,0.01,4.84,993
19.64,29.7,4040.8,432,10.001,0.01,4.84,993
20.14,30.5,4146.5,425,9.998,0.01,4.84,993
20.65,31.3,4197.2,421,10.0,0.02,4.84,993
21.15,32.0,4323.5,360,9.999,0.02,4.84,993
21.65,32.7,4836.8,402,10.001,0.02,4.84,993
22.15,33.3,5385.4,353,10.0,0.02,4.84,993
22.66,34.1,5715.5,390,9.997,0.02,4.84,993
23.16,34.8,6555.3,413,10.003,0.02,4.84,993
23.66,35.5,6570.1,396,9.998,0.02,4.84,993
24.17,36.2,7658.1,378,10.003,0.02,4.84,993
24.67,36.9,6781.3,383,9.997,0.03,4.76,977
25.18,37.6,7195.4,391,10.003,0.03,4.76,977
25.68,38.3,6639.1,391,9.998,0.03,4.76,977
26.18,39.1,6244.6,436,9.998,0.03,4.76,977
26.69,39.9,5611.2,422,10.002,0.03,4.76,977
27.19,40.6,4536.9,409,10.001,0.03,4.76,977
27.69,41.4,3989.6,406,9.996,0.03,4.76,977
28.2,42.0,4044.2,381,10.003,0.03,4.76,977
28.7,42.7,4538.3,367,9.998,0.04,4.76,977
29.2,43.3,4450.6,350,10.0,0.04,4.76,977
