t_s,avg_q,drop_rate_per_s,backlog_pkts,throughput_mbps,max_p,target_ms,limit_pkts
0.0,0.9,2069.7,430,9.995,0.045,4.64,954
0.51,1.7,4606.7,396,10.005,0.04,4.64,954
1.01,2.3,3615.2,329,9.997,0.035,4.72,970
1.52,3.1,3347.2,379,9.995,0.03,4.72,970
2.03,3.7,4110.7,323,10.009,0.025,4.72,970
2.53,4.5,4004.0,396,10.001,0.02,4.84,993
3.04,5.3,3473.1,423,9.995,0.015,4.84,993
3.54,6.0,3893.9,348,10.009,0.01,4.84,993
4.05,6.8,4021.4,379,9.992,0.01,4.84,993
4.55,7.5,2766.4,372,10.002,0.01,4.84,993
5.05,8.3,3303.9,405,10.003,0.01,4.84,993
5.56,9.0,3809.1,372,9.999,0.01,4.84,993
6.06,9.7,4071.0,368,9.991,0.01,4.84,993
6.57,10.4,3951.8,356,10.009,0.01,4.84,993
7.07,11.2,4305.1,420,9.998,0.01,4.84,993
7.58,12.0,3764.2,373,10.001,0.01,4.84,993
8.08,12.7,3244.7,395,9.996,0.01,4.84,993
8.59,12.7,3531.8,0,10.002,0.01,4.84,993
9.09,13.5,3913.8,417,10.002,0.01,4.84,993
9.6,14.4,4184.5,452,10.0,0.01,4.84,993
10.1,15.2,4704.9,411,9.994,0.01,4.84,993
10.6,15.9,4228.6,374,10.001,0.01,4.84,993
11.11,16.7,3897.5,401,9.999,0.01,4.84,993
11.61,17.4,3508.5,366,10.003,0.01,4.84,993
12.12,18.1,4018.1,381,10.004,0.01,4.84,993
12.62,18.9,4087.4,399,9.996,0.01,4.84,993
13.13,19.7,4303.9,427,10.002,0.01,4.84,993
13.63,20.4,4584.2,394,10.002,0.01,4.84,993
14.14,21.1,4171.2,371,10.001,0.01,4.84,993
14.64,21.8,4182.4,378,9.998,0.01,4.84,993
15.14,22.6,3808.8,428,10.0,0.01,4.84,993
15.65,23.4,3816.5,380,9.994,0.01,4.84,993
16.15,24.1,4513.8,409,10.009,0.01,4.84,993
16.66,24.8,4745.9,336,9.998,0.01,4.84,993
17.16,25.6,4402.4,427,10.0,0.01,4.84,993
17.67,26.3,4424.2,392,9.996,0.01,4.84,993
18.17,27.1,4206.5,415,10.001,0.01,4.84,993
18.67,27.8,4125.0,412,10.0,0.01,4.84,993
19.18,28.5,4020.5,362,9.997,0.01,4.84,993
19.68,29.3,4264.8,424,10.006,0.01,4.84,993
20.19,30.0,4216.6,391,9.997,0.01,4.84,993
20.69,30.7,4106.3,355,10.004,0.01,4.84,993
21.2,31.3,4206.7,367,9.999,0.02,4.84,993
21.7,32.0,4577.3,365,10.002,0.02,4.84,993
22.2,32.7,4739.7,393,9.994,0.02,4.84,993
22.71,33.5,4472.2,394,10.005,0.02,4.84,993
23.21,34.1,4118.1,347,9.992,0.02,4.84,993
23.72,34.9,4333.8,421,10.007,0.02,4.84,993
24.22,35.4,4673.8,310,9.991,0.02,4.84,993
24.72,36.1,4220.8,375,10.01,0.02,4.84,993
25.23,36.7,3734.0,353,9.998,0.02,4.84,993
25.73,37.4,2944.5,366,9.997,0.03,4.76,977
26.24,38.1,2681.4,413,9.997,0.03,4.76,977
26.74,38.8,3036.5,369,10.007,0.03,4.76,977
27.25,39.5,3779.9,383,9.999,0.03,4.76,977
27.75,40.2,4141.4,384,10.0,0.03,4.76,977
28.26,40.8,4759.5,359,9.996,0.03,4.76,977
28.76,41.5,5583.1,372,9.999,0.03,4.76,977
29.27,42.2,4645.3,389,10.004,0.03,4.76,977
29.77,42.9,2838.5,396,10.002,0.04,4.76,977
30.27,43.5,3127.6,364,9.993,0.04,4.76,977
30.78,44.3,3751.4,413,10.0,0.04,4.76,977
31.28,45.0,4179.3,411,10.007,0.04,4.76,977
31.79,45.6,4014.4,356,9.998,0.04,4.76,977
32.29,46.3,3667.6,379,10.001,0.04,4.76,977
32.8,47.0,3548.3,407,10.001,0.04,4.76,977
33.3,47.6,4021.2,354,9.997,0.04,4.76,977
33.8,48.3,4430.0,412,10.003,0.05,4.6,947
34.31,48.2,4603.8,0,9.997,0.05,4.6,947
34.81,48.9,4474.8,366,10.001,0.05,4.6,947
35.32,49.6,4796.7,387,10.001,0.05,4.6,947
35.82,50.3,4039.5,418,9.999,0.05,4.6,947
