t_s,drop_rate_per_s,drops_experiment,backlog_pkts,throughput_mbps,state,active_flows,elephant_flows,target_ms,interval_ms,limit_pkts,ebpf_mode
0.51,2977.4960,1507,466,9.9971,HEAVY,0,0,5.00,100.0,1024,tc-only
1.01,3188.1344,3115,469,10.0027,HEAVY,0,0,5.00,100.0,1024,tc-only
1.52,3262.5712,4760,476,10.0018,HEAVY,0,0,5.00,100.0,1024,tc-only
2.02,3575.7405,6563,466,9.9981,HEAVY,0,0,5.00,100.0,1024,tc-only
2.53,3783.5306,8474,432,9.9990,HEAVY,0,0,5.00,100.0,1024,tc-only
3.03,3978.1725,10484,428,9.9966,HEAVY,0,0,5.00,100.0,1024,tc-only
3.54,4044.6729,12527,456,10.0037,HEAVY,0,0,5.00,100.0,1024,tc-only
4.04,4076.4358,14586,429,9.9976,HEAVY,0,0,5.00,100.0,1024,tc-only
4.55,3977.7866,16597,463,9.9990,HEAVY,0,0,5.00,100.0,1024,tc-only
5.05,3998.5229,18617,463,10.0022,HEAVY,0,0,5.00,100.0,1024,tc-only
5.56,4782.5923,21055,467,9.9983,HEAVY,0,0,4.50,90.0,921,tc-only
6.07,5033.7506,23602,430,9.9979,HEAVY,0,0,4.50,90.0,921,tc-only
6.57,4828.4093,26038,406,10.0061,HEAVY,0,0,4.50,90.0,921,tc-only
7.08,5181.3099,28654,467,9.9965,HEAVY,0,0,4.50,90.0,921,tc-only
7.58,5408.5362,31386,453,10.0002,HEAVY,0,0,4.50,90.0,921,tc-only
8.09,5322.8566,34072,409,10.0051,HEAVY,0,0,4.50,90.0,921,tc-only
8.59,5228.5120,36713,411,9.9931,HEAVY,0,0,4.50,90.0,921,tc-only
9.10,4617.8195,39043,404,10.0029,HEAVY,0,0,4.50,90.0,921,tc-only
9.60,4171.1783,41149,399,9.9986,HEAVY,0,0,4.50,90.0,921,tc-only
10.11,3253.6305,42792,422,10.0043,HEAVY,0,0,4.50,90.0,921,tc-only
10.62,2334.7529,43981,448,9.9947,HEAVY,0,0,4.05,81.0,828,tc-only
11.12,2137.6708,45061,467,10.0004,HEAVY,0,0,4.05,81.0,828,tc-only
11.63,2419.2001,46281,431,10.0030,HEAVY,0,0,4.05,81.0,828,tc-only
12.13,2680.5361,47634,455,9.9962,HEAVY,0,0,4.05,81.0,828,tc-only
12.64,2820.3811,49061,463,10.0036,HEAVY,0,0,4.05,81.0,828,tc-only
13.14,3157.5346,50654,472,9.9989,HEAVY,0,0,4.05,81.0,828,tc-only
13.65,3453.8080,52397,473,10.0000,HEAVY,0,0,4.05,81.0,828,tc-only
14.15,3534.0838,54187,443,9.9992,HEAVY,0,0,4.05,81.0,828,tc-only
14.66,3847.8277,56135,0,9.9966,HEAVY,0,0,4.05,81.0,828,tc-only
15.16,4206.9426,58261,462,10.0030,HEAVY,0,0,4.05,81.0,828,tc-only
15.67,5013.2475,60818,463,9.9990,HEAVY,0,0,3.65,72.9,745,tc-only
16.18,5412.2575,63558,468,9.9977,HEAVY,0,0,3.65,72.9,745,tc-only
16.69,5780.8815,66475,438,10.0035,HEAVY,0,0,3.65,72.9,745,tc-only
17.19,6045.6549,69523,390,10.0015,HEAVY,0,0,3.65,72.9,745,tc-only
17.69,6083.7681,72591,398,9.9990,HEAVY,0,0,3.65,72.9,745,tc-only
18.20,5795.9781,75518,445,9.9995,HEAVY,0,0,3.65,72.9,745,tc-only
18.70,5322.6077,78205,421,10.0030,HEAVY,0,0,3.65,72.9,745,tc-only
19.21,5104.7350,80780,432,9.9962,HEAVY,0,0,3.65,72.9,745,tc-only
19.71,5474.3679,83540,415,10.0025,HEAVY,0,0,3.65,72.9,745,tc-only
20.22,5513.8993,86329,455,9.9981,HEAVY,0,0,3.65,72.9,745,tc-only
20.73,6220.9070,89504,415,9.9956,HEAVY,0,0,3.28,65.6,670,tc-only
21.23,6291.3105,92681,446,10.0052,HEAVY,0,0,3.28,65.6,670,tc-only
