t_s,avg_q,drop_rate_per_s,backlog_pkts,throughput_mbps,max_p,target_ms,limit_pkts
0.0,0.0,0.0,0,0.0,0.045,4.64,954
0.51,0.0,0.0,0,0.0,0.04,4.64,954
1.01,0.0,0.0,0,0.0,0.035,4.72,970
1.52,0.0,0.0,0,0.0,0.03,4.72,970
2.03,0.0,0.0,0,0.0,0.025,4.72,970
2.53,0.2,0.0,90,1.219,0.02,4.84,993
3.04,0.2,302.5,17,9.991,0.015,4.84,993
3.54,0.2,181.5,15,9.989,0.01,4.84,993
4.05,0.3,151.0,12,10.008,0.01,4.84,993
4.55,0.3,153.0,14,10.009,0.01,4.84,993
5.06,0.3,168.2,13,9.995,0.01,4.84,993
5.56,0.3,152.9,14,9.981,0.01,4.84,993
6.07,0.4,142.9,11,10.021,0.01,4.84,993
6.57,0.4,135.1,17,9.984,0.01,4.84,993
7.07,0.4,176.6,11,10.024,0.01,4.84,993
7.58,0.4,148.9,10,9.981,0.01,4.84,993
8.08,0.5,144.9,14,10.004,0.01,4.84,993
8.58,0.5,164.5,14,10.012,0.01,4.84,993
9.09,0.5,149.0,12,10.007,0.01,4.84,993
9.59,0.5,150.7,14,9.989,0.01,4.84,993
10.1,0.6,148.9,12,10.004,0.01,4.84,993
10.6,0.6,162.7,12,9.999,0.01,4.84,993
11.1,0.6,157.0,16,9.987,0.01,4.84,993
11.61,0.6,154.9,14,10.006,0.01,4.84,993
12.11,0.7,147.1,15,10.014,0.01,4.84,993
12.61,0.7,129.1,13,9.98,0.01,4.84,993
13.12,0.7,156.5,14,10.006,0.01,4.84,993
13.62,0.8,134.8,17,9.967,0.01,4.84,993
14.13,0.8,143.0,12,10.028,0.01,4.84,993
14.63,0.8,150.9,11,10.005,0.01,4.84,993
15.13,0.8,151.1,12,10.014,0.01,4.84,993
15.64,0.9,134.8,14,9.985,0.01,4.84,993
16.14,0.9,132.4,14,9.982,0.01,4.84,993
16.65,0.9,148.9,13,10.027,0.01,4.84,993
17.15,0.9,155.0,12,9.988,0.01,4.84,993
17.66,1.0,136.6,16,9.998,0.01,4.84,993
18.16,1.0,156.6,12,10.011,0.01,4.84,993
18.66,1.0,130.9,15,9.993,0.01,4.84,993
19.17,1.0,159.0,13,10.012,0.01,4.84,993
19.67,1.1,133.0,15,10.002,0.01,4.84,993
20.18,1.1,146.5,11,9.974,0.01,4.84,993
20.68,1.1,144.7,16,10.008,0.01,4.84,993
21.19,1.1,166.5,15,9.989,0.01,4.84,993
21.69,1.2,134.9,14,10.019,0.01,4.84,993
22.19,1.2,139.0,10,9.979,0.01,4.84,993
22.7,1.2,170.8,12,10.034,0.01,4.84,993
23.2,1.2,172.7,14,9.977,0.01,4.84,993
23.71,1.2,148.9,12,10.005,0.01,4.84,993
