t_s,avg_q,drop_rate_per_s,backlog_pkts,throughput_mbps,max_p,target_ms,limit_pkts
0.0,0.0,0.0,0,0.0,0.045,4.64,954
0.51,0.0,0.0,0,0.0,0.04,4.64,954
1.01,0.0,0.0,0,0.0,0.035,4.72,970
1.52,0.0,0.0,0,0.0,0.03,4.72,970
2.02,0.0,0.0,0,0.0,0.025,4.72,970
2.53,0.2,0.0,89,1.196,0.02,4.84,993
3.03,0.2,261.7,12,10.01,0.015,4.84,993
3.54,0.2,164.3,12,9.973,0.01,4.84,993
4.05,0.2,160.4,10,10.003,0.01,4.84,993
4.55,0.3,130.2,15,10.012,0.01,4.84,993
5.06,0.3,145.0,13,10.011,0.01,4.84,993
5.56,0.3,170.0,10,9.983,0.01,4.84,993
6.07,0.3,139.2,13,10.016,0.01,4.84,993
6.57,0.4,149.0,15,9.984,0.01,4.84,993
7.07,0.4,135.5,16,9.986,0.01,4.84,993
7.58,0.4,167.8,11,10.022,0.01,4.84,993
8.09,0.5,158.0,14,10.0,0.01,4.84,993
8.59,0.5,157.1,15,9.993,0.01,4.84,993
9.1,0.5,152.4,14,10.019,0.01,4.84,993
9.6,0.5,147.2,13,9.997,0.01,4.84,993
10.11,0.6,154.8,14,9.976,0.01,4.84,993
10.61,0.6,143.2,14,10.019,0.01,4.84,993
11.11,0.6,144.6,13,10.005,0.01,4.84,993
11.62,0.6,154.0,14,9.997,0.01,4.84,993
12.12,0.7,155.8,14,9.986,0.01,4.84,993
12.63,0.7,139.1,17,10.009,0.01,4.84,993
13.13,0.7,156.9,10,10.009,0.01,4.84,993
13.64,0.7,127.2,11,9.99,0.01,4.84,993
14.14,0.8,163.0,12,10.013,0.01,4.84,993
14.64,0.8,178.6,11,9.997,0.01,4.84,993
15.15,0.8,135.3,8,9.999,0.01,4.84,993
15.65,0.8,114.3,15,9.979,0.01,4.84,993
16.16,0.8,174.8,9,10.009,0.01,4.84,993
16.66,0.9,142.5,13,9.999,0.01,4.84,993
17.17,0.9,160.8,10,9.979,0.01,4.84,993
17.67,0.9,147.1,18,10.04,0.01,4.84,993
18.17,0.9,164.8,14,9.979,0.01,4.84,993
18.68,1.0,151.1,14,10.02,0.01,4.84,993
19.18,1.0,134.4,13,9.956,0.01,4.84,993
19.69,1.0,148.5,11,9.999,0.01,4.84,993
20.19,1.0,152.1,13,10.023,0.01,4.84,993
20.7,1.1,150.7,13,10.016,0.01,4.84,993
21.2,1.1,158.7,16,9.996,0.01,4.84,993
21.71,1.1,158.7,14,9.997,0.01,4.84,993
22.21,1.1,156.7,14,9.993,0.01,4.84,993
22.71,1.2,164.7,11,9.998,0.01,4.84,993
23.22,1.2,132.3,13,9.994,0.01,4.84,993
23.72,1.2,140.8,12,10.016,0.01,4.84,993
