t_s,dr_gradient,bl_gradient,rtt_gradient,regime,trajectory,predicted,workload
2.536,402.5329,5.7157,0.0000,HEAVY,STABLE,HEAVY,MICE
5.074,400.2755,-1.9101,0.0000,HEAVY,STABLE,HEAVY,MICE
7.614,457.5567,-17.0545,0.0000,HEAVY,STABLE,HEAVY,MICE
10.152,384.9131,-39.3639,0.0000,HEAVY,STABLE,HEAVY,MICE
12.695,657.4044,9.1098,0.0000,HEAVY,STABLE,HEAVY,MICE
15.234,444.1058,-4.8925,0.0000,HEAVY,STABLE,HEAVY,MICE
17.776,454.5972,9.7925,0.0000,HEAVY,STABLE,HEAVY,MICE
20.315,-222.0487,-4.4269,0.0000,HEAVY,RECOVERING,MODERATE,MICE
22.855,691.4478,4.5002,0.0000,HEAVY,STABLE,HEAVY,MICE
25.394,794.3664,-43.1292,0.0000,HEAVY,STABLE,HEAVY,MICE
27.935,795.7315,0.6700,0.0000,HEAVY,STABLE,HEAVY,MICE
30.474,617.2169,3.1870,0.0000,HEAVY,STABLE,HEAVY,MICE
33.016,1491.1582,-3.3538,0.0000,HEAVY,STABLE,HEAVY,MICE
35.554,1113.2363,1.1593,0.0000,HEAVY,STABLE,HEAVY,MICE
38.097,1293.2687,-2.6449,0.0000,HEAVY,STABLE,HEAVY,MICE
40.636,1303.9336,8.3885,0.0000,HEAVY,STABLE,HEAVY,MICE
43.176,-7163.4249,-3.9280,0.0000,HEAVY,RECOVERING,MODERATE,MICE
45.713,-73.3000,2.7118,0.0000,HEAVY,RECOVERING,MODERATE,MICE
48.255,5100.9406,-9.1397,0.0000,HEAVY,STABLE,HEAVY,MICE
50.794,27.7454,1.5997,0.0000,HEAVY,STABLE,HEAVY,MICE
53.341,10737.8138,-11.4040,0.0000,HEAVY,STABLE,HEAVY,MICE
55.885,-636.5152,1.3336,0.0000,HEAVY,RECOVERING,MODERATE,MICE
58.436,10701.2466,-10.5586,0.0000,HEAVY,STABLE,HEAVY,MICE
60.988,-1208.9110,-0.5812,0.0000,HEAVY,RECOVERING,MODERATE,MICE
63.553,7512.1511,-7.7929,0.0000,HEAVY,STABLE,HEAVY,MICE
66.122,986.0024,1.1700,0.0000,HEAVY,STABLE,HEAVY,MICE
68.696,2038.9842,-4.7823,0.0000,HEAVY,STABLE,HEAVY,MICE
71.268,-776.5042,-1.5668,0.0000,HEAVY,RECOVERING,MODERATE,MICE
73.845,-591.9184,-1.0004,0.0000,HEAVY,RECOVERING,MODERATE,MICE
76.410,-747.2664,1.1687,0.0000,HEAVY,RECOVERING,MODERATE,MICE
78.988,635.5840,-0.2396,0.0000,HEAVY,STABLE,HEAVY,MICE
81.555,1426.3267,3.5174,0.0000,HEAVY,STABLE,HEAVY,MICE
84.127,-338.8283,1.2855,0.0000,HEAVY,RECOVERING,MODERATE,MICE
86.698,-2449.5758,-1.4024,0.0000,HEAVY,RECOVERING,MODERATE,MICE
89.264,839.9695,-0.2139,0.0000,HEAVY,STABLE,HEAVY,MICE
91.838,522.9040,-0.9090,0.0000,HEAVY,STABLE,HEAVY,MICE
94.408,-1681.5803,1.7430,0.0000,HEAVY,RECOVERING,MODERATE,MICE
96.983,-3958.5497,3.6608,0.0000,HEAVY,RECOVERING,MODERATE,MICE
99.551,-1578.6944,-2.7561,0.0000,HEAVY,RECOVERING,MODERATE,MICE
102.119,1847.5397,0.2728,0.0000,HEAVY,STABLE,HEAVY,MICE
104.681,32.5462,0.8160,0.0000,HEAVY,STABLE,HEAVY,MICE
107.258,-2554.5395,0.7178,0.0000,HEAVY,RECOVERING,MODERATE,MICE
109.836,1533.2014,-0.0451,0.0000,HEAVY,STABLE,HEAVY,MICE
112.411,-3.8121,-2.4477,0.0000,HEAVY,STABLE,HEAVY,MICE
114.986,-568.8455,-0.2710,0.0000,HEAVY,RECOVERING,MODERATE,MICE
117.569,77.4610,2.5023,0.0000,HEAVY,STABLE,HEAVY,MICE
120.144,-167.9002,-1.8667,0.0000,HEAVY,RECOVERING,MODERATE,MICE
122.721,-494.7459,-0.0338,0.0000,HEAVY,RECOVERING,MODERATE,MICE
125.300,2344.6966,2.4427,0.0000,HEAVY,STABLE,HEAVY,MICE
127.884,1569.0973,-1.6065,0.0000,HEAVY,STABLE,HEAVY,MICE
130.456,571.9219,3.3516,0.0000,HEAVY,STABLE,HEAVY,MICE
133.029,159.4076,1.4127,0.0000,HEAVY,STABLE,HEAVY,MICE
135.605,316.9504,-2.3551,0.0000,HEAVY,STABLE,HEAVY,MICE
138.182,-279.0081,1.0116,0.0000,HEAVY,RECOVERING,MODERATE,MICE
140.761,-406.3132,0.7410,0.0000,HEAVY,RECOVERING,MODERATE,MICE
143.339,596.9097,-4.4059,0.0000,HEAVY,STABLE,HEAVY,MICE
145.912,581.1234,-0.1426,0.0000,HEAVY,STABLE,HEAVY,MICE
148.484,-834.0434,0.2943,0.0000,HEAVY,RECOVERING,MODERATE,MICE
151.058,815.1318,-0.6244,0.0000,HEAVY,STABLE,HEAVY,MICE
153.634,1244.1035,0.0022,0.0000,HEAVY,STABLE,HEAVY,MICE
156.199,-72.7504,1.7131,0.0000,HEAVY,RECOVERING,MODERATE,MICE
158.773,-487.2041,1.4257,0.0000,HEAVY,RECOVERING,MODERATE,MICE
161.344,590.3387,-1.4474,0.0000,HEAVY,STABLE,HEAVY,MICE
163.913,-65.8119,1.7817,0.0000,HEAVY,RECOVERING,MODERATE,MICE
166.490,-1068.8349,-0.8244,0.0000,HEAVY,RECOVERING,MODERATE,MICE
169.070,-1209.1003,1.6221,0.0000,HEAVY,RECOVERING,MODERATE,MICE
171.648,-446.9078,1.3396,0.0000,HEAVY,RECOVERING,MODERATE,MICE
174.218,4265.1039,1.3787,0.0000,HEAVY,STABLE,HEAVY,MICE
176.789,2185.5431,-1.9924,0.0000,HEAVY,STABLE,HEAVY,MICE
179.359,149.1917,-0.8977,0.0000,HEAVY,STABLE,HEAVY,MICE
181.928,327.2544,0.6816,0.0000,HEAVY,STABLE,HEAVY,MICE
184.500,396.9376,1.7696,0.0000,HEAVY,STABLE,HEAVY,MICE
187.076,374.8197,-0.5425,0.0000,HEAVY,STABLE,HEAVY,MICE
189.650,-641.3739,1.2949,0.0000,HEAVY,RECOVERING,MODERATE,MICE
