t,wall,drop_rate,backlog,throughput_mbps,active_flows,elephant_flows,elephant_ratio,state,target_ms,limit_pkts,mode
0.51,06:31:04,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
1.02,06:31:04,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
1.52,06:31:05,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
2.03,06:31:06,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
2.53,06:31:06,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
3.04,06:31:07,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
3.55,06:31:07,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
4.06,06:31:08,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
4.56,06:31:08,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
5.07,06:31:09,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
5.57,06:31:09,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
6.08,06:31:10,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
6.59,06:31:10,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
7.09,06:31:11,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
7.60,06:31:11,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
8.10,06:31:12,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
8.60,06:31:12,0.0,0,0.000,0,0,0.000,NORMAL,5.00,1024,tc-only
9.11,06:31:13,2.0,242,4.622,0,0,0.000,MODERATE,5.00,1024,tc-only
9.62,06:31:13,126.4,431,9.998,0,0,0.000,HEAVY,5.00,1024,tc-only
10.12,06:31:14,301.8,415,9.997,0,0,0.000,HEAVY,5.00,1024,tc-only
10.63,06:31:14,490.9,427,9.999,0,0,0.000,HEAVY,5.00,1024,tc-only
11.13,06:31:15,657.8,433,10.008,0,0,0.000,HEAVY,4.50,921,tc-only
