t_s,backlog_pkts,target_ms,drop_rate,throughput_mbps,sojourn_ms
143.4,21,5.0,91.7,9.998,23.53
144.5,17,5.0,108.6,10.006,19.03
145.5,14,5.0,99.7,9.994,15.69
146.5,0,5.0,104.7,9.996,0.0
147.5,17,5.0,92.7,10.008,19.02
148.5,15,5.0,92.7,9.999,16.8
149.5,0,5.0,96.7,10.0,0.0
150.5,13,5.0,104.6,9.995,14.57
151.5,13,5.0,109.7,9.997,14.56
152.5,17,5.0,97.7,10.007,19.03
153.5,10,5.0,100.7,9.995,11.21
154.5,14,5.0,100.7,10.008,15.67
155.5,19,5.0,91.7,9.998,21.29
156.5,18,5.0,106.6,9.991,20.18
157.5,13,5.0,111.7,10.001,14.56
158.5,15,5.0,100.7,9.999,16.8
159.5,12,5.0,93.7,9.994,13.45
160.5,15,5.0,80.7,10.007,16.79
161.5,12,5.0,98.7,9.999,13.44
162.5,18,5.0,97.7,9.998,20.16
163.5,14,5.0,100.7,9.997,15.68
164.5,14,5.0,92.7,9.998,15.68
165.5,10,5.0,98.7,10.006,11.19
166.5,11,5.0,96.7,9.996,12.32
167.5,16,5.0,104.7,10.002,17.92
168.5,15,5.0,102.7,9.997,16.81
169.5,16,5.0,109.7,9.999,17.92
170.5,14,5.0,97.7,10.0,15.68
171.5,10,5.0,102.7,9.998,11.2
172.5,14,5.0,103.7,10.007,15.67
173.5,13,5.0,105.6,9.995,14.57
174.5,19,5.0,87.7,9.997,21.29
175.6,14,5.0,108.6,10.008,15.67
176.6,17,5.0,106.7,9.997,19.05
177.6,15,5.0,93.7,9.992,16.81
178.6,17,5.0,101.6,10.005,19.03
179.6,13,5.0,108.7,9.997,14.56
180.6,17,5.0,108.7,10.009,19.02
181.6,0,5.0,104.7,9.996,0.0
182.6,18,5.0,101.7,9.983,20.19
183.6,18,5.0,102.6,10.019,20.12
184.6,13,5.0,100.7,9.998,14.56
185.6,14,5.0,103.6,9.995,15.69
186.6,14,5.0,98.7,10.002,15.68
187.6,12,5.0,99.7,10.0,13.44
188.6,18,5.0,88.7,9.998,20.16
189.6,14,5.0,99.7,10.009,15.67
190.6,14,5.0,95.7,9.988,15.7
191.6,14,5.0,99.7,10.011,15.66
192.6,15,5.0,95.7,9.998,16.8
193.6,15,5.0,96.7,9.996,16.81
194.6,12,5.0,114.7,9.999,13.44
195.6,18,5.0,91.7,10.008,20.14
196.6,15,5.0,107.7,10.003,16.79
197.6,13,5.0,93.7,9.998,14.56
198.6,18,5.0,95.7,9.997,20.17
199.6,15,5.0,96.7,9.997,16.8
200.6,15,5.0,100.7,9.999,16.8
201.6,15,5.0,98.7,10.0,16.8
202.6,18,5.0,97.7,10.001,20.16
203.6,16,5.0,101.7,9.997,17.93
204.6,16,5.0,112.6,10.009,17.9
205.6,15,5.0,98.7,9.997,16.8
206.6,15,5.0,91.7,9.998,16.8
207.7,13,5.0,92.7,9.995,14.57
208.7,12,5.0,91.7,10.008,13.43
209.7,15,5.0,92.7,9.996,16.81
210.7,14,5.0,102.7,9.997,15.69
211.7,0,5.0,109.6,10.007,0.0
212.7,12,5.0,102.7,9.998,13.44
213.7,14,5.0,98.7,10.0,15.68
214.7,19,5.0,89.7,9.999,21.28
215.7,18,5.0,90.7,9.995,20.17
216.7,14,5.0,108.6,9.996,15.69
217.7,18,5.0,89.7,10.01,20.14
218.7,15,5.0,99.7,9.998,16.8
219.7,18,5.0,99.7,9.997,20.17
220.7,12,5.0,100.7,9.998,13.44
221.7,18,5.0,92.7,9.995,20.17
222.7,12,5.0,104.7,10.01,13.43
223.7,19,5.0,92.7,9.994,21.29
224.7,15,5.0,103.6,10.005,16.79
225.7,13,5.0,98.7,9.998,14.56
226.7,16,5.0,100.7,9.999,17.92
227.7,12,5.0,105.6,10.006,13.43
228.7,16,5.0,90.7,9.998,17.92
229.7,16,5.0,101.7,10.002,17.92
230.7,15,5.0,99.7,9.996,16.81
231.7,18,5.0,98.7,10.001,20.16
232.7,16,5.0,105.7,9.998,17.92
233.7,15,5.0,93.7,10.007,16.79
234.7,16,5.0,101.7,9.996,17.93
235.7,15,5.0,106.7,9.998,16.8
236.7,17,5.0,101.7,9.999,19.04
237.7,17,5.0,107.7,10.011,19.02
238.8,16,5.0,101.7,9.997,17.93
239.8,16,5.0,95.7,9.997,17.93
240.8,16,5.0,97.7,9.997,17.92
241.8,20,5.0,98.7,10.001,22.4
242.8,17,5.0,102.7,9.997,19.05
243.8,16,5.0,116.6,10.006,17.91
244.8,0,5.0,91.7,9.996,0.0
245.8,0,5.0,101.7,9.986,0.0
246.8,9,5.0,96.7,10.021,10.06
247.8,16,5.0,91.7,9.997,17.92
248.8,13,5.0,107.7,9.999,14.56
249.8,15,5.0,91.7,9.998,16.8
250.8,14,5.0,82.8,10.001,15.68
251.8,16,5.0,100.7,9.996,17.93
252.8,15,5.0,94.7,10.007,16.79
253.8,17,5.0,97.7,10.0,19.04
254.8,21,5.0,93.7,9.998,23.52
255.8,13,5.0,99.6,9.993,14.57
256.8,16,5.0,99.8,10.004,17.91
257.8,11,5.0,99.7,10.0,12.32
258.8,17,5.0,95.7,10.002,19.04
259.8,14,5.0,93.7,9.988,15.7
260.8,21,5.0,97.7,10.014,23.49
261.8,15,5.0,105.7,9.999,16.8
262.8,14,5.0,98.7,9.987,15.7
263.8,19,5.0,100.7,10.012,21.25
264.8,17,5.0,90.7,9.985,19.07
265.8,18,5.0,102.7,10.009,20.14
266.8,16,5.0,107.5,9.999,17.92
267.8,15,5.0,95.7,10.012,16.78
268.9,16,5.0,105.8,9.989,17.94
269.9,16,5.0,101.7,10.009,17.9
270.9,11,5.0,106.7,9.997,12.32
271.9,19,5.0,93.7,9.999,21.28
272.9,15,5.0,100.6,10.006,16.79
273.9,19,5.0,86.8,9.977,21.33
274.9,12,5.0,101.7,10.01,13.43
275.9,16,5.0,98.7,10.011,17.9
276.9,16,5.0,98.7,9.995,17.93
277.9,16,5.0,98.6,10.003,17.91
278.9,14,5.0,105.6,9.995,15.69
279.9,12,5.0,103.7,10.01,13.43
280.9,16,5.0,99.7,9.988,17.94
281.9,14,5.0,96.7,10.01,15.66
282.9,17,5.0,94.8,10.003,19.03
283.9,16,5.0,93.7,9.997,17.93
284.9,16,5.0,83.7,9.998,17.92
285.9,15,5.0,103.6,9.982,16.83
286.9,18,5.0,94.7,9.998,20.16
287.9,16,5.0,100.7,10.023,17.88
288.9,15,5.0,97.7,10.001,16.8
289.9,19,5.0,85.7,9.997,21.29
290.9,18,5.0,97.7,10.001,20.16
291.9,19,5.0,98.6,9.993,21.3
292.9,18,5.0,100.7,10.007,20.15
293.9,14,5.0,101.7,9.984,15.7
294.9,14,5.0,100.7,10.007,15.67
295.9,14,5.0,97.7,10.01,15.66
296.9,15,5.0,108.6,9.983,16.83
297.9,13,5.0,89.7,10.009,14.55
298.9,17,5.0,97.7,10.009,19.02
299.9,16,5.0,97.7,9.996,17.93
301.0,18,5.0,85.7,10.005,20.15
302.0,15,5.0,96.7,9.999,16.8
303.0,14,5.0,94.7,9.996,15.69
304.0,14,5.0,95.7,10.0,15.68
305.0,15,5.0,93.7,9.995,16.81
306.0,13,5.0,100.7,10.009,14.55
307.0,14,5.0,92.7,9.999,15.68
308.0,16,5.0,90.7,9.997,17.93
309.0,14,5.0,101.7,9.998,15.68
310.0,14,5.0,95.7,10.007,15.67
311.0,13,5.0,97.7,9.997,14.56
312.0,13,5.0,102.7,9.999,14.56
313.0,7,5.0,105.7,10.0,7.84
314.0,18,5.0,98.7,9.999,20.16
315.0,14,5.0,100.7,9.998,15.68
316.0,17,5.0,100.7,9.995,19.05
317.0,10,5.0,94.7,10.005,11.19
318.0,18,5.0,89.7,10.0,20.16
319.0,20,5.0,102.7,9.998,22.41
320.0,12,5.0,97.7,10.011,13.42
321.0,17,5.0,95.7,9.995,19.05
322.0,16,5.0,110.7,9.987,17.94
323.0,12,5.0,90.7,10.01,13.43
324.0,12,5.0,103.7,9.999,13.44
325.0,16,5.0,87.8,10.001,17.92
326.0,17,5.0,116.7,9.999,19.04
327.0,0,5.0,94.7,9.998,0.0
328.0,14,5.0,99.7,10.01,15.66
329.0,17,5.0,99.7,10.0,19.04
330.0,18,5.0,102.7,9.999,20.16
331.0,15,5.0,104.6,9.981,16.83
332.0,15,5.0,101.7,10.019,16.77
333.1,17,5.0,96.7,9.998,19.04
334.1,15,5.0,91.7,9.997,16.81
335.1,14,5.0,98.6,10.004,15.67
336.1,17,5.0,95.7,9.987,19.06
337.1,18,5.0,91.7,10.01,20.14
338.1,12,5.0,109.6,10.005,13.43
339.1,15,5.0,91.7,10.001,16.8
340.1,10,5.0,101.6,9.993,11.21
341.1,19,5.0,101.7,9.997,21.29
342.1,16,5.0,85.7,9.999,17.92
343.1,14,5.0,109.7,10.011,15.66
344.1,16,5.0,95.7,9.998,17.92
345.1,16,5.0,90.7,9.987,17.94
346.1,13,5.0,94.7,10.01,14.55
347.1,12,5.0,98.7,10.002,13.44
348.1,19,5.0,85.7,9.999,21.28
349.1,13,5.0,98.7,9.997,14.56
350.1,17,5.0,91.7,9.998,19.04
