t_s,backlog_pkts,backlog_bytes,target_ms,limit_pkts,quantum_bytes,drop_rate,throughput_mbps,sojourn_ms
93.4,9,13626,0.999,256,300,189.3,10.003,10.08
94.4,10,15140,0.999,256,300,181.3,10.001,11.2
95.4,11,16654,0.999,256,300,191.2,10.0,12.32
96.4,11,16654,0.999,256,300,193.2,9.997,12.32
97.4,12,18168,0.999,256,300,172.9,10.0,13.44
98.4,14,22710,0.999,256,300,170.9,10.002,15.68
99.4,12,21196,0.999,256,300,170.3,10.0,13.44
100.4,12,18168,0.999,256,300,173.5,10.0,13.44
101.4,9,15140,0.999,256,300,169.5,9.999,10.08
102.4,7,12112,0.999,256,300,165.3,9.999,7.84
103.4,12,21196,0.999,256,300,189.9,9.997,13.44
104.5,6,9084,0.999,256,300,176.4,10.008,6.71
105.5,9,15140,0.999,256,300,156.3,9.995,10.09
106.5,12,18168,0.999,256,300,167.5,9.997,13.44
107.5,12,18168,0.999,256,300,174.4,10.006,13.43
108.5,11,19682,0.999,256,300,176.3,10.003,12.32
109.5,12,19682,0.999,256,300,194.0,9.99,13.45
110.5,10,15140,0.999,256,300,177.3,10.003,11.2
111.5,11,19682,0.999,256,300,165.1,10.008,12.31
112.5,14,22710,0.999,256,300,186.0,9.997,15.68
113.5,13,19682,0.999,256,300,164.5,9.999,14.56
114.5,10,16654,0.999,256,300,168.4,10.007,11.19
115.5,14,22710,0.999,256,300,169.5,9.999,15.68
116.5,10,19682,0.999,256,300,186.4,9.996,11.2
117.5,13,19682,0.999,256,300,167.5,10.002,14.56
118.5,3,6056,0.999,256,300,181.1,10.001,3.36
119.5,14,22710,0.999,256,300,170.2,9.996,15.69
120.5,10,15140,0.999,256,300,173.9,9.999,11.2
121.5,9,13626,0.999,256,300,165.3,10.001,10.08
122.5,8,12112,0.999,256,300,187.4,9.998,8.96
123.5,13,21196,0.999,256,300,167.4,10.004,14.55
124.5,11,16654,0.999,256,300,180.3,10.005,12.31
125.5,12,21196,0.999,256,300,180.2,9.996,13.45
126.5,13,25738,0.999,256,300,176.2,9.995,14.57
127.5,17,27252,0.999,256,300,188.1,10.002,19.04
128.6,18,30280,0.999,256,300,176.7,9.994,20.17
129.6,12,24224,0.999,256,300,180.0,10.007,13.43
130.6,13,19682,0.999,256,300,185.4,9.998,14.56
131.6,11,18168,0.999,256,300,185.4,9.997,12.32
132.6,13,19682,0.999,256,300,174.5,10.0,14.56
133.6,13,19682,0.999,256,300,168.4,10.007,14.55
134.6,12,18168,0.999,256,300,170.0,9.997,13.44
135.6,8,12112,0.999,256,300,202.5,9.992,8.97
136.6,11,19682,0.999,256,300,166.4,9.994,12.33
137.6,12,21196,0.999,256,300,178.4,10.009,13.43
138.6,14,21196,0.999,256,300,173.5,10.0,15.68
139.6,11,18168,0.999,256,300,177.4,10.008,12.31
140.6,14,21196,0.999,256,300,190.2,10.001,15.68
141.6,14,22710,0.999,256,300,189.0,9.987,15.7
142.6,14,24224,0.999,256,300,175.2,10.005,15.67
143.6,15,28766,0.999,256,300,175.4,10.008,16.79
144.6,10,16654,0.999,256,300,188.0,9.985,11.22
145.6,14,21196,0.999,256,300,170.9,10.012,15.66
146.6,11,18168,0.999,256,300,184.3,10.005,12.31
147.6,6,9084,0.999,256,300,170.4,9.993,6.72
148.6,7,10598,0.999,256,300,161.4,10.003,7.84
149.6,15,22710,0.999,256,300,147.5,9.996,16.81
150.6,12,18168,0.999,256,300,174.2,10.006,13.43
151.7,14,27252,0.999,256,300,154.5,9.995,15.69
152.7,12,18168,0.999,256,300,192.4,9.997,13.44
153.7,11,19682,0.999,256,300,176.1,9.992,12.33
154.7,13,22710,0.999,256,300,165.4,10.017,14.54
155.7,12,21196,0.999,256,300,183.5,9.99,13.45
156.7,14,21196,0.999,256,300,180.3,10.004,15.67
157.7,13,25738,0.999,256,300,182.4,9.997,14.56
158.7,14,22710,0.999,256,300,169.3,9.987,15.7
159.7,9,13626,0.999,256,300,181.2,10.018,10.06
160.7,13,22710,0.999,256,300,194.8,10.004,14.55
161.7,12,18168,0.999,256,300,166.1,9.999,13.44
162.7,14,21196,0.999,256,300,172.3,10.002,15.68
163.7,10,15140,0.999,256,300,173.4,9.997,11.2
164.7,8,12112,0.999,256,300,173.4,9.995,8.96
165.7,11,16654,0.999,256,300,186.4,9.998,12.32
166.7,11,19682,0.999,256,300,169.4,10.005,12.31
167.7,10,15140,0.999,256,300,161.3,9.998,11.2
168.7,12,18168,0.999,256,300,174.5,9.999,13.44
169.7,13,22710,0.999,256,300,176.2,10.005,14.55
170.7,8,16654,0.999,256,300,169.2,9.992,8.97
171.7,10,15140,0.999,256,300,178.3,10.002,11.2
172.7,10,16654,0.999,256,300,180.6,10.004,11.2
173.7,12,18168,0.999,256,300,182.4,9.998,13.44
174.7,15,22710,0.999,256,300,166.3,9.997,16.81
175.7,10,18168,0.999,256,300,175.5,10.01,11.19
176.7,14,21196,0.999,256,300,174.4,9.992,15.69
177.8,8,15140,0.999,256,300,179.2,10.008,8.95
178.8,8,13626,0.999,256,300,172.4,9.996,8.96
179.8,15,22710,0.999,256,300,175.8,9.999,16.8
180.8,12,18168,0.999,256,300,183.4,9.996,13.45
181.8,7,10598,0.999,256,300,187.1,10.004,7.84
182.8,8,18168,0.999,256,300,172.3,10.002,8.96
183.8,13,19682,0.999,256,300,180.4,10.005,14.55
184.8,12,18168,0.999,256,300,163.9,10.0,13.44
185.8,12,18168,0.999,256,300,187.5,10.0,13.44
186.8,14,25738,0.999,256,300,185.0,9.996,15.69
187.8,13,21196,0.999,256,300,177.6,10.004,14.55
188.8,11,16654,0.999,256,300,195.3,9.995,12.33
189.8,17,28766,0.999,256,300,162.6,10.004,19.03
190.8,12,18168,0.999,256,300,174.4,9.996,13.45
191.8,15,25738,0.999,256,300,161.4,10.004,16.79
192.8,10,16654,0.999,256,300,176.9,9.99,11.21
193.8,12,19682,0.999,256,300,179.6,10.001,13.44
194.8,9,16654,0.999,256,300,187.4,10.01,10.07
195.8,8,15140,0.999,256,300,179.4,9.997,8.96
196.8,8,12112,0.999,256,300,176.4,9.992,8.97
197.8,9,13626,0.999,256,300,188.4,10.009,10.07
198.8,14,21196,0.999,256,300,168.3,9.989,15.7
199.8,16,28766,0.999,256,300,180.1,10.002,17.92
200.8,10,15140,0.999,256,300,197.3,10.006,11.19
201.9,14,25738,0.999,256,300,169.1,10.001,15.68
202.9,8,13626,0.999,256,300,166.3,9.996,8.96
203.9,8,12112,0.999,256,300,185.4,10.008,8.95
204.9,15,22710,0.999,256,300,161.5,9.999,16.8
205.9,12,18168,0.999,256,300,195.3,9.995,13.45
206.9,12,19682,0.999,256,300,186.1,10.005,13.43
207.9,9,15140,0.999,256,300,187.1,9.995,10.09
208.9,9,15140,0.999,256,300,162.0,10.001,10.08
209.9,13,21196,0.999,256,300,166.9,9.997,14.56
210.9,11,16654,0.999,256,300,166.1,10.0,12.32
211.9,12,19682,0.999,256,300,164.5,10.008,13.43
212.9,13,19682,0.999,256,300,175.4,9.995,14.57
213.9,13,24224,0.999,256,300,164.5,9.999,14.56
214.9,12,18168,0.999,256,300,167.9,9.998,13.44
215.9,9,13626,0.999,256,300,172.7,10.004,10.08
216.9,9,13626,0.999,256,300,213.9,10.0,10.08
217.9,12,21196,0.999,256,300,169.4,9.993,13.45
218.9,10,15140,0.999,256,300,177.4,10.006,11.19
219.9,14,22710,0.999,256,300,170.5,9.987,15.7
220.9,11,19682,0.999,256,300,188.4,10.01,12.31
221.9,13,21196,0.999,256,300,172.5,9.999,14.56
222.9,11,21196,0.999,256,300,167.9,10.002,12.32
224.0,14,22710,0.999,256,300,181.3,10.001,15.68
225.0,12,18168,0.999,256,300,181.4,9.997,13.44
226.0,14,21196,0.999,256,300,182.4,9.997,15.68
227.0,9,13626,0.999,256,300,186.5,9.999,10.08
228.0,12,18168,0.999,256,300,174.1,9.999,13.44
229.0,10,15140,0.999,256,300,194.0,10.001,11.2
230.0,8,12112,0.999,256,300,175.3,10.004,8.96
231.0,10,15140,0.999,256,300,177.4,10.008,11.19
232.0,11,18168,0.999,256,300,185.8,10.0,12.32
233.0,13,21196,0.999,256,300,182.4,9.996,14.57
234.0,11,16654,0.999,256,300,190.3,10.005,12.31
235.0,11,16654,0.999,256,300,182.5,9.999,12.32
236.0,8,13626,0.999,256,300,180.4,9.993,8.97
237.0,12,18168,0.999,256,300,179.2,9.997,13.44
238.0,10,16654,0.999,256,300,196.1,10.007,11.19
239.0,13,22710,0.999,256,300,173.0,9.993,14.57
240.0,8,12112,0.999,256,300,186.4,10.009,8.95
241.0,15,25738,0.999,256,300,180.3,10.001,16.8
242.0,9,15140,0.999,256,300,180.5,9.998,10.08
243.0,11,18168,0.999,256,300,165.4,9.992,12.33
244.0,15,27252,0.999,256,300,186.4,10.007,16.79
245.0,13,21196,0.999,256,300,167.4,9.992,14.57
246.0,11,16654,0.999,256,300,180.3,10.004,12.32
247.0,12,19682,0.999,256,300,178.5,10.002,13.44
248.0,11,16654,0.999,256,300,182.4,10.007,12.31
249.1,9,15140,0.999,256,300,172.4,9.994,10.09
250.1,12,18168,0.999,256,300,186.4,9.998,13.44
251.1,8,15140,0.999,256,300,186.4,10.007,8.95
252.1,11,16654,0.999,256,300,168.5,9.998,12.32
253.1,12,21196,0.999,256,300,179.5,9.999,13.44
254.1,12,21196,0.999,256,300,164.3,10.0,13.44
255.1,9,13626,0.999,256,300,176.2,9.996,10.08
256.1,9,15140,0.999,256,300,168.7,10.002,10.08
257.1,11,19682,0.999,256,300,172.1,10.001,12.32
258.1,12,18168,0.999,256,300,174.4,9.996,13.45
259.1,13,19682,0.999,256,300,180.5,9.999,14.56
260.1,14,24224,0.999,256,300,178.4,10.008,15.67
261.1,10,16654,0.999,256,300,161.3,9.999,11.2
262.1,12,18168,0.999,256,300,163.5,9.997,13.44
263.1,17,25738,0.999,256,300,164.4,10.007,19.03
264.1,9,18168,0.999,256,300,172.3,9.978,10.1
265.1,15,25738,0.999,256,300,179.3,10.013,16.78
266.1,14,21196,0.999,256,300,181.0,9.996,15.69
267.1,13,19682,0.999,256,300,178.5,10.011,14.54
268.1,10,16654,0.999,256,300,173.4,9.993,11.21
269.1,12,18168,0.999,256,300,174.4,10.008,13.43
270.1,12,18168,0.999,256,300,174.5,9.997,13.44
271.1,11,16654,0.999,256,300,173.4,9.997,12.32
272.1,11,19682,0.999,256,300,168.5,9.996,12.32
273.1,10,16654,0.999,256,300,181.1,10.005,11.19
274.1,10,16654,0.999,256,300,179.3,9.999,11.2
275.2,14,21196,0.999,256,300,166.3,10.002,15.68
276.2,10,15140,0.999,256,300,172.4,9.996,11.2
277.2,12,21196,0.999,256,300,165.4,9.995,13.45
278.2,13,21196,0.999,256,300,168.4,10.007,14.55
279.2,10,15140,0.999,256,300,172.5,9.999,11.2
280.2,15,22710,0.999,256,300,163.5,9.997,16.81
281.2,14,21196,0.999,256,300,173.5,9.999,15.68
282.2,11,16654,0.999,256,300,192.3,10.005,12.31
283.2,6,12112,0.999,256,300,178.1,9.991,6.73
