t,drop_rate,backlog,throughput_mbps,drops_total,state,target_ms,interval_ms,limit
0.00,0.0000,453,0.000,649,HEAVY,5,100,1024
0.51,761.4437,451,10.010,1035,HEAVY,5,100,1024
1.02,937.6353,472,9.996,1509,HEAVY,5,100,1024
1.52,1118.2690,429,10.004,2073,HEAVY,5,100,1024
2.03,1289.3199,448,9.996,2725,HEAVY,5,100,1024
2.53,1470.1367,459,9.996,3470,HEAVY,5,100,1024
3.04,1647.4100,489,10.008,4300,HEAVY,5,100,1024
3.54,1820.6793,451,9.994,5222,HEAVY,5,100,1024
4.05,2001.3304,467,10.003,6234,HEAVY,5,100,1024
4.55,2109.4383,460,9.995,7302,HEAVY,5,100,1024
5.06,2619.7437,435,10.005,8636,HEAVY,4.5,90.0,921
5.57,2840.7459,453,9.999,10074,HEAVY,4.5,90.0,921
6.08,3062.3811,0,10.001,11621,HEAVY,4.5,90.0,921
6.58,3274.3146,472,10.000,13275,HEAVY,4.5,90.0,921
7.09,3508.3180,463,9.995,15048,HEAVY,4.5,90.0,921
7.59,3709.4561,0,10.001,16925,HEAVY,4.5,90.0,921
8.10,3945.1350,485,10.004,18918,HEAVY,4.5,90.0,921
8.60,4149.9768,0,10.002,21011,HEAVY,4.5,90.0,921
9.11,4372.4986,448,9.990,23230,HEAVY,4.5,90.0,921
9.62,4599.4198,463,10.011,25562,HEAVY,4.5,90.0,921
10.13,5348.4334,465,9.991,28316,HEAVY,4.05,81.0,828
10.64,5486.3918,427,10.006,31089,HEAVY,4.05,81.0,828
11.14,5897.5451,473,10.001,34070,HEAVY,4.05,81.0,828
11.65,6180.1549,451,9.999,37195,HEAVY,4.05,81.0,828
12.15,6446.2584,460,10.005,40447,HEAVY,4.05,81.0,828
12.66,6695.2532,417,9.996,43830,HEAVY,4.05,81.0,828
13.16,6988.1766,449,9.998,47364,HEAVY,4.05,81.0,828
13.67,6800.1691,443,9.999,50807,HEAVY,4.05,81.0,828
14.17,7103.6805,409,10.003,54390,HEAVY,4.05,81.0,828
14.68,7393.4009,431,10.000,58130,HEAVY,4.05,81.0,828
15.19,8403.1972,447,10.002,62443,HEAVY,3.645,72.9,745
15.70,7378.5827,416,9.995,66174,HEAVY,3.645,72.9,745
16.20,7331.0027,0,10.001,69883,HEAVY,3.645,72.9,745
16.71,7682.2718,426,10.004,73752,HEAVY,3.645,72.9,745
17.21,7815.8164,438,9.997,77700,HEAVY,3.645,72.9,745
17.72,6820.1835,430,10.001,81146,HEAVY,3.645,72.9,745
18.22,5701.9454,457,9.997,84029,HEAVY,3.645,72.9,745
18.73,5013.5880,470,10.002,86561,HEAVY,3.645,72.9,745
19.23,5006.4363,443,10.002,89088,HEAVY,3.645,72.9,745
19.74,5218.0289,417,9.999,91720,HEAVY,3.645,72.9,745
20.25,6166.9244,445,10.002,94860,HEAVY,3.2805,65.61000000000001,670
20.75,6611.4746,383,10.000,98192,HEAVY,3.2805,65.61000000000001,670
21.26,7029.1741,339,10.002,101735,HEAVY,3.2805,65.61000000000001,670
21.76,7177.3076,437,9.999,105357,HEAVY,3.2805,65.61000000000001,670
22.26,7633.4495,397,10.001,109208,HEAVY,3.2805,65.61000000000001,670
22.77,8054.5919,408,9.996,113276,HEAVY,3.2805,65.61000000000001,670
23.27,7730.4855,395,10.000,117174,HEAVY,3.2805,65.61000000000001,670
23.78,8051.4080,346,10.001,121237,HEAVY,3.2805,65.61000000000001,670
24.28,8577.7826,455,10.002,125569,HEAVY,3.2805,65.61000000000001,670
24.79,8047.5588,381,10.000,129630,HEAVY,3.2805,65.61000000000001,670
25.29,6662.0289,443,10.000,133004,HEAVY,2.9524500000000002,59.049000000000014,603
