1,1252
2,85
3,1254
4,87
5,1254
6,87
7,1270
8,103
9,1275
10,108
11,1275
12,108
13,1277
14,110
15,1293
16,126
17,1296
18,129
19,1297
20,130
21,1299
22,132
23,1299
24,132
25,1299
26,132
27,1309
28,142
29,1318
30,151
31,1319
32,152
33,1319
34,152
35,1319
36,152
37,1319
38,152
39,1319
40,152
41,1326
42,159
43,1326
44,159
45,1326
46,159
47,1326
48,159
49,1326
50,159
51,1326
52,159
53,1333
54,166
55,1333
56,166
57,1333
58,166
59,1335
60,168
61,1336
62,169
63,1336
64,169
65,1338
66,171
67,1338
68,171
69,1340
70,173
71,1356
72,189
73,1365
74,198
75,1365
76,198
77,1365
78,198
79,1365
80,198
81,1366
82,199
83,1366
84,199
85,1366
86,199
87,1366
88,199
89,1368
90,201
91,1370
92,203
93,1374
94,207
95,1374
96,207
97,1374
98,207
