t_s,avg_q,drop_rate_per_s,backlog_pkts,throughput_mbps,max_p,target_ms,limit_pkts
54.55,83.1,6373.0,472,10.0,0.11,4.12,855
55.05,83.8,5619.3,428,10.0,0.11,4.12,855
55.56,84.5,4832.5,433,10.008,0.11,4.12,855
56.06,85.2,4775.8,433,9.999,0.11,4.12,855
56.57,85.9,5649.2,427,9.998,0.11,4.12,855
57.07,86.5,5541.9,413,9.997,0.11,4.12,855
57.58,87.1,5364.9,378,10.006,0.11,4.12,855
58.08,87.8,6050.7,423,9.997,0.12,4.04,839
58.59,88.4,6309.5,415,10.003,0.12,4.04,839
59.09,89.1,5053.1,427,9.995,0.12,4.04,839
59.59,89.7,4410.2,406,10.006,0.12,4.04,839
60.1,90.3,4672.9,397,9.999,0.12,4.04,839
60.6,91.0,4527.9,430,9.998,0.12,4.04,839
61.1,91.6,4824.7,401,9.998,0.12,4.04,839
61.61,92.4,5332.8,449,10.002,0.12,4.04,839
62.11,93.0,5993.0,394,10.001,0.13,4.04,839
62.61,93.6,5288.0,422,9.999,0.13,4.04,839
63.12,94.2,5588.2,396,10.002,0.13,4.04,839
63.62,94.9,6159.9,411,10.001,0.13,4.04,839
64.12,95.4,5983.8,378,9.999,0.13,4.04,839
64.63,96.1,5291.3,424,10.001,0.13,4.04,839
65.13,96.7,5236.2,397,9.999,0.13,4.04,839
65.63,97.3,5761.5,407,10.0,0.13,4.04,839
66.14,97.1,5626.3,0,10.002,0.13,4.04,839
66.64,97.9,5656.5,475,9.999,0.13,4.04,839
67.14,98.5,4807.8,393,9.997,0.14,3.88,808
67.65,99.2,5219.5,448,10.003,0.14,3.88,808
68.15,99.8,5390.7,406,10.001,0.14,3.88,808
68.66,100.3,5541.7,374,9.999,0.14,3.88,808
69.16,100.9,5204.3,380,9.998,0.14,3.88,808
69.66,101.4,4295.3,379,10.0,0.14,3.88,808
70.17,102.2,3908.0,467,9.998,0.14,3.88,808
70.67,102.8,4065.5,415,10.0,0.14,3.88,808
71.18,103.4,4372.2,420,10.003,0.14,3.88,808
71.68,104.0,4184.2,387,10.002,0.14,3.88,808
72.18,104.5,4740.3,364,9.995,0.15,3.88,808
72.69,105.1,5240.5,421,9.998,0.15,3.88,808
73.19,105.7,5834.0,405,9.997,0.15,3.88,808
73.7,106.3,6644.7,375,10.007,0.15,3.88,808
74.2,106.8,7272.1,380,9.999,0.15,3.88,808
74.71,107.4,8071.1,384,10.005,0.15,3.88,808
75.21,107.9,8879.5,358,9.998,0.15,3.88,808
75.71,108.5,8693.6,435,10.001,0.15,3.88,808
76.22,109.1,8068.2,375,9.999,0.15,3.88,808
76.72,109.8,5224.1,468,10.001,0.16,3.72,778
77.23,110.4,4714.3,439,10.0,0.16,3.72,778
77.73,111.1,4909.7,457,9.994,0.16,3.72,778
78.23,111.8,5499.3,424,10.004,0.16,3.72,778
78.74,112.4,5688.5,412,10.001,0.16,3.72,778
79.24,113.0,5733.7,449,9.994,0.16,3.72,778
79.75,113.7,6514.5,422,9.998,0.16,3.72,778
80.25,114.3,7342.7,442,10.007,0.16,3.72,778
80.76,114.9,7947.0,395,10.0,0.16,3.72,778
81.26,115.4,8906.8,380,9.997,0.17,3.64,762
81.77,116.0,9417.0,399,10.005,0.17,3.64,762
82.27,116.6,9671.5,424,9.997,0.17,3.64,762
82.77,117.2,9979.7,399,9.997,0.17,3.64,762
83.28,117.7,10024.0,403,10.001,0.17,3.64,762
83.78,118.3,11021.3,393,9.999,0.17,3.64,762
84.29,118.9,9922.7,438,10.0,0.17,3.64,762
84.79,119.4,9538.5,387,10.004,0.17,3.64,762
85.3,120.0,9928.4,407,9.995,0.17,3.64,762
85.8,120.6,10779.3,418,10.007,0.17,3.64,762
86.31,121.2,10274.2,423,9.994,0.18,3.64,762
86.81,121.8,11198.4,433,10.004,0.18,3.64,762
87.32,122.5,10145.4,465,9.997,0.18,3.64,762
87.82,123.2,9390.9,462,10.0,0.18,3.64,762
88.33,123.9,7604.5,486,10.004,0.18,3.64,762
88.84,124.6,6974.9,464,9.997,0.18,3.64,762
89.34,125.2,7184.1,413,10.0,0.18,3.64,762
89.85,125.7,6920.0,399,10.003,0.18,3.64,762
90.35,126.4,5861.3,446,9.997,0.18,3.64,762
90.86,126.9,6188.3,371,9.998,0.19,3.48,732
91.37,127.4,5935.6,392,9.998,0.19,3.48,732
91.87,127.9,6419.8,383,10.007,0.19,3.48,732
92.38,128.5,6981.1,420,9.993,0.19,3.48,732
92.88,128.2,7312.1,0,10.003,0.19,3.48,732
93.39,128.9,7827.4,441,9.997,0.19,3.48,732
93.89,129.4,8604.6,408,10.01,0.19,3.48,732
94.4,130.1,8147.5,458,9.992,0.19,3.48,732
94.9,130.7,8795.6,425,9.999,0.19,3.48,732
95.41,131.2,7129.5,412,10.003,0.19,3.48,732
95.92,131.8,6325.8,406,10.0,0.19,3.48,732
96.42,132.4,6346.2,432,9.998,0.2,3.4,716
96.93,132.9,6664.8,398,10.001,0.2,3.4,716
97.44,133.5,7484.2,438,10.001,0.2,3.4,716
97.94,134.1,7750.4,426,9.998,0.2,3.4,716
98.45,134.7,7524.7,420,10.003,0.2,3.4,716
98.95,135.4,7599.6,473,9.996,0.2,3.4,716
99.46,136.0,8530.3,440,9.999,0.2,3.4,716
99.97,136.5,8718.8,402,10.006,0.2,3.4,716
100.47,137.1,8534.3,431,9.999,0.2,3.4,716
100.97,137.7,9228.5,435,9.999,0.21,3.4,716
101.48,138.3,7940.3,451,9.997,0.21,3.4,716
101.99,138.9,6962.9,438,9.999,0.21,3.4,716
102.49,139.4,7625.3,404,10.007,0.21,3.4,716
103.0,139.9,8449.9,389,9.998,0.21,3.4,716
